claimset,basis,defn,width,n_valued,n_stating,share_stating,n_vs_sqrt,share_vs_sqrt,n_pairs,n_pairs_distinct,share_pairs_distinct
REC,TAPE,STRICT,0.042856104293215014,43,2,0.046511627906976744,39,0.9069767441860465,903,869,0.9623477297895903
REC,TAPE,WIDE,0.042856104293215014,234,17,0.07264957264957266,232,0.9914529914529915,27261,25781,0.9457099886284436
REC,REDRAW,STRICT,0.04039842233150487,43,2,0.046511627906976744,39,0.9069767441860465,903,870,0.9634551495016611
REC,REDRAW,WIDE,0.04039842233150487,234,17,0.07264957264957266,232,0.9914529914529915,27261,25829,0.9474707457540076
REC,OLS,STRICT,0.029073457026435268,43,2,0.046511627906976744,40,0.9302325581395349,903,872,0.9656699889258029
REC,OLS,WIDE,0.029073457026435268,234,17,0.07264957264957266,232,0.9914529914529915,27261,26066,0.9561644840614798
REC+MEMO,TAPE,STRICT,0.042856104293215014,74,5,0.06756756756756757,65,0.8783783783783784,2701,2572,0.9522399111440207
REC+MEMO,TAPE,WIDE,0.042856104293215014,402,31,0.07711442786069651,397,0.9875621890547264,80601,75949,0.9422835944963462
REC+MEMO,REDRAW,STRICT,0.04039842233150487,74,5,0.06756756756756757,65,0.8783783783783784,2701,2577,0.9540910773787487
REC+MEMO,REDRAW,WIDE,0.04039842233150487,402,31,0.07711442786069651,397,0.9875621890547264,80601,76083,0.9439461048870361
REC+MEMO,OLS,STRICT,0.029073457026435268,74,5,0.06756756756756757,66,0.8918918918918919,2701,2591,0.9592743428359867
REC+MEMO,OLS,WIDE,0.029073457026435268,402,31,0.07711442786069651,399,0.9925373134328358,80601,76822,0.9531147256237515
ALL,TAPE,STRICT,0.042856104293215014,104,9,0.08653846153846154,88,0.8461538461538461,5356,5079,0.9482823002240478
ALL,TAPE,WIDE,0.042856104293215014,512,41,0.080078125,507,0.990234375,130816,123840,0.9466731898238747
ALL,REDRAW,STRICT,0.04039842233150487,104,9,0.08653846153846154,88,0.8461538461538461,5356,5086,0.9495892457057505
ALL,REDRAW,WIDE,0.04039842233150487,512,41,0.080078125,507,0.990234375,130816,124030,0.9481256115459883
ALL,OLS,STRICT,0.029073457026435268,104,9,0.08653846153846154,89,0.8557692307692307,5356,5115,0.9550037341299478
ALL,OLS,WIDE,0.029073457026435268,512,41,0.080078125,509,0.994140625,130816,125028,0.9557546477495108
