block,statistic,cells,OOS_Sharpe,regret_vs_anchor,mean_seed_sd,beats_anchor,beats_SPY,beats_v2,PICK_minus_REVERSE,OOS_CAGR,OOS_MaxDD
A,marginal,27,0.7706165176774781,0.09900938328018502,0.16113619305868354,19/27,9/27,4/27,0.11474962735754007,0.10703332964037117,-0.2539061773642629
A,partial,27,0.6959525476442812,0.02434541324698805,0.16113619305868354,17/27,8/27,2/27,0.040376763880619046,0.0914279265311789,-0.2561991025430467
A,joint_t,27,0.705104478349329,0.03349734395203591,0.16113619305868354,16/27,9/27,3/27,0.022492780098252733,0.09421355531333551,-0.259972713388875
B,marginal,27,0.6334008513334014,-0.029356171900064523,0.1541971233457173,8/27,5/27,4/27,-0.05286317889622258,0.08474975966217026,-0.3158291289483683
B,partial,27,0.7317581148294642,0.06900109159599815,0.1541971233457173,16/27,7/27,6/27,0.10197922572457584,0.10179366563291313,-0.31351791671863555
B,joint_t,27,0.7267263586117584,0.06396933537829243,0.1541971233457173,16/27,6/27,5/27,0.08627129739935757,0.10016420475584026,-0.3143736620198715
-,anchor (stratum mean),162,0.6671820788153796,0.0,0.1576666582022004,-,-,-,,,
-,SPY (buy & hold),162,0.8820239235972316,,,-,-,-,,0.1545044425578177,-0.3371595330739301
-,RULES v2 (live),162,0.8904976312947653,,,-,-,-,,,
