line,family,rung,c_star,at_or_above
32,POOLED,10.0,50.0,False
33,POOLED,25.0,50.0,False
34,POOLED,25.0,50.0,False
35,POOLED,10.0,50.0,False
36,POOLED,,50.0,
37,POOLED,10.0,50.0,False
38,POOLED,25.0,50.0,False
39,QROLL,,50.0,
40,POOLED,25.0,50.0,False
1384,POOLED,,50.0,
1385,POOLED,,50.0,
1386,POOLED,,50.0,
1387,POOLED,,50.0,
1388,POOLED,,50.0,
1389,POOLED,,50.0,
1390,POOLED,,50.0,
1391,POOLED,,50.0,
1392,POOLED,,50.0,
1393,POOLED,,50.0,
1394,POOLED,,50.0,
1395,POOLED,,50.0,
1396,POOLED,,50.0,
1397,POOLED,,50.0,
1473,POOLED,,50.0,
1475,POOLED,,50.0,
1478,POOLED,,50.0,
1565,POOLED,,50.0,
1566,POOLED,,50.0,
1587,POOLED,25.0,50.0,False
1728,POOLED,,50.0,
1805,POOLED,,50.0,
1814,POOLED,,50.0,
1815,POOLED,10.0,50.0,False
1898,POOLED,,50.0,
1902,POOLED,,50.0,
2420,POOLED,,50.0,
2552,POOLED,,50.0,
2553,POOLED,,50.0,
2588,POOLED,,50.0,
2589,POOLED,0.0,50.0,False
2590,POOLED,,50.0,
2591,POOLED,,50.0,
2592,POOLED,10.0,50.0,False
2593,POOLED,10.0,50.0,False
2594,POOLED,25.0,50.0,False
2609,POOLED,10.0,50.0,False
2610,POOLED,25.0,50.0,False
2625,POOLED,,50.0,
2713,POOLED,56.5,50.0,True
2718,POOLED,10.0,50.0,False
2721,POOLED,10.0,50.0,False
2722,POOLED,10.0,50.0,False
2726,POOLED,,50.0,
2737,POOLED,10.0,50.0,False
2740,POOLED,10.0,50.0,False
2742,POOLED,10.0,50.0,False
2759,POOLED,,50.0,
2803,POOLED,,50.0,
2806,POOLED,,50.0,
2807,POOLED,10.0,50.0,False
2815,POOLED,25.0,50.0,False
2827,POOLED,10.0,50.0,False
2876,POOLED,,50.0,
2910,POOLED,,50.0,
2931,POOLED,10.0,50.0,False
2933,POOLED,,50.0,
2945,POOLED,,50.0,
2946,POOLED,,50.0,
2948,POOLED,,50.0,
2957,POOLED,,50.0,
3060,POOLED,,50.0,
3064,POOLED,,50.0,
3116,POOLED,25.0,50.0,False
3117,POOLED,,50.0,
3118,POOLED,10.0,50.0,False
3120,POOLED,25.0,50.0,False
3269,POOLED,,50.0,
3270,POOLED,,50.0,
3273,POOLED,,50.0,
3296,POOLED,,50.0,
3315,POOLED,10.0,50.0,False
3420,POOLED,10.0,50.0,False
3436,POOLED,26.3,50.0,False
3439,POOLED,25.0,50.0,False
3446,POOLED,8.86,50.0,False
3448,POOLED,23.9,50.0,False
3454,POOLED,25.0,50.0,False
3460,POOLED,10.0,50.0,False
3466,POOLED,,50.0,
3483,POOLED,10.0,50.0,False
3487,POOLED,,50.0,
3489,POOLED,,50.0,
3503,POOLED,300.0,50.0,True
3521,POOLED,,50.0,
3593,POOLED,25.0,50.0,False
3600,POOLED,,50.0,
3654,POOLED,,50.0,
3657,POOLED,,50.0,
3676,POOLED,,50.0,
3687,POOLED,,50.0,
3689,POOLED,,50.0,
3725,POOLED,,50.0,
3818,POOLED,10.0,50.0,False
3937,POOLED,,50.0,
3944,POOLED,25.0,50.0,False
3946,POOLED,10.0,50.0,False
3947,POOLED,25.0,50.0,False
3948,POOLED,,50.0,
3949,POOLED,,50.0,
3950,POOLED,,50.0,
3951,POOLED,10.0,50.0,False
3952,POOLED,25.0,50.0,False
3958,POOLED,,50.0,
3959,POOLED,,50.0,
3960,POOLED,,50.0,
3961,POOLED,10.0,50.0,False
3962,POOLED,,50.0,
3963,POOLED,10.0,50.0,False
3968,POOLED,,50.0,
3969,POOLED,25.0,50.0,False
3970,POOLED,10.0,50.0,False
3971,POOLED,,50.0,
3972,POOLED,,50.0,
3973,POOLED,10.0,50.0,False
3995,POOLED,25.0,50.0,False
3996,POOLED,25.0,50.0,False
3997,POOLED,25.0,50.0,False
4007,POOLED,10.0,50.0,False
4008,POOLED,10.0,50.0,False
4011,POOLED,25.0,50.0,False
4013,POOLED,25.0,50.0,False
4031,POOLED,,50.0,
4032,POOLED,,50.0,
4033,POOLED,,50.0,
4035,POOLED,,50.0,
4214,POOLED,,50.0,
4270,POOLED,,50.0,
4273,POOLED,,50.0,
4290,POOLED,,50.0,
4301,POOLED,10.0,50.0,False
4311,POOLED,,50.0,
4315,POOLED,,50.0,
4320,POOLED,,50.0,
4358,POOLED,,50.0,
4361,POOLED,,50.0,
4363,POOLED,,50.0,
4364,POOLED,,50.0,
4366,POOLED,,50.0,
4367,POOLED,,50.0,
4377,ABS,,10.0,
4390,POOLED,,50.0,
4395,POOLED,,50.0,
4401,POOLED,,50.0,
4429,POOLED,,50.0,
4449,POOLED,,50.0,
4455,POOLED,,50.0,
4470,ABS,,10.0,
4479,POOLED,,50.0,
4492,POOLED,25.0,50.0,False
4499,QROLL,10.0,50.0,False
4500,POOLED,,50.0,
4508,POOLED,25.0,50.0,False
4510,POOLED,10.0,50.0,False
4511,POOLED,,50.0,
4512,POOLED,,50.0,
4513,POOLED,25.0,50.0,False
4514,POOLED,,50.0,
4515,POOLED,25.0,50.0,False
4527,POOLED,25.0,50.0,False
4531,POOLED,10.0,50.0,False
4532,ABS,25.0,10.0,True
4533,POOLED,100.0,50.0,True
4534,POOLED,100.0,50.0,True
4535,POOLED,50.0,50.0,True
4536,POOLED,100.0,50.0,True
4537,POOLED,50.0,50.0,True
4538,POOLED,100.0,50.0,True
4539,ABS,100.0,10.0,True
4548,POOLED,,50.0,
4619,POOLED,,50.0,
4622,POOLED,,50.0,
4623,POOLED,0.0,50.0,False
4627,POOLED,,50.0,
4631,POOLED,,50.0,
4651,POOLED,,50.0,
4653,POOLED,,50.0,
4732,POOLED,,50.0,
4813,POOLED,10.0,50.0,False
4814,POOLED,,50.0,
4815,POOLED,,50.0,
4817,POOLED,,50.0,
4818,POOLED,,50.0,
4819,POOLED,,50.0,
4820,POOLED,,50.0,
4821,POOLED,10.0,50.0,False
4822,POOLED,10.0,50.0,False
4874,POOLED,,50.0,
4924,POOLED,25.0,50.0,False
4928,POOLED,,50.0,
4945,POOLED,,50.0,
5011,POOLED,,50.0,
5017,POOLED,10.0,50.0,False
5018,POOLED,25.0,50.0,False
5019,POOLED,25.0,50.0,False
5024,POOLED,,50.0,
5027,POOLED,10.0,50.0,False
5028,POOLED,,50.0,
5029,POOLED,10.0,50.0,False
5030,POOLED,,50.0,
5031,POOLED,25.0,50.0,False
5032,POOLED,,50.0,
5034,POOLED,10.0,50.0,False
5038,POOLED,,50.0,
5041,POOLED,,50.0,
5042,POOLED,25.0,50.0,False
5055,POOLED,10.0,50.0,False
5071,POOLED,,50.0,
5081,POOLED,,50.0,
5113,POOLED,,50.0,
5149,POOLED,,50.0,
5151,POOLED,,50.0,
5174,POOLED,,50.0,
5175,POOLED,,50.0,
5176,POOLED,25.0,50.0,False
5177,POOLED,10.0,50.0,False
5178,POOLED,,50.0,
5179,POOLED,,50.0,
5353,POOLED,,50.0,
5370,POOLED,25.0,50.0,False
5374,POOLED,,50.0,
5375,POOLED,,50.0,
5417,POOLED,,50.0,
5423,POOLED,,50.0,
5443,POOLED,,50.0,
5444,POOLED,,50.0,
5484,POOLED,,50.0,
5576,POOLED,,50.0,
5577,POOLED,,50.0,
5578,POOLED,,50.0,
5579,POOLED,,50.0,
5580,POOLED,,50.0,
5581,POOLED,10.0,50.0,False
5613,POOLED,,50.0,
5617,POOLED,,50.0,
5618,POOLED,,50.0,
5619,POOLED,50.0,50.0,True
5620,POOLED,,50.0,
5621,QROLL,10.0,50.0,False
5625,POOLED,50.0,50.0,True
5626,POOLED,,50.0,
5628,POOLED,,50.0,
5629,POOLED,10.0,50.0,False
5633,POOLED,,50.0,
5637,POOLED,,50.0,
5638,POOLED,10.0,50.0,False
5639,POOLED,10.0,50.0,False
5640,POOLED,10.0,50.0,False
5641,POOLED,,50.0,
5642,POOLED,,50.0,
5643,POOLED,,50.0,
5644,POOLED,25.0,50.0,False
5645,POOLED,25.0,50.0,False
5646,POOLED,10.0,50.0,False
5647,POOLED,25.0,50.0,False
5648,POOLED,,50.0,
5649,QROLL,10.0,50.0,False
5650,QROLL,25.0,50.0,False
5651,POOLED,,50.0,
5652,POOLED,25.0,50.0,False
5653,POOLED,,50.0,
5654,POOLED,10.0,50.0,False
5655,POOLED,,50.0,
5656,POOLED,25.0,50.0,False
5657,QROLL,25.0,50.0,False
5662,QROLL,25.0,50.0,False
5663,POOLED,,50.0,
5664,POOLED,10.0,50.0,False
5669,POOLED,10.0,50.0,False
5671,POOLED,,50.0,
5676,POOLED,,50.0,
5677,POOLED,,50.0,
5679,POOLED,10.0,50.0,False
5683,POOLED,25.0,50.0,False
5703,POOLED,10.0,50.0,False
5708,QROLL,25.0,50.0,False
5709,QROLL,,50.0,
5771,POOLED,,50.0,
5773,POOLED,500.0,50.0,True
5808,POOLED,,50.0,
5811,POOLED,25.0,50.0,False
