panel,ladder,stat,gap_1110,gap_1116,floor_1110,floor_1116,inf_1110,inf_1116,M_1110
U56,N,S_FULL,0.0070686682458254,0.007068668245825416,0.1761523806496179,0.1761523806496179,False,False,359.0
U56,N,S_OOS,0.0147300649376391,0.014730064937639176,0.264054781582769,0.27556027866714705,False,False,56.0
U56,N,CAGR,0.1226414083506561,0.12264140835065618,inf,4.247390553434547,True,False,
U56,N,DD,1.0416639841034687,1.0416639841034687,5.684363419230408,5.684363419230408,False,False,
U56,H,S_FULL,0.025078881717488,0.025078881717488066,inf,inf,True,True,9.25
U56,H,S_OOS,0.0287703787423776,0.028770378742377645,inf,inf,True,True,17.75
U56,H,CAGR,0.3049987073677549,0.3049987073677549,inf,inf,True,True,19.25
U56,H,DD,1.114057519141184,1.1140575191411841,inf,inf,True,True,
U56,GROSS,S_FULL,0.0001556639667841,0.0001556639667841253,0.0008972093148214,0.0011660919497724631,False,False,1.5
U56,GROSS,S_OOS,0.0001947749502644,0.00019477495026443137,0.0019207163003902,inf,False,True,1.5
U56,GROSS,CAGR,1.0495280990911553,1.0495280990911553,1.0380692471477992,1.0380692471477992,False,False,1.0
U56,GROSS,DD,1.2859290693538092,1.2859290693538092,1.1938432556992673,1.1938432556992673,False,False,1.0
U56,CADENCE,S_FULL,0.0008674369892938,0.0008674369892938127,inf,inf,True,True,
U56,CADENCE,S_OOS,0.0083083986441196,0.008308398644119697,inf,inf,True,True,43.0
U56,CADENCE,CAGR,0.1604224110659302,0.16042241106593025,inf,inf,True,True,48.0
U56,CADENCE,DD,0.8170754711183754,0.8170754711183754,inf,inf,True,True,75.0
B136,N,S_FULL,0.0013056747034598,0.0013056747034598803,inf,inf,True,True,
B136,N,S_OOS,0.0073023182181422,0.007302318218142201,0.2233879243107311,0.22338792431073118,False,False,
B136,N,CAGR,0.8113364217981811,0.8113364217981811,inf,inf,True,True,13.5
B136,N,DD,0.543560127681598,0.543560127681598,6.509181522842699,6.509181522842699,False,False,
B136,H,S_FULL,0.0024896750495866,0.002489675049586637,inf,inf,True,True,
B136,H,S_OOS,0.0375513300813716,0.03755133008137168,inf,inf,True,True,9.25
B136,H,CAGR,0.564914333987776,0.564914333987776,inf,inf,True,True,11.5
B136,H,DD,2.7506960085619347,2.7506960085619347,inf,inf,True,True,213.0
B136,GROSS,S_FULL,0.000399667073659,0.00039966707365901577,0.000399667073659,0.00039966707365901577,False,False,1.0
B136,GROSS,S_OOS,0.0004619946290818,0.00046199462908180777,0.0004619946290818,0.00046199462908180777,False,False,1.0
B136,GROSS,CAGR,1.0724850854269423,1.0724850854269423,1.0702988360427712,1.0702988360427712,False,False,1.0
B136,GROSS,DD,1.39601645431493,1.39601645431493,1.2864280606593717,1.2864280606593717,False,False,1.0
B136,CADENCE,S_FULL,0.0086272495728707,0.008627249572870754,inf,inf,True,True,202.0
B136,CADENCE,S_OOS,0.0554397629510798,0.055439762951079885,inf,inf,True,True,11.0
B136,CADENCE,CAGR,0.0900160637277593,0.09001606372775939,1.8463253895186096,1.8463253895186096,False,False,255.0
B136,CADENCE,DD,1.3764460187531853,1.3764460187531853,inf,inf,True,True,37.0
