label,family,draw,vintage,seed_key,K,etf_share,ovl_in_U56,ovl_of_U56,gate_pass,rbar
U56@A,REF_U56,-1,A,U56,56,0.6428571428571429,1.0,1.0,0.6929619524530436,0.3326885933638292
U56@B,VINTAGE,-1,B,U56,56,0.6428571428571429,1.0,1.0,0.6926708146866526,0.332251692745657
B136@B,NONE,-1,B,B136,136,0.2647058823529412,0.4117647058823529,1.0,0.6961356728993418,0.344331146816815
B56SZ0@B,SIZE,0,B,B56SZ0,56,0.16071428571428573,0.32142857142857145,0.32142857142857145,0.6925178137347445,0.3458326022662401
B56SZ1@B,SIZE,1,B,B56SZ1,56,0.21428571428571427,0.26785714285714285,0.26785714285714285,0.7041032722609918,0.33594826964805685
B56SZ2@B,SIZE,2,B,B56SZ2,56,0.21428571428571427,0.3392857142857143,0.3392857142857143,0.693400710673196,0.4202858442118576
B56SZ3@B,SIZE,3,B,B56SZ3,56,0.3392857142857143,0.4642857142857143,0.4642857142857143,0.7114170371420707,0.323106102998765
B56SZ4@B,SIZE,4,B,B56SZ4,56,0.23214285714285715,0.39285714285714285,0.39285714285714285,0.6873634101038596,0.3563192718130418
B56SZ5@B,SIZE,5,B,B56SZ5,56,0.21428571428571427,0.32142857142857145,0.32142857142857145,0.6856296283948508,0.3233856524788436
B56ETF0@B,ETFSHARE,0,B,B56ETF0,56,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.7039330640603018,0.3509598046364456
B56ETF1@B,ETFSHARE,1,B,B56ETF1,56,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6958788582075526,0.34229058555787156
B56ETF2@B,ETFSHARE,2,B,B56ETF2,56,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.7000536879491204,0.36546334976023664
B56ETF3@B,ETFSHARE,3,B,B56ETF3,56,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6895149711812564,0.3560991521664762
B56ETF4@B,ETFSHARE,4,B,B56ETF4,56,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.7029762439833618,0.34558697979392644
B56ETF5@B,ETFSHARE,5,B,B56ETF5,56,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.7008031280613451,0.34151165646735343
B56GP0@B,GATEPASS,0,B,B56GP0,56,0.35714285714285715,0.5178571428571429,0.5178571428571429,0.6883579075098847,0.31792172052733153
B56GP1@B,GATEPASS,1,B,B56GP1,56,0.25,0.39285714285714285,0.39285714285714285,0.694728122398263,0.35722700150871184
B56GP2@B,GATEPASS,2,B,B56GP2,56,0.23214285714285715,0.375,0.375,0.6933055554405047,0.34154557684286496
B56GP3@B,GATEPASS,3,B,B56GP3,56,0.32142857142857145,0.42857142857142855,0.42857142857142855,0.6908601039695199,0.3389721711662723
B56GP4@B,GATEPASS,4,B,B56GP4,56,0.25,0.4107142857142857,0.4107142857142857,0.6902668234295138,0.3120704909730733
B56GP5@B,GATEPASS,5,B,B56GP5,56,0.17857142857142858,0.3392857142857143,0.3392857142857143,0.6951908675569204,0.3801647528326866
U56@A_NATIVE,GATE_ONLY,-1,A,U56,56,0.6428571428571429,1.0,1.0,0.6929635665231055,0.3325579947298755
