vintage,panel,gross,d_CAGR,d_Sharpe,d_MaxDD,d_H1,d_H2,d_OOS_Sharpe,s_CAGR,s_Sharpe,s_MaxDD,s_H1,s_H2,s_OOS_Sharpe
today,U56,0.2,7.734524100117685e-05,0.0022097880633786815,5.70866749705079e-10,0.0021217181361858906,0.0022811835974116956,0.004326496275668612,-7.734524100117685e-05,-0.0022097880633786815,-5.70866749705079e-10,-0.0021217181361858906,-0.0022811835974116956,-0.004326496275668612
today,U56,0.35,0.00013851494924783242,0.002209349901107771,6.2935774647332465e-09,0.0021221286053410005,0.0022800794890194265,0.004324094757112817,-0.00013851494924783242,-0.002209349901107771,-6.2935774647332465e-09,-0.0021221286053410005,-0.0022800794890194265,-0.004324094757112817
today,U56,0.5,0.0002023871850218295,0.0022088305474836645,1.615094219475921e-08,0.002122477080198859,0.002278879949456636,0.004321519267901364,-0.0002023871850218295,-0.0022088305474836645,-1.615094219475921e-08,-0.002122477080198859,-0.002278879949456636,-0.004321519267901364
today,U56,0.6,0.0002464631396643102,0.002208436425147342,2.4850932173192675e-08,0.0021227144455802094,0.0022779887479194016,0.004319665373903048,-0.0002464631396643102,-0.002208436425147342,-2.4850932173192675e-08,-0.0021227144455802094,-0.0022779887479194016,-0.004319665373903048
today,U56,0.75,0.00031481528916538215,0.0022078695128155967,4.082931082116659e-08,0.0021229735576926423,0.0022767812133948073,0.00431692585227883,-0.00031481528916538215,-0.0022078695128155967,-4.082931082116659e-08,-0.0021229735576926423,-0.0022767812133948073,-0.00431692585227883
today,U56,0.85,0.00036184364649222145,0.0022073489668454904,5.337136971261813e-08,0.0021231233676546335,0.0022757337829457658,0.004314815974316266,-0.00036184364649222145,-0.0022073489668454904,-5.337136971261813e-08,-0.0021231233676546335,-0.0022757337829457658,-0.004314815974316266
today,U56,0.95,0.0004100373089012954,0.0022068030054362975,6.75082494350221e-08,0.0021232516256426415,0.0022746598343688085,0.004312634953546501,-0.0004100373089012954,-0.0022068030054362975,-6.75082494350221e-08,-0.0021232516256426415,-0.0022746598343688085,-0.004312634953546501
today,U56,1.0,0.00043456999680152597,0.0022065341288539653,7.499619819606451e-08,0.0021233531666244865,0.002274099373542171,0.004311504024046009,-0.00043456999680152597,-0.0022065341288539653,-7.499619819606451e-08,-0.0021233531666244865,-0.002274099373542171,-0.004311504024046009
today,B136,0.2,6.4884523253844195e-06,4.345746592027133e-06,7.996649210098572e-07,0.018641792250372546,0.01666140564183849,0.008154587215906006,-6.4884523253844195e-06,4.345746592027133e-06,-7.996649210098572e-07,0.018641792250372546,-0.01666140564183849,-0.008154587215906006
today,B136,0.35,1.1392073717475526e-05,3.6440455206676603e-06,1.4687403346175243e-06,0.018648435762553595,0.016661090550112112,0.008159790786411714,-1.1392073717475526e-05,3.6440455206676603e-06,-1.4687403346175243e-06,0.018648435762553595,-0.016661090550112112,-0.008159790786411714
