panel,anchor,H,turn_yr,eff_bps_ratio
U56,A,126,2.8960911169131665,1.4176109539556403
B135,A,126,3.247874747901893,1.3802573370678755
SMALL663,A,126,4.149227940451389,1.3593138493224954
