book,label,panel,is_CAGR,is_Sharpe,is_MaxDD,oos_CAGR,oos_Sharpe,oos_MaxDD,oos_spy_CAGR,oos_spy_Sharpe,oos_spy_MaxDD,oos_h1,oos_h2,oos_dd,oos_cagr,oos_4b,is_4b,full_4b,keep_4a,keep_4b,a_h1,a_h2,a_dd
K1,"u56 top20 composite, W, g0.75",U56,0.10810124581844649,0.9765495035428563,-0.11846710934713856,0.14426535084279468,1.129600365408191,-0.18308341446270193,0.15331699963496637,0.876714419369064,-0.33717235283398306,True,True,True,True,True,False,True,False,True,False,False,False
K2,"u56 top20 + rank buffer m=20, W, g0.75",U56,0.09983917846477852,0.9577757995151831,-0.11085656910319397,0.15219188963648755,1.23543913426136,-0.1724498100003985,0.15331699963496637,0.876714419369064,-0.33717235283398306,True,True,True,True,True,False,True,False,True,False,False,False
K3,"u56 top20 DAILY + buffer m=50 (fixed g/n), D, g0.75",U56,0.09424974321521362,0.990643960461853,-0.11906598004704683,0.13764740038429513,1.2863820666290864,-0.12373929288434582,0.15331699963496637,0.876714419369064,-0.33717235283398306,True,True,True,True,True,False,True,False,True,False,True,False
K4,"u56 EW-all 200d-MA gate (band 0), M, g1.00",U56,0.11048169206536596,1.1358894526372816,-0.1042215356541214,0.12645666994169646,1.2692590432079591,-0.15485495397691995,0.15331699963496637,0.876714419369064,-0.33717235283398306,True,True,True,True,True,True,True,False,True,True,False,False
K5,"u56 RULES v2 band 0.03, W, g1.00  [the standing candidate]",U56,0.10163037850119716,1.1047437219516025,-0.10451949838088237,0.126956558390525,1.2775395947599435,-0.15910990262743996,0.15331699963496637,0.876714419369064,-0.33717235283398306,True,True,True,True,True,False,True,False,True,True,False,False
K6,"u56 wide band b=0.12 EW respread, W, g0.75",U56,0.12655293371117082,1.1761982470648353,-0.11646311526627529,0.15072471200384263,1.2607540303838713,-0.1941937303482717,0.15331699963496637,0.876714419369064,-0.33717235283398306,True,True,True,True,True,True,True,False,True,True,True,False
K7,"b136 scored-eligible EW, residual in SHY, W, g0.375",B136,0.06021227049009692,1.1457472087976666,-0.05536132815335093,0.06384233170332343,1.187119804006703,-0.11133286588851188,0.15331427255204866,0.8767278433896203,-0.3371595330739301,True,True,True,False,False,False,False,False,False,True,False,True
K8,"u56 EW-all, de-gross to ZERO on breadth<q0.17(1008d), W, g1.00",U56,0.11916655254945341,1.0248424351272498,-0.1479115582684295,0.16040819756384783,1.393684369943309,-0.12719753492220232,0.15331699963496637,0.876714419369064,-0.33717235283398306,True,True,True,True,True,False,True,False,True,False,True,False
R1,"u56 band 0.08, W, g1.00",U56,0.1060919805130831,1.122611682702222,-0.11217296392361387,0.12038538471401328,1.1654257169217488,-0.1905060857627323,0.15331699963496637,0.876714419369064,-0.33717235283398306,True,True,True,True,True,True,True,False,True,True,False,False
R2,"u56 MA-RESPREAD, W, g0.75",U56,0.10495158383104064,1.066957695536418,-0.10874609154291837,0.12350884936339579,1.1060790636851225,-0.1864736119832805,0.15331699963496637,0.876714419369064,-0.33717235283398306,True,True,True,True,True,True,True,False,True,False,False,False
R3,"u56 MA-DISTANCE top-half, M, g0.75",U56,0.14621272078837788,1.2448953945317596,-0.10627632433457335,0.16003206061231268,1.2154381442323396,-0.19975796950615465,0.15331699963496637,0.876714419369064,-0.33717235283398306,True,True,True,True,True,True,True,False,True,True,False,False
R4,"b136 R6-top20 (de-gross), W, g0.65",B136,0.15558082750088742,1.2538293895648782,-0.10149186679296307,0.14516591165653114,1.0399755698403153,-0.19432719349775063,0.15331427255204866,0.8767278433896203,-0.3371595330739301,True,True,True,True,True,True,True,False,True,True,False,False
LIVE,"RULES v2 LIVE band 0.03, W, g0.75  [comparand, NOT a 4b pass]",U56,0.07609486307679969,1.1042716914234656,-0.07887203754149841,0.09474682024310721,1.278242466157066,-0.12054943679771168,0.15331699963496637,0.876714419369064,-0.33717235283398306,True,True,True,False,False,False,False,False,False,False,False,True
V1,"RULES v1 retired, W  [comparand, NOT a 4b pass]",U56,0.04977870727043521,0.5588438608812012,-0.13103606961830494,0.07601837386039301,0.7361139961542332,-0.13827818499624467,0.15331699963496637,0.876714419369064,-0.33717235283398306,True,False,True,False,False,False,False,False,False,False,False,False
