uni,book,cost,band,g,gross_mean,in_range,dCAGR_pp,dSharpe,dMaxDD_pp,dOOS_Sharpe,dOOS_CAGR_pp,dTO
broad,cand20,10.0,2.0,0.55,0.5420544973729412,False,,,,,,
broad,cand20,10.0,2.0,0.65,0.640502759127208,True,-0.02663817249121958,-0.0020723612775970235,-0.0028302240602989803,0.007732458872438119,0.1132458905954814,-0.054938746150082096
broad,cand20,10.0,2.0,0.75,0.7389215675000436,True,-0.03165850093565792,-0.0020944317026707626,-0.0032223153018706707,0.007737986741429559,0.13252581079877396,-0.06353508009472186
broad,cand20,10.0,2.0,0.85,0.8373123287919829,True,-0.03693672223114841,-0.0021164664435602276,-0.0036027499468072044,0.0077436375130292,0.15228690319259441,-0.07218911875079392
broad,cand20,10.0,2.0,1.0,0.9844575802216632,True,-0.04536984926803156,-0.002152151811688263,-0.004180295355071806,0.007759433116827585,0.18277282253120475,-0.0850305056547711
broad,cand20,10.0,3.0,0.55,0.5422589743448543,True,-0.0675911197985768,-0.006146771521993055,0.0029615071121952274,0.008348323028848914,0.10230088511304913,-0.04473162830373312
broad,cand20,10.0,3.0,0.65,0.6407444708621255,True,-0.08132320960450162,-0.00615522378106248,0.0034353775810958,0.008387099862670278,0.12312997178638568,-0.05309887940611979
broad,cand20,10.0,3.0,0.75,0.7392005334186202,True,-0.09550581965785121,-0.006163895626666971,0.0038901805942376244,0.008425406147462344,0.1446393764011969,-0.06152640487444749
broad,cand20,10.0,3.0,0.85,0.8376285690617163,True,-0.11013135757323156,-0.006172854157262875,0.004319412339123807,0.008463062937308474,0.16683914324929772,-0.07003210132696758
broad,cand20,10.0,3.0,1.0,0.9847741435687856,False,,,,,,
broad,cand20,10.0,5.0,0.55,0.5413922346324207,False,,,,,,
broad,cand20,10.0,5.0,0.65,0.6397196256883628,True,-0.13938813088335555,-0.013057471290230493,-0.023315521720401744,0.008434047514702336,0.16351927907587716,-0.10437894637012235
broad,cand20,10.0,5.0,0.75,0.7380174417674815,True,-0.16429727360934288,-0.013058834264084718,-0.02648572509385272,0.00849569771432035,0.1912393341745089,-0.12072009928738225
broad,cand20,10.0,5.0,0.85,0.8362870968316211,True,-0.19015353236955523,-0.01306005595347881,-0.0295462676839664,0.008557506183709096,0.2196142918495292,-0.13715178623028912
broad,cand20,10.0,5.0,1.0,0.9832504918056646,True,-0.23072576416925117,-0.013072567644153543,-0.03416817188383048,0.008659126841209064,0.2633770490344023,-0.16163767038799648
broad,cand20,10.0,8.0,0.55,0.5404871716451061,False,,,,,,
broad,cand20,10.0,8.0,0.65,0.6386469794316149,True,0.021384364331097916,-0.0030620707914739143,-0.05137393011361013,0.007783526182092881,0.1837278691937047,-0.20456652672753428
broad,cand20,10.0,8.0,0.75,0.736776301093788,True,0.023469075234450187,-0.0030635506100690213,-0.05842062425860939,0.007812113926751518,0.21361106760516835,-0.23638740349591103
broad,cand20,10.0,8.0,0.85,0.834876558252525,True,0.02516042207165725,-0.0030656092669183455,-0.06523997804470938,0.007840358865500274,0.24383430859491184,-0.2681896505382273
broad,cand20,10.0,8.0,1.0,0.9815270127257238,True,0.040755980594764374,-0.0024415426996967637,-0.07698481825716419,0.007894038895763789,0.29070955338543203,-0.3131194768181871
broad,cand20,25.0,2.0,0.55,0.5420544973729412,False,,,,,,
broad,cand20,25.0,2.0,0.65,0.640502759127208,True,-0.017093312167430763,-0.0013401470844570662,-0.0028428893821985657,0.008543840841351513,0.12056778950343683,-0.054938746150082096
