panel,book,cost,reset,d_rate,d_dCAGR,d_dMaxDD,d_lever
u56,V1u,10.0,recover,0.0,0.0,0.0,5.551115123125783e-17
u56,V1u,10.0,high,0.0,0.0,0.0,5.551115123125783e-17
u56,V1u,25.0,recover,0.0,0.0,0.0,5.551115123125783e-17
u56,V1u,25.0,high,0.0,0.0,0.0,5.551115123125783e-17
u56,TOP20,10.0,recover,0.0,0.0,0.0,0.0
u56,TOP20,10.0,high,1.1102230246251565e-16,0.0,0.0,0.0
u56,TOP20,25.0,recover,0.0,0.0,0.0,0.0
u56,TOP20,25.0,high,0.0,8.881784197001252e-16,0.0,0.0
u56,EWall,10.0,recover,0.0,0.0,0.0,0.0
u56,EWall,10.0,high,0.0,0.0,0.0,0.0
u56,EWall,25.0,recover,0.0,0.0,0.0,0.0
u56,EWall,25.0,high,0.0,0.0,0.0,0.0
broad,V1u,10.0,recover,0.0,0.0,0.0,0.0
broad,V1u,10.0,high,0.0,0.0,0.0,0.0
broad,V1u,25.0,recover,0.0,0.0,0.0,9.020562075079397e-17
broad,V1u,25.0,high,6.938893903907228e-17,0.0,0.0,9.020562075079397e-17
broad,TOP20,10.0,recover,0.0,0.0,0.0,0.0
broad,TOP20,10.0,high,0.0,0.0,0.0,0.0
broad,TOP20,25.0,recover,0.0,0.0,0.0,5.551115123125783e-17
broad,TOP20,25.0,high,0.0,0.0,0.0,5.551115123125783e-17
broad,EWall,10.0,recover,0.0,0.0,0.0,0.0
broad,EWall,10.0,high,0.0,0.0,0.0,0.0
broad,EWall,25.0,recover,0.0,0.0,0.0,0.0
broad,EWall,25.0,high,0.0,0.0,0.0,0.0
small,V1u,10.0,recover,2.7755575615628914e-17,4.440892098500626e-16,0.0,8.326672684688674e-17
small,V1u,10.0,high,8.326672684688674e-17,0.0,1.7763568394002505e-15,8.326672684688674e-17
small,V1u,25.0,recover,7.28583859910259e-17,0.0,0.0,2.0816681711721685e-17
small,V1u,25.0,high,2.0816681711721685e-17,5.551115123125783e-17,0.0,2.0816681711721685e-17
small,TOP20,10.0,recover,0.0,0.0,1.7763568394002505e-15,0.0
small,TOP20,10.0,high,0.0,0.0,0.0,0.0
small,TOP20,25.0,recover,0.0,4.440892098500626e-16,1.7763568394002505e-15,0.0
small,TOP20,25.0,high,0.0,0.0,0.0,0.0
small,EWall,10.0,recover,8.326672684688674e-17,0.0,0.0,5.551115123125783e-17
small,EWall,10.0,high,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17
small,EWall,25.0,recover,5.551115123125783e-17,0.0,0.0,0.0
small,EWall,25.0,high,0.0,0.0,0.0,0.0
