tau,q,rows,panels,panel_vol,rho,rho_raw,rho_IS,OOS_S_sd,OOS_S_mean
UNMATCHED,0.0,96,24,0.2592698599175804,0.6886196425377177,0.6751191423693755,0.22086183406697565,0.1659222271377327,0.8624513713177082
UNMATCHED,0.5,96,24,0.335493108289665,0.548282295347902,0.5399608280105663,0.3319534186059259,0.19373136752959272,0.5249642656453973
UNMATCHED,1.0,96,24,0.41034996239708493,0.11822711800993259,0.11027842564599362,0.4618336208526785,0.2293143803806611,0.3081285897816461
0.45,0.0,96,24,0.2332572001328522,0.674516706440443,0.6673862039856626,0.08040269989352954,0.1689939197426472,0.7481303716948259
0.45,0.5,96,24,0.26310885198761347,0.5078134435364317,0.5076842156263731,0.4322868432346519,0.18058920961765795,0.4521215140741574
0.45,1.0,96,24,0.2890091540060396,0.21134540882745834,0.2108066246342622,0.7628918795821286,0.17439221542382682,0.10217046551500679
0.30,0.0,96,24,0.24152493891398896,0.6816397270880588,0.6670499892733273,0.15788058184036138,0.1427814946427865,0.8242932410956655
0.30,0.5,96,24,0.25463398459166203,0.5282293958617115,0.5265122395171524,0.3854623895480053,0.20008342544464247,0.46614630872098034
0.30,1.0,96,24,0.2742914424629842,0.39917047752572915,0.35806866863714387,0.6904794801628686,0.17467114013740934,-0.005098758768397725
0.20,0.0,96,24,0.24605497550900077,0.7077304600912836,0.6791537189173997,-0.4835240853884167,0.12919260808693694,0.7662545535268647
0.20,0.5,96,24,0.253463658269833,0.575150996595843,0.5688752932714062,0.40321486016335595,0.18594730529977233,0.475249197724494
0.20,1.0,96,24,0.2596927970724407,0.29859524694020084,0.2985586645537876,0.6381744805075644,0.1972920355649748,0.021848625024107116
