panel,gross,denom,c_star,bracket_lo,bracket_hi,M_at_0,M_at_10,M_max,c_at_Mmax,note
U56,0.5,DEN_FULL,,,,0.0,0.0,0.0,0.0,M <= 0 at EVERY rung on the ladder (no crossing; D never falls behind)
U56,0.5,DEN_CANON,,,,0.0,0.0,0.0,0.0,M <= 0 at EVERY rung on the ladder (no crossing; D never falls behind)
U56,0.5,DEN_PHASE,,,,0.0,0.0,0.0,0.0,M <= 0 at EVERY rung on the ladder (no crossing; D never falls behind)
U56,0.75,DEN_FULL,5.0,5.0,7.5,0.0,0.5,0.8333333333333334,15.0,M leaves zero between these rungs
U56,0.75,DEN_CANON,5.0,5.0,7.5,0.0,0.5,0.8333333333333334,15.0,M leaves zero between these rungs
U56,0.75,DEN_PHASE,5.0,5.0,7.5,0.0,0.5,0.8333333333333334,15.0,M leaves zero between these rungs
U56,1.0,DEN_FULL,25.0,25.0,50.0,0.02777777777777779,0.0,0.02777777777777779,0.0,M leaves zero between these rungs
U56,1.0,DEN_CANON,,,,0.0,0.0,0.0,0.0,M <= 0 at EVERY rung on the ladder (no crossing; D never falls behind)
U56,1.0,DEN_PHASE,25.0,25.0,50.0,0.033333333333333354,0.0,0.033333333333333354,0.0,M leaves zero between these rungs
B136,0.5,DEN_FULL,,,,0.16666666666666666,0.0,0.16666666666666666,0.0,M <= 0 at EVERY rung on the ladder (no crossing; D never falls behind)
B136,0.5,DEN_CANON,,,,0.0,0.0,0.0,0.0,M <= 0 at EVERY rung on the ladder (no crossing; D never falls behind)
B136,0.5,DEN_PHASE,,,,0.2,0.0,0.2,0.0,M <= 0 at EVERY rung on the ladder (no crossing; D never falls behind)
B136,0.75,DEN_FULL,,,,0.1388888888888889,0.027777777777777776,0.1388888888888889,0.0,M <= 0 at EVERY rung on the ladder (no crossing; D never falls behind)
B136,0.75,DEN_CANON,,,,0.16666666666666666,0.0,0.16666666666666666,0.0,M <= 0 at EVERY rung on the ladder (no crossing; D never falls behind)
B136,0.75,DEN_PHASE,,,,0.13333333333333333,0.03333333333333333,0.13333333333333333,0.0,M <= 0 at EVERY rung on the ladder (no crossing; D never falls behind)
B136,1.0,DEN_FULL,5.416666666666666,5.0,7.5,-0.027777777777777762,0.1388888888888889,0.1388888888888889,7.5,M leaves zero between these rungs
B136,1.0,DEN_CANON,5.0,5.0,7.5,0.0,0.16666666666666666,0.16666666666666666,7.5,M leaves zero between these rungs
B136,1.0,DEN_PHASE,5.5,5.0,7.5,-0.033333333333333326,0.13333333333333333,0.13333333333333333,7.5,M leaves zero between these rungs
