panel,book,cost,sel,arm,m,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,entered
broad,EWall,10.0,S0 control m=1.00,control,1.0,0.1393357408380633,1.1022031339130582,-0.2537106610635026,True
broad,EWall,10.0,S1 IS-point-4b + argmaxIS-Sharpe,vol60-dg,1.0,0.1201112670079342,1.1224553129457142,-0.1869623631242418,True
broad,EWall,10.0,"S2 widest IS interval, m=mid",band3-rw,1.1,0.1322114017805535,1.0758179282548672,-0.2025451074739358,True
broad,EWall,10.0,"S3 widest IS interval, m=1.00 pinned",band3-rw,1.0,0.1201479246967831,1.07596364460324,-0.1852857035790087,True
broad,EWall,10.0,"S4 argmaxIS-Sharpe, no screen",vol60-dg,1.0,0.1201112670079342,1.1224553129457142,-0.1869623631242418,True
broad,EWall,25.0,S0 control m=1.00,control,1.0,0.1377889114408763,1.0913501695849346,-0.253913478693157,True
broad,EWall,25.0,S1 IS-point-4b + argmaxIS-Sharpe,vol60-dg,1.0,0.11769385576362,1.1020383628219217,-0.1870925231682473,True
broad,EWall,25.0,"S2 widest IS interval, m=mid",vol60-dg,0.95,0.1117749227766302,1.1022501990529086,-0.1781868386965994,True
broad,EWall,25.0,"S3 widest IS interval, m=1.00 pinned",vol60-dg,1.0,0.11769385576362,1.1020383628219217,-0.1870925231682473,True
broad,EWall,25.0,"S4 argmaxIS-Sharpe, no screen",vol60-dg,1.0,0.11769385576362,1.1020383628219217,-0.1870925231682473,True
broad,TOP20,10.0,S0 control m=1.00,control,1.0,0.1486265395016079,0.9301240819488712,-0.2596966291762923,True
broad,TOP20,10.0,S1 IS-point-4b + argmaxIS-Sharpe,ebud-0.10,1.0,0.1222821106177056,0.8535342288080167,-0.2288828170330488,True
broad,TOP20,10.0,"S2 widest IS interval, m=mid",band3-rw,0.85,0.122505138785312,0.9211427893483566,-0.1907261488148424,True
broad,TOP20,10.0,"S3 widest IS interval, m=1.00 pinned",band3-rw,1.0,0.1437593182150089,0.9225017689681876,-0.221517879296852,True
broad,TOP20,10.0,"S4 argmaxIS-Sharpe, no screen",ebud-0.10,1.0,0.1222821106177056,0.8535342288080167,-0.2288828170330488,True
broad,TOP20,25.0,S0 control m=1.00,control,1.0,0.1257100029253504,0.8066189970303554,-0.2614961028655423,True
broad,TOP20,25.0,S1 IS-point-4b + argmaxIS-Sharpe,ebud-0.10,1.0,0.1053929939980475,0.7510865702437203,-0.2301685557835264,True
broad,TOP20,25.0,"S2 widest IS interval, m=mid",ebud-0.10,1.05,0.1082918155738932,0.7472514357331561,-0.2361704608590742,True
broad,TOP20,25.0,"S3 widest IS interval, m=1.00 pinned",ebud-0.10,1.0,0.1053929939980475,0.7510865702437203,-0.2301685557835264,True
broad,TOP20,25.0,"S4 argmaxIS-Sharpe, no screen",ebud-0.10,1.0,0.1053929939980475,0.7510865702437203,-0.2301685557835264,True
broad,V1u,10.0,S0 control m=1.00,control,1.0,0.058250917218682,0.5726795060813383,-0.2346447086418064,True
broad,V1u,10.0,S1 IS-point-4b + argmaxIS-Sharpe,(none),,,,,False
broad,V1u,10.0,"S2 widest IS interval, m=mid",(none),,,,,False
broad,V1u,10.0,"S3 widest IS interval, m=1.00 pinned",(none),,,,,False
broad,V1u,10.0,"S4 argmaxIS-Sharpe, no screen",ebud-0.20,1.0,0.0286437563220645,0.3990721426892958,-0.1794174793487225,True
broad,V1u,25.0,S0 control m=1.00,control,1.0,0.0100325128466927,0.1459998757824644,-0.2889669180204913,True
broad,V1u,25.0,S1 IS-point-4b + argmaxIS-Sharpe,(none),,,,,False
broad,V1u,25.0,"S2 widest IS interval, m=mid",(none),,,,,False
broad,V1u,25.0,"S3 widest IS interval, m=1.00 pinned",(none),,,,,False
broad,V1u,25.0,"S4 argmaxIS-Sharpe, no screen",ebud-0.10,1.0,-0.0009199432798767,5.113546624357708e-05,-0.1133596525562509,True
small,EWall,10.0,S0 control m=1.00,control,1.0,0.100896432140316,0.6366624355474834,-0.3616637358208405,True
small,EWall,10.0,S1 IS-point-4b + argmaxIS-Sharpe,(none),,,,,False
small,EWall,10.0,"S2 widest IS interval, m=mid",(none),,,,,False
small,EWall,10.0,"S3 widest IS interval, m=1.00 pinned",(none),,,,,False
small,EWall,10.0,"S4 argmaxIS-Sharpe, no screen",control,1.0,0.100896432140316,0.6366624355474834,-0.3616637358208405,True
small,EWall,25.0,S0 control m=1.00,control,1.0,0.0978205031034371,0.6206770724346838,-0.3642600785827494,True
small,EWall,25.0,S1 IS-point-4b + argmaxIS-Sharpe,(none),,,,,False
