corpus,block,window,role_filter,files,cross,cmp,prop,breadth
idea276 (292 files),WHOLE FILE,80,RAW,292,136,126,12,7
idea276 (292 files),WHOLE FILE,80,ROLE-FILTERED,292,136,126,11,6
idea276 (292 files),WHOLE FILE,200,RAW,292,136,126,18,10
idea276 (292 files),WHOLE FILE,200,ROLE-FILTERED,292,136,126,18,10
idea276 (292 files),WHOLE FILE,400,RAW,292,136,126,19,11
idea276 (292 files),WHOLE FILE,400,ROLE-FILTERED,292,136,126,19,11
idea276 (292 files),WHOLE FILE,block,RAW,292,136,126,26,14
idea276 (292 files),WHOLE FILE,block,ROLE-FILTERED,292,136,126,25,13
idea276 (292 files),FIRST 20 LINES,80,RAW,292,50,21,1,1
idea276 (292 files),FIRST 20 LINES,80,ROLE-FILTERED,292,50,21,1,1
idea276 (292 files),FIRST 20 LINES,200,RAW,292,50,21,1,1
idea276 (292 files),FIRST 20 LINES,200,ROLE-FILTERED,292,50,21,1,1
idea276 (292 files),FIRST 20 LINES,400,RAW,292,50,21,1,1
idea276 (292 files),FIRST 20 LINES,400,ROLE-FILTERED,292,50,21,1,1
idea276 (292 files),FIRST 20 LINES,block,RAW,292,50,21,1,1
idea276 (292 files),FIRST 20 LINES,block,ROLE-FILTERED,292,50,21,1,1
idea276 (292 files),FIRST 40 LINES,80,RAW,292,76,47,4,2
idea276 (292 files),FIRST 40 LINES,80,ROLE-FILTERED,292,76,47,4,2
idea276 (292 files),FIRST 40 LINES,200,RAW,292,76,47,6,3
idea276 (292 files),FIRST 40 LINES,200,ROLE-FILTERED,292,76,47,6,3
idea276 (292 files),FIRST 40 LINES,400,RAW,292,76,47,6,4
idea276 (292 files),FIRST 40 LINES,400,ROLE-FILTERED,292,76,47,6,4
idea276 (292 files),FIRST 40 LINES,block,RAW,292,76,47,6,4
idea276 (292 files),FIRST 40 LINES,block,ROLE-FILTERED,292,76,47,6,4
idea276 (292 files),TITLE+VERDICT,80,RAW,292,10,2,1,1
idea276 (292 files),TITLE+VERDICT,80,ROLE-FILTERED,292,10,2,1,1
idea276 (292 files),TITLE+VERDICT,200,RAW,292,10,2,1,1
idea276 (292 files),TITLE+VERDICT,200,ROLE-FILTERED,292,10,2,1,1
idea276 (292 files),TITLE+VERDICT,400,RAW,292,10,2,2,2
idea276 (292 files),TITLE+VERDICT,400,ROLE-FILTERED,292,10,2,2,2
idea276 (292 files),TITLE+VERDICT,block,RAW,292,10,2,2,2
idea276 (292 files),TITLE+VERDICT,block,ROLE-FILTERED,292,10,2,2,2
TODAY,WHOLE FILE,80,RAW,722,452,436,54,39
TODAY,WHOLE FILE,80,ROLE-FILTERED,722,452,436,47,32
TODAY,WHOLE FILE,200,RAW,722,452,436,88,59
TODAY,WHOLE FILE,200,ROLE-FILTERED,722,452,436,87,57
TODAY,WHOLE FILE,400,RAW,722,452,436,102,65
TODAY,WHOLE FILE,400,ROLE-FILTERED,722,452,436,102,65
TODAY,WHOLE FILE,block,RAW,722,452,436,137,83
TODAY,WHOLE FILE,block,ROLE-FILTERED,722,452,436,135,80
TODAY,FIRST 20 LINES,80,RAW,722,154,86,7,6
TODAY,FIRST 20 LINES,80,ROLE-FILTERED,722,154,86,5,4
TODAY,FIRST 20 LINES,200,RAW,722,154,86,9,8
TODAY,FIRST 20 LINES,200,ROLE-FILTERED,722,154,86,8,7
TODAY,FIRST 20 LINES,400,RAW,722,154,86,13,9
TODAY,FIRST 20 LINES,400,ROLE-FILTERED,722,154,86,12,8
TODAY,FIRST 20 LINES,block,RAW,722,154,86,14,11
TODAY,FIRST 20 LINES,block,ROLE-FILTERED,722,154,86,13,10
TODAY,FIRST 40 LINES,80,RAW,722,261,195,18,13
TODAY,FIRST 40 LINES,80,ROLE-FILTERED,722,261,195,13,8
TODAY,FIRST 40 LINES,200,RAW,722,261,195,31,22
TODAY,FIRST 40 LINES,200,ROLE-FILTERED,722,261,195,28,19
TODAY,FIRST 40 LINES,400,RAW,722,261,195,40,27
TODAY,FIRST 40 LINES,400,ROLE-FILTERED,722,261,195,39,26
TODAY,FIRST 40 LINES,block,RAW,722,261,195,44,29
TODAY,FIRST 40 LINES,block,ROLE-FILTERED,722,261,195,44,29
TODAY,TITLE+VERDICT,80,RAW,722,31,8,2,2
TODAY,TITLE+VERDICT,80,ROLE-FILTERED,722,31,8,1,1
TODAY,TITLE+VERDICT,200,RAW,722,31,8,4,3
TODAY,TITLE+VERDICT,200,ROLE-FILTERED,722,31,8,3,2
TODAY,TITLE+VERDICT,400,RAW,722,31,8,5,4
TODAY,TITLE+VERDICT,400,ROLE-FILTERED,722,31,8,4,3
TODAY,TITLE+VERDICT,block,RAW,722,31,8,5,4
TODAY,TITLE+VERDICT,block,ROLE-FILTERED,722,31,8,4,3
