panel,k,q,book,CAGR,Sharpe,MaxDD,H1,H2,OOS_Sharpe,pub_keep4b,pub_keep4a,p4b_B_SPY,fail_B_SPY,p4b_B_LARGE,fail_B_LARGE,p4b_B_SMALL,fail_B_SMALL,p4b_B_MATCH,fail_B_MATCH,p4b_B_HALF,fail_B_HALF,p4b_B_OWN,fail_B_OWN
k20~q0.250~s100,20,0.25,EWall,0.0841860879463358,0.6589554389795088,-0.3736175207673975,1.019981656350298,0.3946832939995949,0.4678007796468618,False,False,False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s100,20,0.25,CAND10,0.0918556604518761,0.6867263700983877,-0.3719319782558892,0.9862087767169638,0.4698226784705837,0.5224047188476755,False,False,False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s100,20,0.25,CAND20,0.0851346098952523,0.6653714439066312,-0.3736175207673972,1.0319572527902907,0.3966842135315217,0.472055138763723,False,False,False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s101,20,0.25,EWall,0.0947354831688631,0.8230299882878221,-0.2455525495034589,1.0575324154807533,0.6274724415332861,0.6728337267135608,False,False,False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,CAGR"
k20~q0.250~s101,20,0.25,CAND10,0.094882337674216,0.8038667909687592,-0.2540887321818951,1.0468932034925271,0.5968596036025579,0.6403088497195701,False,False,False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s101,20,0.25,CAND20,0.094707389004816,0.8234144434005095,-0.2455525495034579,1.0575324154807533,0.6278071692384826,0.6732205270295248,False,False,False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,CAGR"
k20~q0.250~s102,20,0.25,EWall,0.1104118942287279,0.9727930609160982,-0.2467230381334048,1.1928001753898108,0.7701549875669845,0.8393470435198055,False,False,False,"H2,OOS,DD",False,"H2,OOS,DD,CAGR",True,-,False,"H2,OOS,DD,CAGR",False,"H2,OOS,DD",False,"H2,OOS,DD,CAGR"
k20~q0.250~s102,20,0.25,CAND10,0.1237868656826925,1.0110849306990186,-0.2729562441502126,1.2439668036770462,0.7943685273660009,0.8720824139445085,False,False,False,"H2,OOS,DD",False,"H2,OOS,DD",True,-,False,"H2,OOS,DD",False,"H2,OOS,DD",False,"H2,OOS,DD,CAGR"
k20~q0.250~s102,20,0.25,CAND20,0.1105551285720778,0.9731758280924868,-0.246723038133405,1.1928001753898108,0.7712761292727138,0.840155997861491,False,False,False,"H2,OOS,DD",False,"H2,OOS,DD,CAGR",True,-,False,"H2,OOS,DD,CAGR",False,"H2,OOS,DD",False,"H2,OOS,DD,CAGR"
k20~q0.250~s103,20,0.25,EWall,0.0875096303100688,0.6911831096833886,-0.3243859300529784,0.7981544622468694,0.6053848993380087,0.6888362897414687,False,False,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s103,20,0.25,CAND10,0.0934167920845989,0.7041701123240198,-0.3215450921907814,0.7862567205423543,0.6378586077018803,0.7336572649597296,False,False,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s103,20,0.25,CAND20,0.0873933330631877,0.6907952014598036,-0.3243859300529792,0.7975998383271939,0.6053848993380087,0.6888362897414687,False,False,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s104,20,0.25,EWall,0.112932925176264,0.9301738967700912,-0.2530338399237883,1.1766139718724726,0.7514985949875378,0.8088807752162446,False,False,False,"H2,OOS,DD",False,"H2,OOS,DD,CAGR",True,-,False,"H2,OOS,DD,CAGR",False,"H2,OOS,DD",False,"H2,OOS,DD,CAGR"
