panel,m,n,key,dir,n_elig,n_held,realised_share,overlap
u56,0.05,2,VOL,NEG,37.499662086055416,1.9556206352782157,0.05215035353626375,0.06854021175940526
u56,0.05,2,VOL,POS,37.499662086055416,1.9556206352782157,0.05215035353626375,0.48531951640759935
u56,0.05,2,VOLR,NEG,37.499662086055416,1.9556206352782157,0.05215035353626375,0.009837050386723738
u56,0.05,2,VOLR,POS,37.499662086055416,1.9556206352782157,0.05215035353626375,0.5937523466246151
u56,0.05,2,MOM,NEG,37.499662086055416,1.9556206352782157,0.05215035353626375,0.04160096117744237
u56,0.05,2,MOM,POS,37.499662086055416,1.9556206352782157,0.05215035353626375,0.7991477059397762
u56,0.05,2,R6,NEG,37.499662086055416,1.9556206352782157,0.05215035353626375,0.29381617481414735
u56,0.05,2,R6,POS,37.499662086055416,1.9556206352782157,0.05215035353626375,0.8351543140346925
u56,0.05,2,R3,NEG,37.499662086055416,1.9556206352782157,0.05215035353626375,0.061688067883156866
u56,0.05,2,R3,POS,37.499662086055416,1.9556206352782157,0.05215035353626375,0.7972891792445745
u56,0.05,2,RAND,NEG,37.499662086055416,1.9556206352782157,0.05215035353626375,0.1114365097244124
u56,0.05,2,RAND,POS,37.499662086055416,1.9556206352782157,0.05215035353626375,0.2755875948036345
u56,0.1,4,VOL,NEG,37.499662086055416,3.9443568371254787,0.10518379680525769,0.15936262993595723
u56,0.1,4,VOL,POS,37.499662086055416,3.9443568371254787,0.10518379680525769,0.5459927697143286
u56,0.1,4,VOLR,NEG,37.499662086055416,3.9443568371254787,0.10518379680525769,0.04217192846951801
u56,0.1,4,VOLR,POS,37.499662086055416,3.9443568371254787,0.10518379680525769,0.613363155579871
u56,0.1,4,MOM,NEG,37.499662086055416,3.9443568371254787,0.10518379680525769,0.1261918171188277
u56,0.1,4,MOM,POS,37.499662086055416,3.9443568371254787,0.10518379680525769,0.8009761958399038
u56,0.1,4,R6,NEG,37.499662086055416,3.9443568371254787,0.10518379680525769,0.4177555004880979
u56,0.1,4,R6,POS,37.499662086055416,3.9443568371254787,0.10518379680525769,0.8456409101148906
u56,0.1,4,R3,NEG,37.499662086055416,3.9443568371254787,0.10518379680525769,0.16193640781385768
u56,0.1,4,R3,POS,37.499662086055416,3.9443568371254787,0.10518379680525769,0.8027885945998133
u56,0.1,4,RAND,NEG,37.499662086055416,3.9443568371254787,0.10518379680525769,0.16890333515699588
u56,0.1,4,RAND,POS,37.499662086055416,3.9443568371254787,0.10518379680525769,0.3288465870691597
u56,0.2,7,VOL,NEG,37.499662086055416,6.912142374408651,0.18432545761469654,0.3043349681781761
u56,0.2,7,VOL,POS,37.499662086055416,6.912142374408651,0.18432545761469654,0.6203712534868201
u56,0.2,7,VOLR,NEG,37.499662086055416,6.912142374408651,0.18432545761469654,0.1260905379569493
u56,0.2,7,VOLR,POS,37.499662086055416,6.912142374408651,0.18432545761469654,0.6347193656384915
u56,0.2,7,MOM,NEG,37.499662086055416,6.912142374408651,0.18432545761469654,0.28698982364785475
u56,0.2,7,MOM,POS,37.499662086055416,6.912142374408651,0.18432545761469654,0.7995782983505444
u56,0.2,7,R6,NEG,37.499662086055416,6.912142374408651,0.18432545761469654,0.52456464776244
u56,0.2,7,R6,POS,37.499662086055416,6.912142374408651,0.18432545761469654,0.8420380388053288
u56,0.2,7,R3,NEG,37.499662086055416,6.912142374408651,0.18432545761469654,0.3277711594055365
u56,0.2,7,R3,POS,37.499662086055416,6.912142374408651,0.18432545761469654,0.8036327862020585
u56,0.2,7,RAND,NEG,37.499662086055416,6.912142374408651,0.18432545761469654,0.2791866252442959
u56,0.2,7,RAND,POS,37.499662086055416,6.912142374408651,0.18432545761469654,0.39693127890356994
u56,0.35,13,VOL,NEG,37.499662086055416,12.687767515206128,0.33834351589861894,0.5249168934018111
u56,0.35,13,VOL,POS,37.499662086055416,12.687767515206128,0.33834351589861894,0.7029864674992524
