panel,family,con,theta_IS,cad_IS,isSharpe,oCAGR,oSharpe,oMaxDD,ctl_oSharpe,ctl_oCAGR,spy_oSharpe,spy_oCAGR,live_oSharpe,live_oCAGR,beats_ctl,beats_spy,beats_live,p4a,f4b
B136,MA-THRESH,DEGROSS,-0.25,Q,1.215604408842045,0.1358012991738673,1.1384051662705015,-0.24163593668050254,1.128303503883288,0.14074103213510458,0.8820239235972316,0.1545044425578177,1.2850848109016457,0.09534818985375493,True,True,False,False,DD
B136,MA-THRESH,RESPREAD,0.2,Q,1.458496965503912,0.21106474661139196,1.0664525071109845,-0.2952507655794452,1.128303503883288,0.14074103213510458,0.8820239235972316,0.1545044425578177,1.2850848109016457,0.09534818985375493,False,True,False,False,DD
B136,QUANTILE-F,DEGROSS,0.3,Q,1.6797297467695267,0.011521757126825127,1.0395942568107595,-0.017013510612959637,1.128303503883288,0.14074103213510458,0.8820239235972316,0.1545044425578177,1.2850848109016457,0.09534818985375493,False,True,False,False,CAGR
B136,QUANTILE-F,RESPREAD,0.3,Q,1.6812273599777838,0.286317737777563,1.0973596326559374,-0.33311134925916475,1.128303503883288,0.14074103213510458,0.8820239235972316,0.1545044425578177,1.2850848109016457,0.09534818985375493,False,True,False,False,DD
B136,QUANTILE-M,DEGROSS,0.3,Q,1.692062693273404,0.011973634580880077,1.0070146361183245,-0.017856605567414974,1.128303503883288,0.14074103213510458,0.8820239235972316,0.1545044425578177,1.2850848109016457,0.09534818985375493,False,True,False,False,CAGR
B136,QUANTILE-M,RESPREAD,0.3,Q,1.6641792238226472,0.2649615104321117,1.059346476643578,-0.319286076212706,1.128303503883288,0.14074103213510458,0.8820239235972316,0.1545044425578177,1.2850848109016457,0.09534818985375493,False,True,False,False,DD
SMALL439,MA-THRESH,DEGROSS,-0.4,Q,0.7368408498827739,0.07975352536349578,0.5874263980687731,-0.32467668866448296,0.6467213771466889,0.10159848445886821,0.882010501050508,0.15450723909089636,1.2850848109016457,0.09534818985375493,False,False,False,False,"H1,H2,OOS,DD,CAGR"
SMALL439,MA-THRESH,RESPREAD,0.3,M,0.8874006931164301,0.2402298578506441,1.1041600612175633,-0.3077804460589927,0.6234877163761683,0.0970806353462379,0.882010501050508,0.15450723909089636,1.2850848109016457,0.09534818985375493,True,True,False,False,DD
SMALL439,QUANTILE-F,DEGROSS,-0.12,Q,0.7161922147039934,0.07006355295944755,0.6358458957606496,-0.25301807512682406,0.6467213771466889,0.10159848445886821,0.882010501050508,0.15450723909089636,1.2850848109016457,0.09534818985375493,False,False,False,False,"H1,H2,OOS,DD,CAGR"
SMALL439,QUANTILE-F,RESPREAD,-0.12,Q,0.7149540647812791,0.09327594784120907,0.6294146020393399,-0.3475385649842109,0.6467213771466889,0.10159848445886821,0.882010501050508,0.15450723909089636,1.2850848109016457,0.09534818985375493,False,False,False,False,"H1,H2,OOS,DD,CAGR"
SMALL439,QUANTILE-M,DEGROSS,-0.12,Q,0.7213779117886007,0.07028411943793178,0.6364559184268218,-0.2542594664480017,0.6467213771466889,0.10159848445886821,0.882010501050508,0.15450723909089636,1.2850848109016457,0.09534818985375493,False,False,False,False,"H1,H2,OOS,DD,CAGR"
SMALL439,QUANTILE-M,RESPREAD,-0.12,Q,0.7192034473130973,0.09351835230738037,0.6306666540707109,-0.3483239520605924,0.6467213771466889,0.10159848445886821,0.882010501050508,0.15450723909089636,1.2850848109016457,0.09534818985375493,False,False,False,False,"H1,H2,OOS,DD,CAGR"
U56,MA-THRESH,DEGROSS,0.3,Q,1.2402236316509476,0.010463121750692306,0.5676700137783641,-0.033800585095968394,1.1680190827943562,0.1408436393825101,0.878646168321868,0.153780735432695,1.2816876607860581,0.0950629792087272,False,False,False,False,"H2,OOS,CAGR"
U56,MA-THRESH,RESPREAD,0.2,Q,1.4087603082168092,0.21384920836366383,0.9389440910869067,-0.32510635940216415,1.1680190827943562,0.1408436393825101,0.878646168321868,0.153780735432695,1.2816876607860581,0.0950629792087272,False,True,False,False,DD
U56,QUANTILE-F,DEGROSS,0.3,Q,1.4742727753158178,0.012217383125935788,0.8529767361791107,-0.02502597686765895,1.1680190827943562,0.1408436393825101,0.878646168321868,0.153780735432695,1.2816876607860581,0.0950629792087272,False,False,False,False,"OOS,CAGR"
U56,QUANTILE-F,RESPREAD,0.2,Q,1.481468781105229,0.2193097650203677,0.9781154447151007,-0.3273661408238131,1.1680190827943562,0.1408436393825101,0.878646168321868,0.153780735432695,1.2816876607860581,0.0950629792087272,False,True,False,False,DD
U56,QUANTILE-M,DEGROSS,0.3,W,1.5148518481104822,0.01619101768002551,1.0736473612224005,-0.02033753101922664,1.1382169351146856,0.13824258248646903,0.878646168321868,0.153780735432695,1.2816876607860581,0.0950629792087272,False,True,False,False,CAGR
U56,QUANTILE-M,RESPREAD,0.3,W,1.5238506548556647,0.29695538425198076,1.089731629820541,-0.32205533760018146,1.1382169351146856,0.13824258248646903,0.878646168321868,0.153780735432695,1.2816876607860581,0.0950629792087272,False,True,False,False,DD
