panel,book,cadence,base_CANON,base_FPORT,lift,pin_both,pinC,pinF
B136,BAND03,M,0.0,0.0,0.0,True,L5_CAGR,L5_CAGR
B136,BAND03,Q,0.0,0.0,0.0,True,"L4_DD,L5_CAGR","L4_DD,L5_CAGR"
B136,BAND03,W,0.0,0.0,0.0,True,L5_CAGR,L5_CAGR
B136,EWELIG,M,0.0,0.0,0.0,True,L4_DD,L4_DD
B136,EWELIG,Q,0.0,0.0,0.0,True,L4_DD,L4_DD
B136,EWELIG,W,0.016666666666666666,0.0,-0.016666666666666666,False,-,L4_DD
B136,TOP10,M,0.016666666666666666,0.016666666666666666,0.0,False,-,-
B136,TOP10,Q,0.05,0.0,-0.05,False,-,L4_DD
B136,TOP10,W,0.0,0.0,0.0,True,"L1_H1,L2_H2,L3_OOS,L5_CAGR","L1_H1,L2_H2,L3_OOS,L5_CAGR"
B136,TOP20,M,0.05,0.0,-0.05,False,-,L5_CAGR
B136,TOP20,Q,0.03333333333333333,0.0,-0.03333333333333333,False,-,L4_DD
B136,TOP20,W,0.0,0.0,0.0,True,"L1_H1,L2_H2,L3_OOS,L5_CAGR","L1_H1,L2_H2,L3_OOS,L5_CAGR"
B136,TOP40,M,0.0,0.0,0.0,True,L4_DD,"L4_DD,L5_CAGR"
B136,TOP40,Q,0.0,0.0,0.0,True,L4_DD,L4_DD
B136,TOP40,W,0.0,0.0,0.0,True,"L1_H1,L2_H2,L3_OOS,L5_CAGR","L1_H1,L2_H2,L3_OOS,L5_CAGR"
U56,BAND03,M,0.0,0.0,0.0,True,L5_CAGR,L5_CAGR
U56,BAND03,Q,0.0,0.0,0.0,True,L5_CAGR,L5_CAGR
U56,BAND03,W,0.0,0.0,0.0,True,L5_CAGR,L5_CAGR
U56,EWELIG,M,0.03,0.0,-0.03,False,-,L4_DD
U56,EWELIG,Q,0.0,0.0,0.0,True,L4_DD,L4_DD
U56,EWELIG,W,0.01,0.0,-0.01,False,-,L4_DD
U56,TOP10,M,0.23,0.66,0.43000000000000005,False,-,-
U56,TOP10,Q,0.14,0.7,0.5599999999999999,False,-,-
U56,TOP10,W,0.0,0.0,0.0,True,"L1_H1,L2_H2,L3_OOS,L5_CAGR","L1_H1,L2_H2,L3_OOS,L5_CAGR"
U56,TOP20,M,0.8,1.0,0.19999999999999996,False,-,-
U56,TOP20,Q,0.07,0.67,0.6000000000000001,False,-,-
U56,TOP20,W,0.0,0.0,0.0,True,L5_CAGR,"L1_H1,L5_CAGR"
U56,TOP40,M,0.99,1.0,0.010000000000000009,False,-,-
U56,TOP40,Q,0.01,1.0,0.99,False,-,-
U56,TOP40,W,0.0,0.0,0.0,True,L5_CAGR,L5_CAGR
