panel,gross,kind,depth,device,tier,devices,turnover_yr,mean_names_in,mean_risk_gross,mean_gross,mean_sweep_w,max_name_w,max_row_sum,n_trades,median_trade,acting_reb,sched_reb,lev_events,cut,dgross_rel
U56,0.75,STACK,0,-,MILD,NONE,3.506382942083227,37.55662921348315,0.6560925471605975,1.0,0.34390745283940255,0.027381432403730484,1.0000000000000009,35526,0.00039700050642422005,978,978,0,0.0,0.0
U56,0.75,STACK,1,-,MILD,HOLD,3.5334145848268474,37.70629213483146,0.6595774399357868,1.0,0.34042256006421306,0.028037927858616956,1.0000000000000009,34518,0.00039899523223768316,978,978,0,-0.007709267125159069,0.00531158719950553
U56,0.75,STACK,2,-,MILD,HOLD+DRIFT,3.2796534662959096,37.70629213483146,0.6609837347537337,1.0,0.33901626524626616,0.0280620871354084,1.0000000000000009,8716,0.0015295285977201534,978,978,0,0.06466192641600399,0.007455026907871476
U56,0.75,STACK,3,-,MILD,HOLD+DRIFT+BANDW,2.5963173071952985,37.16022471910112,0.6637217037691582,1.0,0.3362782962308418,0.02939466357231984,1.0000000000000009,7384,0.0014858103989706366,978,978,0,0.259545420428961,0.011628171424256761
U56,0.75,STACK,4,-,MILD,HOLD+DRIFT+BANDW+ROTA,2.318918979939419,37.28269662921348,0.6675300294729555,1.0,0.33246997052704447,0.03214355267041994,1.000000000000001,5830,0.001734248178716237,489,978,0,0.338657808276442,0.01743272707769128
U56,0.75,STACK,5,-,MILD,HOLD+DRIFT+BANDW+ROTA+PARTIAL,1.9847800006280973,51.70022471910112,0.6674629934901509,1.0,0.3325370065098491,0.030736246200183063,1.000000000000001,7550,0.0013810370827243065,489,978,0,0.4339522997311607,0.017330552494098317
U56,0.75,STACK,1,-,MID,HOLD,3.487649999601933,37.98314606741573,0.6659892012550336,1.0,0.3340107987449665,0.03025542178537189,1.0000000000000009,33437,0.00039827755580782234,978,978,0,0.005342526127555258,0.015084234895315074
U56,0.75,STACK,2,-,MID,HOLD+DRIFT,3.030599326630688,37.98314606741573,0.6721208605266761,1.0,0.3278791394733239,0.030183340662377503,1.0000000000000009,3562,0.004109328748099458,978,978,0,0.13569071698993163,0.02442995799212322
U56,0.75,STACK,3,-,MID,HOLD+DRIFT+BANDW,1.7390877952316244,36.65393258426966,0.6646579833918569,1.0,0.3353420166081431,0.028485153770292614,1.0000000000000007,2233,0.003358936639649132,978,978,0,0.5040222862257052,0.013055225620727473
U56,0.75,STACK,4,-,MID,HOLD+DRIFT+BANDW+ROTA,1.517386518188489,36.85910112359551,0.6709008215942295,1.0,0.32909917840577035,0.046136445496462335,1.0000000000000013,1822,0.004392868083083765,326,978,0,0.5672501996353618,0.022570404888332396
