ladder,rungs,n,rho_turnover,rho_drag,better
L1,10,18,-0.09860517755007135,-0.09860517755007135,tie
L2,10|25,36,-0.09452785402526283,-0.10850170053095802,DRAG
L4,0|10|25|50,72,-0.08996205061580824,-0.1673013385790991,DRAG
L6,0|5|10|15|25|50,108,-0.09295967794529007,-0.1475190152754433,DRAG
