crash,leg,pass_base,lost_bar_only,lost_book_only,lost_both,mean_d_bar,mean_d_book
CRASH_PT,L1_H1,343,0,6,0,0.01251937542354368,-0.00969120348623148
CRASH_PT,L2_H2,274,195,0,0,-0.36687668291515385,0.24877703775613036
CRASH_PT,L3_OOS,278,62,0,0,-0.3356466841242951,0.22184008709743339
CRASH_PT,L4_DD,239,129,0,110,-0.0553221696722016,0.029715951913857428
CRASH_PT,L5_CAGR,266,87,0,14,-0.020268755472883305,0.014536301781500307
CRASH_WIDE,L1_H1,343,16,0,0,-0.012027223391700443,0.011907099207032297
CRASH_WIDE,L2_H2,274,23,0,0,-0.2210552383288962,0.18701310244931815
CRASH_WIDE,L3_OOS,278,20,0,0,-0.2248151735555968,0.18297338291137386
CRASH_WIDE,L4_DD,239,129,0,110,-0.0553221696722017,0.029715951913857553
CRASH_WIDE,L5_CAGR,266,42,0,5,-0.008188873063909937,0.011273279087032007
