uni,q,draw,nkeep,book,scaler,arm,dCAGR_full,dMaxDD_full,rate_full,dCAGR_IS,dMaxDD_IS,rate_IS,dCAGR_OOS,dMaxDD_OOS,rate_OOS
universe.json(56),0.1,0,50,TOP3,OFF,g200-dg,-0.29674529171099806,0.0,,-0.547504647491337,1.5017013755356245,-0.36458956248611935,-0.08999131941855865,-1.1102230246251565e-14,
universe.json(56),0.1,0,50,TOP3,OFF,g200-rw,-0.3311469911598586,-1.1102230246251565e-14,,-0.5895244714870573,1.1643658180283012,-0.5063052026770579,-0.11812324853814893,-2.220446049250313e-14,
universe.json(56),0.1,0,50,TOP3,OFF,band3-dg,0.19809892155246978,0.0,,0.1290330533086692,0.0,,0.2551181032880656,1.1102230246251565e-14,
universe.json(56),0.1,0,50,TOP3,OFF,band3-rw,0.13199770930176769,0.0,,-0.0062152726388209345,0.0,,0.24604692886913693,0.0,
universe.json(56),0.1,0,50,TOP3,OFF,abs12-dg,0.562193505334041,-1.1102230246251565e-14,,1.4301503163021367,0.0,,-0.15921116387771495,0.0,
universe.json(56),0.1,0,50,TOP3,OFF,abs12-rw,0.03501232466167625,0.0,,0.44822113931135554,-6.661338147750939e-14,,-0.3072999800975973,0.0,
universe.json(56),0.1,0,50,TOP3,OFF,vol60-dg,7.2788829861391235,12.683379076539158,0.573891463955619,6.772656435068325,2.037935400254376,3.3232929926154475,7.695445159699066,12.683379076539147,0.6067346180588088
universe.json(56),0.1,0,50,TOP3,OFF,vol60-rw,5.508911369142044,6.40829465631364,0.8596532563799175,7.626976826585596,-0.127437002742381,,3.731293826766202,6.408294656313684,0.5822600281168402
universe.json(56),0.1,0,50,TOP3,OFF,v1gate-dg,7.067744493309491,12.683379076539115,0.5572445994603239,6.551273569436922,3.4517897353819937,1.897935294923728,7.492706008430483,12.68337907653917,0.590749985726593
universe.json(56),0.1,0,50,TOP3,OFF,v1gate-rw,5.765610437329771,6.742789579776809,0.8550779123557667,7.400547494876419,0.6384180678284168,11.59200822753878,4.398430485190996,6.742789579776831,0.6523161420286487
universe.json(56),0.1,0,50,TOP3,OFF,stop15,2.906904529078247,-1.4358048095976073,,3.119449924954454,1.4437420952103763,2.1606697867321656,2.7310688027338603,-1.435804809597574,
universe.json(56),0.1,0,50,TOP3,OFF,stop25,0.22433282663640863,-1.540964305065129,,0.12230888823470121,-0.08580462536149636,,0.308541639569615,-1.540964305065129,
universe.json(56),0.1,0,50,TOP3,OFF,ddctl-8/.5/recover,12.097322579199442,8.779490261252043,1.3779071699174301,11.077997017829656,4.38407302845909,2.5268732856221012,12.932643319702741,8.779490261251999,1.4730517302104145
universe.json(56),0.1,0,50,TOP3,OFF,ddctl-8/.5/high,11.464018630726436,8.779490261252022,1.3057726917612162,10.700611819216954,6.846977602800508,1.5628226700844263,12.09088688963844,8.779490261252022,1.3771741331044187
universe.json(56),0.1,0,50,TOP3,OFF,ebud-0.10,9.802590347570895,1.1102230246251565e-14,,9.639152979001864,3.375849854705193,2.8553263308103003,9.937424850902342,0.0,
universe.json(56),0.1,0,50,TOP3,OFF,ebud-0.20,4.192894855922424,-2.220446049250313e-14,,3.641217558211962,1.709890433248873,2.129503439172694,4.646739133874966,1.1102230246251565e-14,
universe.json(56),0.1,0,50,TOP5,OFF,g200-dg,0.2604923311490648,-2.220446049250313e-14,,0.11100338154232947,0.24078875616223572,0.4609990238395474,0.3865499579261078,-3.3306690738754696e-14,
universe.json(56),0.1,0,50,TOP5,OFF,g200-rw,0.10453652935789037,0.0,,0.07239025628431595,0.1036349317456553,0.6985121239041175,0.13166170558336354,-2.220446049250313e-14,
