T,leg,population,n_claims,n_vol_scaled,n_turn_known,n_flagged,n_flagged_turn_unknown,n_files_flagged
0,vol_scaled_LOOSE,ALL,7980,902,4256,902,345,61
0,vol_scaled_LOOSE,NUMERIC_DIALS,2585,256,1393,256,54,20
0,vol_scaled_NAMED,ALL,7980,758,4256,758,304,51
0,vol_scaled_NAMED,NUMERIC_DIALS,2585,231,1393,231,53,19
10,vol_scaled_LOOSE,ALL,7980,902,4256,158,345,15
10,vol_scaled_LOOSE,NUMERIC_DIALS,2585,256,1393,62,54,4
10,vol_scaled_NAMED,ALL,7980,758,4256,108,304,15
10,vol_scaled_NAMED,NUMERIC_DIALS,2585,231,1393,46,53,4
20,vol_scaled_LOOSE,ALL,7980,902,4256,40,345,11
20,vol_scaled_LOOSE,NUMERIC_DIALS,2585,256,1393,22,54,4
20,vol_scaled_NAMED,ALL,7980,758,4256,40,304,11
20,vol_scaled_NAMED,NUMERIC_DIALS,2585,231,1393,22,53,4
30,vol_scaled_LOOSE,ALL,7980,902,4256,1,345,1
30,vol_scaled_LOOSE,NUMERIC_DIALS,2585,256,1393,0,54,0
30,vol_scaled_NAMED,ALL,7980,758,4256,1,304,1
30,vol_scaled_NAMED,NUMERIC_DIALS,2585,231,1393,0,53,0
50,vol_scaled_LOOSE,ALL,7980,902,4256,0,345,0
50,vol_scaled_LOOSE,NUMERIC_DIALS,2585,256,1393,0,54,0
50,vol_scaled_NAMED,ALL,7980,758,4256,0,304,0
50,vol_scaled_NAMED,NUMERIC_DIALS,2585,231,1393,0,53,0
