family,offset,reb_per_yr,clipped_periods,n_rebalances
DOM,DOM00,12.078307830783077,0,213
DOM,DOM01,12.078307830783077,0,213
DOM,DOM02,12.078307830783077,0,213
DOM,DOM03,12.078307830783077,0,213
DOM,DOM04,12.078307830783077,0,213
DOM,DOM05,12.078307830783077,0,213
DOM,DOM06,12.078307830783077,0,213
DOM,DOM07,12.078307830783077,0,213
DOM,DOM08,12.078307830783077,0,213
DOM,DOM09,12.078307830783077,1,213
DOM,DOM10,12.078307830783077,1,213
DOM,DOM11,12.078307830783077,1,213
DOM,DOM12,12.078307830783077,1,213
DOM,DOM13,12.021602160216021,1,212
DOM,DOM14,12.021602160216021,1,212
DOM,DOM15,12.021602160216021,1,212
DOM,DOM16,12.021602160216021,1,212
DOM,DOM17,12.021602160216021,1,212
DOM,DOM18,12.021602160216021,1,212
DOM,DOM19,12.021602160216021,28,212
DOM,DOM20,12.021602160216021,75,212
4W,4W0,13.099009900990097,0,231
4W,4W1,13.042304230423042,0,230
4W,4W2,13.099009900990097,0,231
4W,4W3,13.099009900990097,0,231
DOW,DOW0,52.339333933393334,0,923
DOW,DOW1,52.339333933393334,1,923
DOW,DOW2,52.339333933393334,1,923
DOW,DOW3,52.339333933393334,3,923
DOW,DOW4,52.28262826282628,176,922
