panel,ladder,stat,L,q,rungs,peak,runner_up,gap,floor,largest_unresolved,n_pairs,n_unresolved,tie_set_verdict,P_argmax,tie_set_width,tie_set,tie_mass,spread,floor_capped,peak_is_grid_edge
U56,N,S_FULL,63,0.9,9,12,15,0.007068668245825416,0.1761523806496179,0.1537365394298984,36,33,True,0.299,7,"[10, 12, 15, 20, 25, 30, 40]",0.93,0.18322104889544333,0.1761523806496179,False
U56,N,S_OOS,63,0.9,9,15,12,0.014730064937639176,0.27556027866714705,0.26405478158276907,36,32,True,0.252,7,"[10, 12, 15, 20, 25, 30, 40]",0.9,0.2902903436047862,0.27556027866714705,False
U56,N,CAGR,63,0.9,9,5,12,0.12264140835065618,4.247390553434547,3.8195536351496084,36,20,True,0.475,5,"[5, 8, 10, 12, 15]",0.9870000000000001,4.3700319617852035,4.247390553434547,True
U56,N,DD,63,0.9,9,20,12,1.0416639841034687,5.684363419230408,5.0825399429743605,36,34,True,0.212,8,"[8, 10, 12, 15, 20, 25, 30, 40]",0.99,6.726027403333877,5.684363419230408,False
U56,H,S_FULL,63,0.9,4,252,126,0.025078881717488066,inf,0.06337993535645858,6,6,True,0.519,4,"[21, 63, 126, 252]",1.0,0.06337993535645858,0.06337993535645858,True
U56,H,S_OOS,63,0.9,4,252,126,0.028770378742377645,inf,0.08847533187304535,6,6,True,0.523,4,"[21, 63, 126, 252]",1.0,0.08847533187304535,0.08847533187304535,True
U56,H,CAGR,63,0.9,4,252,126,0.3049987073677549,1.5304197924899796,1.2254210851222247,6,5,True,0.542,3,"[63, 126, 252]",0.974,1.5304197924899796,1.5304197924899796,True
U56,H,DD,63,0.9,4,126,21,1.1140575191411841,inf,6.564551170891317,6,6,True,0.166,4,"[21, 63, 126, 252]",1.0,6.564551170891317,6.564551170891317,False
U56,GROSS,S_FULL,63,0.9,10,0.75,0.7,0.0001556639667841253,inf,0.0017882751492677151,45,25,True,0.836,6,"[0.5, 0.55, 0.6, 0.65, 0.7, 0.75]",0.9099999999999999,0.0017882751492677151,0.0017882751492677151,True
U56,GROSS,S_OOS,63,0.9,10,0.75,0.7,0.00019477495026443137,inf,0.0021154912506546886,45,45,True,0.84,10,"[0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75]",1.0,0.0021154912506546886,0.0021154912506546886,True
U56,GROSS,CAGR,63,0.9,10,0.75,0.7,1.0495280990911553,1.0380692471477992,0.0,45,0,False,1.0,1,[0.75],1.0,9.401691141620727,1.0380692471477992,True
U56,GROSS,DD,63,0.9,10,0.3,0.35,1.2859290693538092,1.1938432556992673,0.0,45,0,False,1.0,1,[0.3],1.0,11.137235203817976,1.1938432556992673,True
U56,CADENCE,S_FULL,63,0.9,4,W,Q,0.0008674369892938127,inf,0.058865156398083096,6,6,True,0.36,4,"['D', 'W', 'M', 'Q']",1.0,0.058865156398083096,0.058865156398083096,False
U56,CADENCE,S_OOS,63,0.9,4,Q,W,0.008308398644119697,inf,0.09704441230057848,6,6,True,0.455,4,"['D', 'W', 'M', 'Q']",1.0,0.09704441230057848,0.09704441230057848,True
U56,CADENCE,CAGR,63,0.9,4,W,D,0.16042241106593025,inf,0.906597672704823,6,6,True,0.337,4,"['D', 'W', 'M', 'Q']",1.0,0.906597672704823,0.906597672704823,False
U56,CADENCE,DD,63,0.9,4,W,Q,0.8170754711183754,inf,4.003291955027809,6,6,True,0.505,4,"['D', 'W', 'M', 'Q']",1.0,4.003291955027809,4.003291955027809,False
B136,N,S_FULL,63,0.9,9,30,25,0.0013056747034598803,inf,0.12053112976248326,36,36,True,0.201,7,"[10, 12, 15, 20, 25, 30, 40]",0.9259999999999999,0.12053112976248326,0.12053112976248326,False
B136,N,S_OOS,63,0.9,9,30,25,0.007302318218142201,0.22338792431073118,0.1840772249292124,36,18,True,0.204,5,"[15, 20, 25, 30, 40]",0.978,0.3008648592605092,0.22338792431073118,False
B136,N,CAGR,63,0.9,9,5,10,0.8113364217981811,inf,3.5944231255558456,36,34,True,0.593,7,"[5, 8, 10, 12, 15, 20, 25]",0.92,3.5944231255558456,3.5944231255558456,True
B136,N,DD,63,0.9,9,15,10,0.543560127681598,6.509181522842699,5.72346028834755,36,23,True,0.245,6,"[12, 15, 20, 25, 30, 40]",0.9119999999999999,8.464152973446904,6.509181522842699,False
B136,H,S_FULL,63,0.9,4,21,63,0.002489675049586637,inf,0.021394727541090397,6,6,True,0.278,4,"[21, 63, 126, 252]",1.0,0.021394727541090397,0.021394727541090397,True
B136,H,S_OOS,63,0.9,4,252,126,0.03755133008137168,inf,0.05154960186986668,6,6,True,0.453,4,"[21, 63, 126, 252]",1.0,0.05154960186986668,0.05154960186986668,True
B136,H,CAGR,63,0.9,4,63,252,0.564914333987776,inf,0.9107027373571412,6,6,True,0.426,4,"[21, 63, 126, 252]",1.0,0.9107027373571412,0.9107027373571412,False
B136,H,DD,63,0.9,4,126,252,2.7506960085619347,inf,7.954516095049858,6,6,True,0.441,4,"[21, 63, 126, 252]",1.0,7.954516095049858,7.954516095049858,False
B136,GROSS,S_FULL,63,0.9,10,0.75,0.7,0.00039966707365901577,0.00039966707365901577,0.0,45,0,False,0.979,1,[0.75],0.979,0.003989077477571934,0.00039966707365901577,True
B136,GROSS,S_OOS,63,0.9,10,0.75,0.7,0.00046199462908180777,0.00046199462908180777,0.0,45,0,False,0.953,1,[0.75],0.953,0.004535882691720783,0.00046199462908180777,True
B136,GROSS,CAGR,63,0.9,10,0.75,0.7,1.0724850854269423,1.0702988360427712,0.0,45,0,False,1.0,1,[0.75],1.0,9.652220143086685,1.0702988360427712,True
B136,GROSS,DD,63,0.9,10,0.3,0.35,1.39601645431493,1.2864280606593717,0.0,45,0,False,1.0,1,[0.3],1.0,12.06820564370834,1.2864280606593717,True
B136,CADENCE,S_FULL,63,0.9,4,M,W,0.008627249572870754,inf,0.07115495315410092,6,6,True,0.463,3,"['D', 'W', 'M']",0.913,0.07115495315410092,0.07115495315410092,False
B136,CADENCE,S_OOS,63,0.9,4,M,W,0.055439762951079885,inf,0.11325529524020728,6,6,True,0.607,3,"['W', 'M', 'Q']",0.9410000000000001,0.11325529524020728,0.11325529524020728,False
B136,CADENCE,CAGR,63,0.9,4,M,D,0.09001606372775939,inf,1.8463253895186096,6,6,True,0.409,3,"['D', 'W', 'M']",0.968,1.8463253895186096,1.8463253895186096,False
B136,CADENCE,DD,63,0.9,4,W,Q,1.3764460187531853,inf,7.623470897118423,6,6,True,0.496,3,"['W', 'M', 'Q']",0.95,7.623470897118423,7.623470897118423,False
