panel,lam,point,null_median,p05,p95,share_sub1,n_draws
U56,2.007154870394113,0.8096867988455705,0.6939682307423782,0.4952156019253494,1.182773285177805,0.92,200
B136,1.8393724816193036,0.6456197184728232,0.6916753252391254,0.5257085933847088,1.019053709954089,0.925,200
SMALL,1.0,0.6117958231986302,0.6083053225403869,0.4112329802916475,0.8569236409048493,0.975,200
