stat,K,n_undetermined,share_undetermined,zone_max,zone_p95,zone_median,corpus_inside_p95,mean_p,max_p
MAX,20,57,0.31666666666666665,1.1777437923111607,0.828460190003134,0.11832293225292279,0.9666666666666667,0.17702777777777778,0.981875
MAX,50,44,0.24444444444444444,1.1777437923111607,0.8297144277491392,0.09246324377357101,0.9666666666666667,0.11001388888888888,0.9481249999999999
MAX,100,33,0.18333333333333332,1.1777437923111607,0.9722876231359667,0.055667995399349246,0.9833333333333333,0.06710763888888889,0.899375
MAX,200,22,0.12222222222222222,0.4805063417998079,0.46937336553548265,0.05015976592516842,0.8,0.031482638888888886,0.798125
MAX,400,7,0.03888888888888889,0.012679684193647178,0.012547088944045104,0.007758195213536823,0.1388888888888889,0.010447916666666668,0.596875
Q95,20,41,0.22777777777777777,0.10551548816338391,0.09406641493944856,0.016168311366015674,0.7166666666666667,0.06731944444444445,0.709375
Q95,50,27,0.15,0.0920996071616823,0.06839308651957032,0.011920145124284465,0.5833333333333334,0.043708333333333335,0.6031249999999999
Q95,100,17,0.09444444444444444,0.017988053845406304,0.017452441447645295,0.0067534858874159776,0.25555555555555554,0.03441319444444445,0.61625
Q95,200,13,0.07222222222222222,0.014557638430803377,0.012975142446892025,0.004623483753195212,0.2111111111111111,0.026826388888888886,0.58
Q95,400,12,0.06666666666666667,0.014557638430803377,0.013107017112217973,0.004095106498550466,0.2111111111111111,0.020309027777777777,0.5543750000000001
