book,col,n,diff
TOP20,dCAGR,64,8.881784197001252e-16
TOP20,dMaxDD,64,8.881784197001252e-16
TOP20,rate,64,1.1102230246251565e-16
TOP20,dMaxDD_IS,64,2.220446049250313e-16
TOP20,dMaxDD_OOS,64,8.881784197001252e-16
TOP20,D1_pass,64,0.0
TOP20,D2_pass,64,0.0
V1u,dCAGR,64,2.220446049250313e-16
V1u,dMaxDD,64,4.440892098500626e-16
V1u,rate,64,9.974659986866641e-17
V1u,dMaxDD_IS,64,2.220446049250313e-16
V1u,dMaxDD_OOS,64,1.7763568394002505e-15
V1u,D1_pass,64,0.0
V1u,D2_pass,64,0.0
TOP20,D3.frac_pos_full,96,0.0
TOP20,D3.frac_pos_IS,96,0.0
TOP20,D3.frac_pos_OOS,96,0.0
V1u,D3.frac_pos_full,96,0.0
V1u,D3.frac_pos_IS,96,0.0
V1u,D3.frac_pos_OOS,96,0.0
