tau,q,n_draws,sd_within,sd_between,sd_total,reliability,rho,rho_disatt
UNMATCHED,0.0,8.0,0.1180935282621221,0.12109771992683736,0.1659222271377327,0.5125578082645539,0.6886196425377177,0.961851395960142
UNMATCHED,0.5,8.0,0.1622902247842212,0.10992786591026217,0.19373136752959272,0.3145087764056404,0.548282295347902,0.9776599796083414
UNMATCHED,1.0,8.0,0.21930869602408523,0.06961208957095762,0.2293143803806611,0.09153091202026224,0.11822711800993259,0.390780791484054
0.45,0.0,8.0,0.12621883796938607,0.11675714090999877,0.1689939197426472,0.46111808587899233,0.674516706440443,0.9933141738481901
0.45,0.5,8.0,0.1517505833984875,0.10171826015520452,0.18058920961765795,0.3100120691398274,0.5078134435364317,0.9120421150337896
0.45,1.0,8.0,0.176284004538081,0.0,0.17439221542382682,0.0,0.21134540882745834,
0.30,0.0,8.0,0.10842088776357726,0.09653010007209104,0.1427814946427865,0.4421769221760111,0.6816397270880588,1.0250778697270484
0.30,0.5,8.0,0.1719759159956877,0.10625215710297298,0.20008342544464247,0.27626221786963234,0.5282293958617115,1.004990181694494
0.30,1.0,8.0,0.14533273000227376,0.10067377867760018,0.17467114013740934,0.3242560269197467,0.39917047752572915,0.700994136104996
0.20,0.0,8.0,0.09763171413706113,0.08791033306221134,0.12919260808693694,0.447748947936796,0.7077304600912836,1.0576710095196837
0.20,0.5,8.0,0.156414630979689,0.10447553207214975,0.18594730529977233,0.3085056245507503,0.575150996595843,1.0355005490211113
0.20,1.0,8.0,0.19688371575530633,0.01318152457760786,0.1972920355649748,0.004462408834165367,0.29859524694020084,4.469904165375478
