panel,family,L,rung_a,rung_b,adjacent,diff,se,t,sign_frac,resolves,valid_reps
U56,G,21,0.625,0.5,True,0.012788712931573798,0.015964766335318265,0.8010585725443284,0.9975,False,400
U56,G,21,0.625,0.375,False,0.0283995918470481,0.03261527835041661,0.8707450398529356,0.9975,False,400
U56,G,21,0.625,0.25,False,0.04534136515086873,0.04988739787885178,0.9088741261065011,0.995,False,400
U56,G,21,0.5,0.375,True,0.015610878915474302,0.016666190822443732,0.9366794777395515,0.9975,False,400
U56,G,21,0.5,0.25,False,0.03255265221929493,0.0339522698477885,0.9587769054979771,0.995,False,400
U56,G,21,0.375,0.25,True,0.01694177330382063,0.017310391715643407,0.978705368550981,0.9975,False,400
U56,V,21,0.5,1.0,True,-0.009452846495546341,0.2574171260632262,-0.036721902074318684,0.7675,False,400
U56,V,21,0.5,1.5,False,-0.02098244126084614,0.3878558226328703,-0.054098559403882744,0.79,False,400
U56,V,21,0.5,2.0,False,-0.03432977032257645,0.46680340510818114,-0.07354224486563153,0.79,False,400
U56,V,21,1.0,1.5,True,-0.0115295947652998,0.1825318957001614,-0.06316482235104297,0.72,False,400
U56,V,21,1.0,2.0,False,-0.024876923827030106,0.29720574650371095,-0.08370270130937556,0.6825,False,400
U56,V,21,1.5,2.0,True,-0.013347329061730306,0.14460655870548952,-0.09230099368393045,0.635,False,400
U56,S0.5,21,0.05,0.075,True,1.0043876046785438,5.555612743521975,0.18078790784143342,0.6225,False,400
U56,S0.5,21,0.05,0.1,False,-0.3755133186544005,1.5734139237646207,-0.2386614945900126,0.705,False,400
U56,S0.5,21,0.05,0.125,False,-0.42258620896737986,1.487838584865138,-0.2840269188244532,0.8175,False,400
U56,S0.5,21,0.05,0.15,False,-1.1918291352556063,1.8005135500405958,-0.6619384426341776,0.9125,False,400
U56,S0.5,21,0.05,0.2,False,,,,,False,0
U56,S0.5,21,0.075,0.1,True,-1.3799009233329445,5.5364532893070075,-0.2492391520755818,0.7775,False,400
U56,S0.5,21,0.075,0.125,False,-1.4269738136459238,5.649458065808195,-0.2525859643568812,0.8525,False,400
U56,S0.5,21,0.075,0.15,False,-2.19621673993415,5.967550749661146,-0.3680264872584213,0.86,False,400
U56,S0.5,21,0.075,0.2,False,,,,,False,0
