rung,rho_vs_0,sign_agree
0.0,1.0,1.0
1.0,0.9996539691286745,0.9984567901234568
2.0,0.9986149503550885,0.9953703703703703
3.0,0.9971477371219438,0.9907407407407407
5.0,0.9919903070781417,0.9799382716049383
7.5,0.9809547625056633,0.9660493827160493
10.0,0.9643378273023254,0.9567901234567902
15.0,0.9205425178376688,0.9104938271604939
20.0,0.8697771957673184,0.8780864197530864
25.0,0.7934204077726402,0.8194444444444444
30.0,0.7142386124541344,0.7438271604938271
40.0,0.5653827999591167,0.6635802469135802
50.0,0.41413339410704486,0.5370370370370371
75.0,0.1570411890742715,0.37037037037037035
100.0,0.029259124133062236,0.3148148148148148
