panel,cost_bps,chooser,pick_L,pick_gross,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,base_OOS_CAGR,base_OOS_Sharpe,base_OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,full4b,pick_is_200
U56,0.0,C_ISSHARPE,100,0.75,0.11439578380799231,1.0562260558590664,-0.2146130231448532,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,False,False
U56,0.0,C_ISCALMAR,150,0.75,0.12628287099861613,1.16070725626182,-0.17633681755523534,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False
U56,10.0,C_ISSHARPE,150,0.75,0.12020934808985761,1.110083468754553,-0.17770880137614564,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False
U56,10.0,C_ISCALMAR,150,0.75,0.12020934808985761,1.110083468754553,-0.17770880137614564,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False
U56,25.0,C_ISSHARPE,150,0.75,0.11115759573203565,1.0339971397670131,-0.17976421139253762,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False
U56,25.0,C_ISCALMAR,150,0.75,0.11115759573203565,1.0339971397670131,-0.17976421139253762,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False
U56,50.0,C_ISSHARPE,250,0.75,0.11717259129479762,1.051764464690324,-0.17964672413813598,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False
U56,50.0,C_ISCALMAR,150,0.75,0.0962261520743557,0.9069216877635164,-0.19299523305860133,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,False,False
B136,0.0,C_ISSHARPE,100,0.75,0.11114867711716503,1.0287389510800147,-0.18707939499821646,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,False
B136,0.0,C_ISCALMAR,150,0.75,0.11827643539687127,1.0753561431145175,-0.18410515396563543,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,False
B136,10.0,C_ISSHARPE,100,0.75,0.10288973571907856,0.9596859107516039,-0.1963095709370407,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,False
B136,10.0,C_ISCALMAR,150,0.75,0.11167700591016971,1.020969667883294,-0.191336831464471,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,False
B136,25.0,C_ISSHARPE,300,0.75,0.11763176281442589,1.0346948801564935,-0.2052294931253964,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,False
B136,25.0,C_ISCALMAR,150,0.75,0.10184770242057017,0.9392713586990007,-0.202068409221827,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,False
B136,50.0,C_ISSHARPE,300,0.75,0.10627948790949837,0.9438690366556806,-0.20805026042823604,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,False
B136,50.0,C_ISCALMAR,150,0.75,0.08565009480081232,0.8029464022771473,-0.21964944668702668,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,False
SMALL,0.0,C_ISSHARPE,150,0.75,0.08202101506729442,0.6126220432433135,-0.355306473491942,0.036280008883579296,0.5446624091592769,-0.14161687822607494,0.1528697241236867,0.8750770747646847,-0.33717256724185274,False,False
SMALL,0.0,C_ISCALMAR,150,0.75,0.08202101506729442,0.6126220432433135,-0.355306473491942,0.036280008883579296,0.5446624091592769,-0.14161687822607494,0.1528697241236867,0.8750770747646847,-0.33717256724185274,False,False
SMALL,10.0,C_ISSHARPE,150,0.75,0.0725138464870998,0.5520944907955723,-0.36629310562614226,0.036280008883579296,0.5446624091592769,-0.14161687822607494,0.1528697241236867,0.8750770747646847,-0.33717256724185274,False,False
SMALL,10.0,C_ISCALMAR,150,0.75,0.0725138464870998,0.5520944907955723,-0.36629310562614226,0.036280008883579296,0.5446624091592769,-0.14161687822607494,0.1528697241236867,0.8750770747646847,-0.33717256724185274,False,False
SMALL,25.0,C_ISSHARPE,300,0.75,0.06311116631493707,0.496227080026417,-0.36445595225979666,0.036280008883579296,0.5446624091592769,-0.14161687822607494,0.1528697241236867,0.8750770747646847,-0.33717256724185274,False,False
SMALL,25.0,C_ISCALMAR,150,0.75,0.05840469875880916,0.46131811805879397,-0.3824313359195578,0.036280008883579296,0.5446624091592769,-0.14161687822607494,0.1528697241236867,0.8750770747646847,-0.33717256724185274,False,False
SMALL,50.0,C_ISSHARPE,300,0.75,0.04542216558646017,0.37988247184033486,-0.385647784999521,0.036280008883579296,0.5446624091592769,-0.14161687822607494,0.1528697241236867,0.8750770747646847,-0.33717256724185274,False,False
SMALL,50.0,C_ISCALMAR,300,0.75,0.04542216558646017,0.37988247184033486,-0.385647784999521,0.036280008883579296,0.5446624091592769,-0.14161687822607494,0.1528697241236867,0.8750770747646847,-0.33717256724185274,False,False
