panel,n,seed,d
U56,20,0,0.13223810356298593
U56,20,1,0.042449775093647446
U56,20,2,0.11625693224406197
U56,20,3,-0.01609829237505478
U56,20,4,0.10048588585215934
U56,20,5,-0.012065691064035988
U56,20,6,0.1337295814223437
U56,20,7,-0.0531750349576976
B136,20,0,0.028356649754801455
B136,20,1,0.011002459971177436
B136,20,2,-0.1271200743718316
B136,20,3,0.010093865740316676
B136,20,4,-0.0994352919928253
B136,20,5,-0.12169150913004845
B136,20,6,-0.10913476787456078
B136,20,7,0.0723053580989439
B136,30,0,0.03503701279518323
B136,30,1,-0.0022609280641366913
B136,30,2,-0.11204127238837625
B136,30,3,-0.0296822972624734
B136,30,4,-0.0031488487402223653
B136,30,5,-0.09781718113130033
B136,30,6,-0.08629928174834711
B136,30,7,-0.001808320254354956
B136,40,0,0.0351589357422426
B136,40,1,0.0021196077057105134
B136,40,2,-0.0734883194511392
B136,40,3,-0.03533500291042946
B136,40,4,0.03758000205407197
B136,40,5,-0.08395057131029426
B136,40,6,-0.04763718194725708
B136,40,7,-0.0005121563712400246
B136,60,0,0.014026312841945554
B136,60,1,-0.008535280461208772
B136,60,2,-0.03368312947875107
B136,60,3,0.023345420806700656
B136,60,4,0.015521681104063378
B136,60,5,-0.03942045116232984
B136,60,6,-0.007542293054694782
B136,60,7,0.0217016187946929
BSTK100,20,0,-0.09419207671220209
BSTK100,20,1,-0.10577841496740181
BSTK100,20,2,-0.09089831206209775
BSTK100,20,3,-0.08599140306380482
BSTK100,20,4,0.09670336489394593
BSTK100,20,5,0.0067934374080749205
BSTK100,20,6,0.01681626491233912
BSTK100,20,7,-0.043308036999144095
BSTK100,30,0,-0.010007066158359557
BSTK100,30,1,-0.09996408920818844
BSTK100,30,2,-0.04262053275693922
BSTK100,30,3,-0.03459502577885931
BSTK100,30,4,-0.00028073990778554325
BSTK100,30,5,-0.10101171859796698
BSTK100,30,6,-0.061451406765621
BSTK100,30,7,-0.08579818118149396
BSTK100,40,0,-0.0022881489098264263
BSTK100,40,1,-0.08164423909647989
BSTK100,40,2,0.006487686536476134
BSTK100,40,3,-0.026202359131566877
BSTK100,40,4,-0.005377581942840215
BSTK100,40,5,-0.07791382219108833
BSTK100,40,6,-0.01846258594919281
BSTK100,40,7,-0.050771941759101824
