stat,rule,block,mean_rank,z
RAW,S_BREADTH,A,28.61111111111111,0.4627456705548969
RAW,S_BREADTH,B,38.0,-1.8373725154385607
RAW,S_CORR,A,15.944444444444445,3.5658636966289103
RAW,S_CORR,B,21.77777777777778,2.136796184621141
RAW,S_DISP,A,25.88888888888889,1.129643842825189
RAW,S_DISP,B,22.666666666666668,1.9190335161247185
RAW,S_EVOL,A,44.333333333333336,-3.388931528475568
RAW,S_EVOL,B,39.666666666666664,-2.245677518869351
RAW,S_EWALL,A,38.27777777777778,-1.9054233493436927
RAW,S_EWALL,B,33.44444444444444,-0.7213388393943975
RAW,S_ISS,A,33.388888888888886,-0.7077286726133708
RAW,S_ISS,B,27.666666666666668,0.6941185058323449
RAW,S_RESID,A,25.61111111111111,1.1976946767303212
RAW,S_RESID,B,30.333333333333332,0.04083050034307942
RES,S_BREADTH,A,27.944444444444443,0.6260676719272137
RES,S_BREADTH,B,35.94444444444444,-1.3337963445405845
RES,S_CORR,A,40.111111111111114,-2.3545588531175636
RES,S_CORR,B,23.22222222222222,1.7829318483144554
RES,S_DISP,A,43.77777777777778,-3.2528298606653037
RES,S_DISP,B,27.055555555555557,0.8438303404236348
RES,S_EVOL,A,26.055555555555557,1.0888133424821096
RES,S_EVOL,B,39.111111111111114,-2.109575851059089
RES,S_EWALL,A,30.38888888888889,0.027220333562052654
RES,S_EWALL,B,28.5,0.4899660041169495
RES,S_ISS,A,28.833333333333332,0.40830500343079157
RES,S_ISS,B,33.44444444444444,-0.7213388393943975
RES,S_RESID,A,21.5,2.204847018526273
RES,S_RESID,B,29.27777777777778,0.29942366918258007
