panel,dial,dial_set,rung,form,control,pick,oracle,JAC_IS,JAC_FULL,d_oos,d_is,d_full,d_cagr_oos,d_dd_oos,abstain
u56,n,TRAIN,10.0,DEFAULT,20,40,30,0.4892003194372709,0.48892707054571116,0.015068966726830446,0.035606354986244426,0.02487625977848751,-0.01921536392620271,0.017861822248873116,False
u56,n,TRAIN,10.0,MEDIAN,20,40,30,0.4892003194372709,0.48892707054571116,0.015068966726830446,0.035606354986244426,0.02487625977848751,-0.01921536392620271,0.017861822248873116,False
u56,n,TRAIN,25.0,DEFAULT,20,60,60,0.4892003194372709,0.48892707054571116,0.1024564911327257,0.11355258970498605,0.1078484595926601,-0.00907679700367936,0.01257321634380415,False
u56,n,TRAIN,25.0,MEDIAN,20,60,60,0.4892003194372709,0.48892707054571116,0.1024564911327257,0.11355258970498605,0.1078484595926601,-0.00907679700367936,0.01257321634380415,False
u56,volcap,TRAIN,10.0,DEFAULT,0.6,9.99,0.45,0.11608419028780552,0.13533066390232504,-0.007959511056879975,0.10135792417220757,0.03300575737003175,0.014770449842489874,-0.030800999175919053,False
u56,volcap,TRAIN,10.0,MEDIAN,0.8,9.99,0.45,0.11608419028780552,0.13533066390232504,0.016715327032674976,0.04975692559439393,0.027157145978608632,0.010667172362025523,-0.028228963230490955,False
u56,volcap,TRAIN,25.0,DEFAULT,0.6,9.99,0.45,0.11608419028780552,0.13533066390232504,0.009632949475575137,0.10911889158073662,0.047202804939058485,0.015602408853543137,-0.03004776084895977,False
u56,volcap,TRAIN,25.0,MEDIAN,0.8,9.99,0.45,0.11608419028780552,0.13533066390232504,0.02661998524531972,0.05235795963378731,0.03451442129345206,0.011271205684610042,-0.027999679240424125,False
u56,look,TRAIN,10.0,DEFAULT,REC,REC,REC,0.4185233353495498,0.40226949739370843,0.0,0.0,0.0,0.0,0.0,True
u56,look,TRAIN,10.0,MEDIAN,126,REC,REC,0.4185233353495498,0.40226949739370843,0.1493334768513246,0.08707596578301624,0.12350920829596679,0.014229446176600824,-0.00016406522862744133,False
u56,look,TRAIN,25.0,DEFAULT,REC,REC,REC,0.4185233353495498,0.40226949739370843,0.0,0.0,0.0,0.0,0.0,True
