leg,artefact_set,IS,OOS
ALL,CSV,0.14285714285714285,0.07399103139013453
ALL,CSVJSON,0.14285714285714285,0.07399103139013453
ALL,CSVJSONTXT,0.15546218487394958,0.08744394618834081
ALL,NONCONSOLE,0.15546218487394958,0.08744394618834081
ALL,ANY,0.6638655462184874,0.5717488789237668
P90,CSV,0.2689075630252101,0.20179372197309417
P90,CSVJSON,0.2689075630252101,0.20179372197309417
P90,CSVJSONTXT,0.2815126050420168,0.21973094170403587
P90,NONCONSOLE,0.2815126050420168,0.21973094170403587
P90,ANY,0.8445378151260504,0.8699551569506726
P75,CSV,0.46638655462184875,0.452914798206278
P75,CSVJSON,0.46638655462184875,0.4551569506726457
P75,CSVJSONTXT,0.4831932773109244,0.4641255605381166
P75,NONCONSOLE,0.4831932773109244,0.4641255605381166
P75,ANY,0.9159663865546218,0.9372197309417041
P50,CSV,0.7352941176470589,0.8094170403587444
P50,CSVJSON,0.7352941176470589,0.8116591928251121
P50,CSVJSONTXT,0.7478991596638656,0.8161434977578476
P50,NONCONSOLE,0.7478991596638656,0.8161434977578476
P50,ANY,0.9327731092436975,0.9506726457399103
HEAD,CSV,0.3319327731092437,0.22869955156950672
HEAD,CSVJSON,0.3319327731092437,0.22869955156950672
HEAD,CSVJSONTXT,0.3445378151260504,0.2399103139013453
HEAD,NONCONSOLE,0.3445378151260504,0.2399103139013453
HEAD,ANY,0.8109243697478992,0.7847533632286996
