panel,gross,m,event_per_act,placebo_per_act,ratio
B136,0.75,1,0.09332825075988559,0.09083362123973746,1.0274637241816447
B136,0.75,2,0.1022225655201565,0.09774665713556992,1.045790910050036
B136,0.75,3,0.11546805654661203,0.1071888205585964,1.0772397340027606
B136,0.75,5,0.14302095077067192,0.12534245959656695,1.1410415212132088
B136,0.75,8,0.1889624432632845,0.15673948350703837,1.2055829139873309
B136,1.0,1,0.1163663441121963,0.11338305442637142,1.0263116009788056
B136,1.0,2,0.12749087709806894,0.12165675451352938,1.0479555994064493
B136,1.0,3,0.14405957743068007,0.13404851329818013,1.074682395844489
B136,1.0,5,0.17897686615700173,0.15680095550055187,1.141427139813391
B136,1.0,8,0.23755176272416467,0.19956769082616221,1.1903317703419705
U56,0.75,1,0.08847634741603112,0.08180716825142947,1.081523163643855
U56,0.75,2,0.11775945187879237,0.10387709808209855,1.1336421025712713
U56,0.75,3,0.14845899992490674,0.1254834863713648,1.183095913398091
U56,0.75,5,0.2129318634903409,0.17138738131003217,1.2424010557997651
U56,0.75,8,0.29943221575392887,0.22473580480255884,1.332374322894362
U56,1.0,1,0.10121950963119726,0.09424269419240638,1.0740303054637528
U56,1.0,2,0.13287745458025454,0.12053614204582869,1.1023868221179138
U56,1.0,3,0.16760112092740978,0.14728194219826,1.1379610998189964
U56,1.0,5,0.2393650418321297,0.20204383894172773,1.1847183417513956
U56,1.0,8,0.3359324999771594,0.26223705996209495,1.2810260305149728
