base,with_D,DELTA,HFORM,cells,decisive_without,decisive_with,CREATED,DESTROYED,HIJACKED,rate_without,rate_with
NG,NG_D,0.0,H_RUNNERUP,42,2,2,0,0,0,0.047619047619047616,0.047619047619047616
NG,NG_D,0.0,H_NARROWEST,42,2,42,40,0,0,0.047619047619047616,1.0
NG,NG_D,0.0,H_ANY,42,5,42,37,0,0,0.11904761904761904,1.0
NG,NG_D,0.01,H_RUNNERUP,42,2,2,0,0,0,0.047619047619047616,0.047619047619047616
NG,NG_D,0.01,H_NARROWEST,42,2,42,40,0,0,0.047619047619047616,1.0
NG,NG_D,0.01,H_ANY,42,5,42,37,0,0,0.11904761904761904,1.0
NG,NG_D,0.03,H_RUNNERUP,42,2,2,0,0,0,0.047619047619047616,0.047619047619047616
NG,NG_D,0.03,H_NARROWEST,42,2,42,40,0,0,0.047619047619047616,1.0
NG,NG_D,0.03,H_ANY,42,5,42,37,0,0,0.11904761904761904,1.0
NG,NG_D,0.1,H_RUNNERUP,42,2,2,0,0,0,0.047619047619047616,0.047619047619047616
NG,NG_D,0.1,H_NARROWEST,42,2,34,32,0,0,0.047619047619047616,0.8095238095238095
NG,NG_D,0.1,H_ANY,42,5,40,35,0,0,0.11904761904761904,0.9523809523809523
NG,NG_D,0.3,H_RUNNERUP,42,2,2,0,0,0,0.047619047619047616,0.047619047619047616
NG,NG_D,0.3,H_NARROWEST,42,2,15,14,1,0,0.047619047619047616,0.35714285714285715
NG,NG_D,0.3,H_ANY,42,5,25,20,0,0,0.11904761904761904,0.5952380952380952
NG,NG_D,1.0,H_RUNNERUP,42,2,25,23,0,0,0.047619047619047616,0.5952380952380952
NG,NG_D,1.0,H_NARROWEST,42,2,2,0,0,0,0.047619047619047616,0.047619047619047616
NG,NG_D,1.0,H_ANY,42,5,42,37,0,0,0.11904761904761904,1.0
ALL4,ALL4_D,0.0,H_RUNNERUP,42,2,2,0,0,0,0.047619047619047616,0.047619047619047616
ALL4,ALL4_D,0.0,H_NARROWEST,42,42,42,0,0,0,1.0,1.0
ALL4,ALL4_D,0.0,H_ANY,42,42,42,0,0,0,1.0,1.0
ALL4,ALL4_D,0.01,H_RUNNERUP,42,2,2,0,0,0,0.047619047619047616,0.047619047619047616
ALL4,ALL4_D,0.01,H_NARROWEST,42,42,42,0,0,0,1.0,1.0
ALL4,ALL4_D,0.01,H_ANY,42,42,42,0,0,0,1.0,1.0
ALL4,ALL4_D,0.03,H_RUNNERUP,42,2,2,0,0,0,0.047619047619047616,0.047619047619047616
ALL4,ALL4_D,0.03,H_NARROWEST,42,42,42,0,0,0,1.0,1.0
ALL4,ALL4_D,0.03,H_ANY,42,42,42,0,0,0,1.0,1.0
ALL4,ALL4_D,0.1,H_RUNNERUP,42,2,2,0,0,0,0.047619047619047616,0.047619047619047616
ALL4,ALL4_D,0.1,H_NARROWEST,42,42,42,0,0,0,1.0,1.0
ALL4,ALL4_D,0.1,H_ANY,42,42,42,0,0,0,1.0,1.0
ALL4,ALL4_D,0.3,H_RUNNERUP,42,2,2,0,0,0,0.047619047619047616,0.047619047619047616
ALL4,ALL4_D,0.3,H_NARROWEST,42,42,42,0,0,0,1.0,1.0
ALL4,ALL4_D,0.3,H_ANY,42,42,42,0,0,0,1.0,1.0
ALL4,ALL4_D,1.0,H_RUNNERUP,42,2,25,23,0,0,0.047619047619047616,0.5952380952380952
ALL4,ALL4_D,1.0,H_NARROWEST,42,42,42,0,0,0,1.0,1.0
ALL4,ALL4_D,1.0,H_ANY,42,42,42,0,0,0,1.0,1.0
