panel,N,H,turnover,cstar_full_bps,first_fail_full_bps,failing_legs_full,interval_full,cstar_oos_bps,first_fail_oos_bps,failing_legs_oos,interval_oos
U56,5,21,8.05261133560521,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
U56,5,63,4.695650270626428,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
U56,5,126,3.1273037437962694,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
U56,8,21,7.40511242459958,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
U56,8,63,4.28163700965994,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
U56,8,126,3.0512772736591596,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
U56,10,21,7.740449168670677,36.0,37.0,L_DD,True,36.0,37.0,O_DD,True
U56,10,63,4.354240828741781,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
U56,10,126,3.029138541150788,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
U56,12,21,7.18963666565319,63.0,64.0,L_H1,True,64.0,65.0,O_S,True
U56,12,63,4.374208395371244,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
U56,12,126,3.040640012738739,64.0,65.0,L_DD,True,64.0,65.0,O_DD,True
U56,15,21,6.610390077265927,50.0,51.0,L_H1,True,61.0,62.0,O_S,True
U56,15,63,4.177638991217315,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
U56,15,126,3.019941232779304,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
U56,20,21,6.143455840069608,8.0,9.0,L_DD,True,8.0,9.0,O_DD,True
U56,20,63,3.8712935732522777,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
U56,20,126,2.8973943077144937,117.0,118.0,L_H1,True,149.0,150.0,O_S,True
U56,25,21,5.797499214981679,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
U56,25,63,3.678372638625859,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
U56,25,126,2.7345152794852705,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
U56,30,21,5.376919795054722,40.0,41.0,L_CAGR,True,56.0,57.0,O_CAGR,True
U56,30,63,3.4577472958806994,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
U56,30,126,2.6493013715765503,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
U56,40,21,4.776939317745314,38.0,39.0,L_CAGR,True,52.0,53.0,O_CAGR,True
U56,40,63,2.999924647419682,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
U56,40,126,2.313864592272747,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,5,21,9.543710916502155,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,5,63,5.553996196593816,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,5,126,3.426816921073969,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,8,21,9.093694291254444,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,8,63,5.211782113043182,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,8,126,3.382568548406168,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,10,21,8.930385722522098,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,10,63,5.0509464502386985,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,10,126,3.362418886411599,,0.0,fails at 0 bps,True,14.0,15.0,O_S,True
B136,12,21,8.836130566510983,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,12,63,4.928866254658343,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,12,126,3.328563657433628,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,15,21,8.480625955896038,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,15,63,4.757990578207726,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,15,126,3.283865699423728,68.0,69.0,L_H2,True,91.0,92.0,O_S,True
B136,20,21,7.798167222073121,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,20,63,4.684150079469976,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,20,126,3.247874747901893,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,25,21,7.25418808849515,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,25,63,4.688761000771837,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,25,126,3.217224674120177,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,30,21,7.022067147106352,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,30,63,4.4788855300038515,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,30,126,3.1522326540506733,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,40,21,6.521599045251343,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,40,63,4.211900775611751,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
B136,40,126,3.071390083476017,,0.0,fails at 0 bps,True,,0.0,fails at 0 bps,True
