panel,proxy,agree,best_agree,n_disagree,n_pairs,ddwin_agree,ddwin_best,ddwin_disagree,qualifies
U56,FULL,0.859375,0.984375,9,130,0.953125,0.984375,21,False
U56,DOWN,0.859375,0.953125,6,124,0.953125,0.984375,21,False
U56,ROLL,0.984375,1.0,0,146,0.953125,0.984375,21,True
U56,MAXROLL,0.921875,1.0,0,171,0.953125,0.984375,21,False
U56,EWMA,0.9375,0.984375,2,122,0.953125,0.984375,21,False
U56,SEMI,0.859375,0.984375,3,122,0.953125,0.984375,21,False
U56,TAIL10,0.890625,0.9375,6,119,0.953125,0.984375,21,False
U56,HIVOL,0.828125,0.9375,15,146,0.953125,0.984375,21,False
U56,SPYDD,0.984375,0.984375,3,205,0.953125,0.984375,21,False
U56,SPYDD10,0.828125,0.9375,13,137,0.953125,0.984375,21,False
B136,FULL,0.8,0.9666666666666667,5,91,0.9833333333333333,1.0,0,False
B136,DOWN,0.8166666666666667,0.9666666666666667,6,94,0.9833333333333333,1.0,0,False
B136,ROLL,0.8666666666666667,0.9833333333333333,0,115,0.9833333333333333,1.0,0,False
B136,MAXROLL,0.9333333333333333,0.9333333333333333,12,167,0.9833333333333333,1.0,0,False
B136,EWMA,0.8333333333333334,0.9833333333333333,7,97,0.9833333333333333,1.0,0,False
B136,SEMI,0.8166666666666667,0.9666666666666667,8,90,0.9833333333333333,1.0,0,False
B136,TAIL10,0.85,0.9833333333333333,6,109,0.9833333333333333,1.0,0,False
B136,HIVOL,0.7666666666666667,0.95,10,98,0.9833333333333333,1.0,0,False
B136,SPYDD,1.0,1.0,0,130,0.9833333333333333,1.0,0,True
B136,SPYDD10,0.7666666666666667,0.9333333333333333,12,93,0.9833333333333333,1.0,0,False
SMALL,FULL,0.6785714285714286,0.9107142857142857,69,357,0.7321428571428571,0.8571428571428571,80,False
SMALL,DOWN,0.6964285714285714,0.9107142857142857,62,345,0.7321428571428571,0.8571428571428571,80,False
SMALL,ROLL,0.7321428571428571,0.9107142857142857,54,335,0.7321428571428571,0.8571428571428571,80,False
SMALL,MAXROLL,0.8392857142857143,0.8482142857142857,57,400,0.7321428571428571,0.8571428571428571,80,False
SMALL,EWMA,0.7321428571428571,0.9107142857142857,62,313,0.7321428571428571,0.8571428571428571,80,False
SMALL,SEMI,0.7142857142857143,0.9107142857142857,67,337,0.7321428571428571,0.8571428571428571,80,False
SMALL,TAIL10,0.6964285714285714,0.8839285714285714,62,313,0.7321428571428571,0.8571428571428571,80,False
SMALL,HIVOL,0.6607142857142857,0.9107142857142857,78,350,0.7321428571428571,0.8571428571428571,80,False
SMALL,SPYDD,0.6696428571428571,0.8839285714285714,132,511,0.7321428571428571,0.8571428571428571,80,False
SMALL,SPYDD10,0.6517857142857143,0.8839285714285714,80,376,0.7321428571428571,0.8571428571428571,80,False
