panel,window,path,bar,convention,c_star,note,margin_at_10
u56,full,4b,H1,-,41.840869140625,crosses,0.3224536037910093
u56,full,4b,H2,-,57.856787109375006,crosses,0.41453346485191467
u56,full,4b,OOS,-,56.241259765625,crosses,0.4065972665974381
u56,full,4b,DD,-,,holds past 60,0.08600328503940524
u56,full,4b,CAGR,-,16.704638671875,crosses,0.006075758334748035
u56,full,4a,H1,MATCHED,17.008349609375,crosses,0.05314428513636327
u56,full,4a,H2,MATCHED,19.396337890625002,crosses,0.057698122105208416
u56,full,4a,DD,MATCHED,,holds past 60,0.004249017522074072
u56,full,4a,H1,FIXED10,15.260791015625,crosses,0.05314428513636327
u56,full,4a,H2,FIXED10,16.682177734375,crosses,0.057698122105208416
u56,full,4a,DD,FIXED10,53.759814453125,crosses,0.004249017522074072
u56,IS,4b,H1,-,19.552880859375,crosses,0.09248800699954451
u56,IS,4b,H2,-,56.64272460937501,crosses,0.49170157157085015
u56,IS,4b,OOS,-,42.845263671875,crosses,0.33090544776510067
u56,IS,4b,DD,-,,holds past 60,0.052197379480388495
u56,IS,4b,CAGR,-,12.482470703125003,crosses,0.0023608408949660764
u56,IS,4a,H1,MATCHED,11.814013671875,crosses,0.012855375431351623
u56,IS,4a,H2,MATCHED,35.633056640625,crosses,0.20370899600703707
u56,IS,4a,DD,MATCHED,4.1526855468749995,crosses,-0.0012996968172399592
u56,IS,4a,H1,FIXED10,11.329638671875,crosses,0.012855375431351623
u56,IS,4a,H2,FIXED10,29.318798828125,crosses,0.20370899600703707
u56,IS,4a,DD,FIXED10,6.5022949218749995,crosses,-0.0012996968172399592
u56,OOS,4b,H1,-,44.882666015625006,crosses,0.29288874710389545
u56,OOS,4b,H2,-,,holds past 60,0.5345616299154474
u56,OOS,4b,OOS,-,56.241259765625,crosses,0.4065972665974381
u56,OOS,4b,DD,-,,holds past 60,0.08600328503940557
u56,OOS,4b,CAGR,-,20.540283203125004,crosses,0.009159482908986716
u56,OOS,4a,H1,MATCHED,,fails at 0,-0.13047938171604012
u56,OOS,4a,H2,MATCHED,34.35092773437499,crosses,0.15469393163569745
u56,OOS,4a,DD,MATCHED,,holds past 60,0.004249017522074627
u56,OOS,4a,H1,FIXED10,,fails at 0,-0.13047938171604012
u56,OOS,4a,H2,FIXED10,26.773388671875,crosses,0.15469393163569745
u56,OOS,4a,DD,FIXED10,53.759814453125,crosses,0.004249017522074627
broad,full,4b,H1,-,39.96333007812501,crosses,0.34572152571506265
broad,full,4b,H2,-,24.819970703124998,crosses,0.15208257400108016
broad,full,4b,OOS,-,25.861083984375,crosses,0.16524207295772775
broad,full,4b,DD,-,,holds past 60,0.0841026317058127
broad,full,4b,CAGR,-,16.947705078124997,crosses,0.008379706946504098
broad,full,4a,H1,MATCHED,18.185693359375,crosses,0.07329219780288265
broad,full,4a,H2,MATCHED,10.238818359375003,crosses,0.0017302027282595223
broad,full,4a,DD,MATCHED,41.420849609375,crosses,0.00421485046353498
broad,full,4a,H1,FIXED10,16.364306640625003,crosses,0.07329219780288265
broad,full,4a,H2,FIXED10,10.168798828125002,crosses,0.0017302027282595223
broad,full,4a,DD,FIXED10,40.710205078125014,crosses,0.00421485046353498
broad,IS,4b,H1,-,36.874853515625006,crosses,0.29250915198814564
broad,IS,4b,H2,-,36.015771484374994,crosses,0.3126999171818472
broad,IS,4b,OOS,-,40.695654296875006,crosses,0.3507759940515023
broad,IS,4b,DD,-,,holds past 60,0.04517938958902537
broad,IS,4b,CAGR,-,25.107177734375004,crosses,0.018527574876364805
broad,IS,4a,H1,MATCHED,34.29458007812501,crosses,0.200879671635516
broad,IS,4a,H2,MATCHED,18.173486328124998,crosses,0.07725911500749527
broad,IS,4a,DD,MATCHED,,fails at 0,-0.008197302625265634
broad,IS,4a,H1,FIXED10,28.482861328125,crosses,0.200879671635516
broad,IS,4a,H2,FIXED10,16.423779296875,crosses,0.07725911500749527
broad,IS,4a,DD,FIXED10,,fails at 0,-0.008197302625265634
broad,OOS,4b,H1,-,14.479638671875001,crosses,0.044656498525122656
broad,OOS,4b,H2,-,37.28823242187501,crosses,0.2988142122190135
broad,OOS,4b,OOS,-,25.861083984375,crosses,0.16524207295772775
broad,OOS,4b,DD,-,,holds past 60,0.08410263170581236
broad,OOS,4b,CAGR,-,10.040185546875001,crosses,4.775854902377974e-05
broad,OOS,4a,H1,MATCHED,,fails at 0,-0.24830418755342087
broad,OOS,4a,H2,MATCHED,28.600634765625,crosses,0.13427584559632877
broad,OOS,4a,DD,MATCHED,41.420849609375,crosses,0.004214850463534536
broad,OOS,4a,H1,FIXED10,,fails at 0,-0.24830418755342087
broad,OOS,4a,H2,FIXED10,22.290478515625,crosses,0.13427584559632877
broad,OOS,4a,DD,FIXED10,40.710205078125014,crosses,0.004214850463534536
