panel,pick_n,pick_gross,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,anchor_OOS_Sharpe,best_OOS_Sharpe,regret,spy_OOS_Sharpe,v2_OOS_Sharpe,beats_spy_OOS,beats_v2_OOS
U56,20,0.75,1.1347,0.158461,1.181,-0.190893,1.181,1.2419,-0.0608,0.882,1.2937,True,False
B136,10,1.0,1.1952,0.206621,0.8401,-0.335184,0.9208,0.954,-0.1139,0.882,1.1206,False,False
B100,10,1.0,1.178,0.181934,0.804,-0.319987,0.9029,1.0018,-0.1978,0.882,1.1015,False,False
BXU80,10,1.0,0.9995,0.154369,0.7514,-0.326577,0.8021,0.9198,-0.1684,0.882,0.9443,False,False
