child,col,fam,source,value,dp,d,cls,roundbar,windowbar
2026-09-07_does-the-IS-SPREAD-screen-retire-the-record-s-rho-based-chooser-verdicts_cloud.corpus_filelevel.csv,regret,M3_ALL,2026-09-04_earnings-season-avoidance_cloud.walkforward.csv,0.416905201013702,15,0.4342329314894092,BOOK,1.0005e-12,0.035535406951180515
2026-09-07_does-the-IS-SPREAD-screen-retire-the-record-s-rho-based-chooser-verdicts_cloud.corpus_filelevel.csv,regret,M3_ALL,2026-09-05_cagr-floor-constrained-selector_cloud.picks.csv,0.14111706175889682,17,0.14111706175889682,BOOK,1.000005e-12,0.035535406951180515
2026-09-07_does-the-IS-SPREAD-screen-retire-the-record-s-rho-based-chooser-verdicts_cloud.corpus_filelevel.csv,regret,M3_ALL,2026-09-05_crisis-beta-as-the-pre-registrable-selector_C.picks.csv,0.14111706175889682,17,0.14111706175889682,BOOK,1.000005e-12,0.035535406951180515
2026-09-07_does-the-IS-SPREAD-screen-retire-the-record-s-rho-based-chooser-verdicts_cloud.corpus_filelevel.csv,regret,M3_ALL,2026-09-05_defensive-overlays-are-rule-8-invisible_B.walkforward.csv,0.14111706175889682,17,0.14111706175889682,BOOK,1.000005e-12,0.035535406951180515
2026-09-07_does-the-IS-SPREAD-screen-retire-the-record-s-rho-based-chooser-verdicts_cloud.corpus_filelevel.csv,regret,M3_ALL,2026-09-05_fixed-gross-S4-blend_cloud.walkforward.csv,0.2501751177562128,16,0.2501751177562128,BOOK,1.00005e-12,0.035535406951180515
2026-09-07_does-the-IS-SPREAD-screen-retire-the-record-s-rho-based-chooser-verdicts_cloud.corpus_filelevel.csv,regret,M3_ALL,2026-09-05_which-asset-carries-S4_C.walkforward.csv,0.08223283337680298,17,0.12727625379985041,BOOK,1.000005e-12,0.035535406951180515
2026-09-07_does-the-IS-SPREAD-screen-retire-the-record-s-rho-based-chooser-verdicts_cloud.corpus_filelevel.csv,regret,M3_ALL,2026-09-06_MA200-only-book-on-a-third-large-cap-panel_cloud.walkforward.csv,0.3409000000000001,16,0.4017000000000001,BOOK,1.00005e-12,0.035535406951180515
2026-09-07_does-the-IS-SPREAD-screen-retire-the-record-s-rho-based-chooser-verdicts_cloud.corpus_filelevel.csv,regret,M3_ALL,2026-09-06_arm-the-cheap-instruments-in-crashes-instead_cloud.walkforward.csv,0.14165951534265053,17,0.1147327378263252,BOOK,1.000005e-12,0.035535406951180515
2026-09-07_does-the-IS-SPREAD-screen-retire-the-record-s-rho-based-chooser-verdicts_cloud.corpus_filelevel.csv,regret,M3_ALL,2026-09-06_ew-all-broad-as-the-simple-book_B.walkforward.csv,0.2274336164823223,16,0.1952099542000698,BOOK,1.00005e-12,0.035535406951180515
2026-09-07_does-the-IS-SPREAD-screen-retire-the-record-s-rho-based-chooser-verdicts_cloud.corpus_filelevel.csv,regret,M3_ALL,2026-09-06_stop-only-in-crashes_B.walkforward.csv,0.142499738408016,15,0.13226944404348195,BOOK,1.0005e-12,0.035535406951180515
