claim_set,bar,rung_set,n_claims,restated_as_is,restated_with_numbers,restated_as_tie_set,restated_total,deleted,restate_share,median_tie_size
CS_ALL32,B_QUOTE,CORE,32,6,26,0,32,0,1.0,4.0
CS_ALL32,B_QUOTE,EXT,32,6,26,0,32,0,1.0,7.0
CS_ALL32,B_TIESET,CORE,32,6,0,8,14,18,0.4375,4.0
CS_ALL32,B_TIESET,EXT,32,6,0,17,23,9,0.71875,7.0
CS_ALL32,B_DECIDE,CORE,32,6,0,0,6,26,0.1875,4.0
CS_ALL32,B_DECIDE,EXT,32,6,0,0,6,26,0.1875,7.0
CS_DECIDED,B_QUOTE,CORE,6,6,0,0,6,0,1.0,1.0
CS_DECIDED,B_QUOTE,EXT,6,6,0,0,6,0,1.0,1.0
CS_DECIDED,B_TIESET,CORE,6,6,0,0,6,0,1.0,1.0
CS_DECIDED,B_TIESET,EXT,6,6,0,0,6,0,1.0,1.0
CS_DECIDED,B_DECIDE,CORE,6,6,0,0,6,0,1.0,1.0
CS_DECIDED,B_DECIDE,EXT,6,6,0,0,6,0,1.0,1.0
CS_HCAD,B_QUOTE,CORE,16,0,16,0,16,0,1.0,4.0
CS_HCAD,B_QUOTE,EXT,16,0,16,0,16,0,1.0,7.0
CS_HCAD,B_TIESET,CORE,16,0,0,1,1,15,0.0625,4.0
CS_HCAD,B_TIESET,EXT,16,0,0,10,10,6,0.625,7.0
CS_HCAD,B_DECIDE,CORE,16,0,0,0,0,16,0.0,4.0
CS_HCAD,B_DECIDE,EXT,16,0,0,0,0,16,0.0,7.0
