claimset,panel,book,gross,cadence,turn_yr,drag_bp,p4b_here,base4b_10bp,direct_0.05,dragline_0.05,direct_0.1,dragline_0.1,direct_0.25,dragline_0.25
STRICT,U56,TOP20,0.75,W,11.004230847006149,110.04230847006149,True,0.0,False,False,False,False,False,False
STRICT,B136,EWELIG,0.75,W,8.264038337378773,82.64038337378773,True,1.0,True,True,True,True,True,True
STRICT,B136,TOP20,0.75,W,14.30002104232742,143.0002104232742,False,0.0,False,False,False,False,False,False
STRICT,U56,TOP20,0.75,M,4.809513170432881,48.09513170432881,True,0.77,True,True,True,True,True,True
STRICT,B136,TOP10,0.75,W,17.889220761263115,178.89220761263115,False,0.0,False,False,False,False,False,False
STRICT,U56,TOP20,1.0,W,14.651031124811059,146.51031124811058,False,0.0,False,False,False,False,False,False
STRICT,U56,TOP10,0.75,W,14.734881395555067,147.34881395555067,False,0.0,False,False,False,False,False,False
STRICT,U56,TOP20,0.5,W,7.364828507111755,73.64828507111756,False,0.0,False,True,False,True,False,True
STRICT,U56,EWELIG,0.75,W,8.204393987578808,82.04393987578808,False,0.0,False,True,False,True,False,True
STRICT,U56,TOP5,0.75,M,7.816861737358066,78.16861737358066,False,0.07,True,True,False,True,False,True
STRICT,U56,TOP20,0.75,Q,2.7038153561539717,27.038153561539715,False,0.16,True,True,True,True,False,True
STRICT,U56,BAND03,1.0,W,2.3535355897922297,23.535355897922297,True,0.0,False,True,False,True,False,True
STRICT,U56,EWELIG,0.75,Q,1.9101787210936687,19.10178721093669,False,0.0,False,True,False,True,False,True
STRICT,U56,BAND03,0.75,W,1.7747529264508732,17.74752926450873,False,0.0,False,True,False,True,False,True
STRICT,U56,BAND03,0.75,M,1.2346928785012803,12.346928785012803,False,0.0,False,True,False,True,False,True
STRICT,U56,BAND03,1.0,M,1.6417569494923718,16.41756949492372,True,0.075,True,True,False,True,False,True
STRICT,U56,EWELIG,1.0,W,10.853623313017742,108.53623313017742,False,0.0,False,False,False,False,False,False
STRICT,B136,TOP20,0.5,W,9.564007603460166,95.64007603460166,False,0.0,False,False,False,False,False,False
WIDE,U56,BAND03,0.75,W,1.7747529264508732,17.74752926450873,False,0.0,False,True,False,True,False,True
WIDE,U56,TOP20,0.75,W,11.004230847006149,110.04230847006149,True,0.0,False,False,False,False,False,False
WIDE,U56,TOP20,0.75,M,4.809513170432881,48.09513170432881,True,0.77,True,True,True,True,True,True
WIDE,B136,EWELIG,0.75,W,8.264038337378773,82.64038337378773,True,1.0,True,True,True,True,True,True
WIDE,B136,TOP20,0.75,W,14.30002104232742,143.0002104232742,False,0.0,False,False,False,False,False,False
WIDE,B136,TOP20,0.75,Q,3.6298172355523333,36.298172355523334,False,0.015,False,True,False,True,False,True
WIDE,U56,TOP20,0.75,Q,2.7038153561539717,27.038153561539715,False,0.16,True,True,True,True,False,True
WIDE,B136,TOP20,0.75,M,6.524783669091354,65.24783669091354,False,0.035,False,True,False,True,False,True
WIDE,U56,TOP20,1.0,M,6.387151020980793,63.87151020980794,False,0.03,False,True,False,True,False,True
WIDE,B136,TOP10,0.75,M,7.915070731904246,79.15070731904245,False,0.04,False,True,False,True,False,True
WIDE,B136,TOP10,0.75,W,17.889220761263115,178.89220761263115,False,0.0,False,False,False,False,False,False
WIDE,U56,TOP10,0.75,M,6.3209619031500655,63.20961903150065,False,0.28,True,True,True,True,True,True
WIDE,B136,TOP20,1.0,W,19.046404616958394,190.46404616958395,False,0.0,False,False,False,False,False,False
WIDE,U56,TOP20,1.0,W,14.651031124811059,146.51031124811058,False,0.0,False,False,False,False,False,False
WIDE,U56,EWELIG,0.75,W,8.204393987578808,82.04393987578808,False,0.0,False,True,False,True,False,True
WIDE,B136,EWELIG,0.75,M,3.766140051466548,37.66140051466548,False,0.0,False,True,False,True,False,True
WIDE,B136,EWELIG,1.0,M,4.97148713568891,49.7148713568891,False,0.0,False,True,False,True,False,True
WIDE,B136,TOP20,1.0,M,8.67524077753792,86.75240777537921,False,0.0,False,True,False,True,False,True
WIDE,U56,EWELIG,0.75,M,3.6384716270199933,36.38471627019993,True,1.0,True,True,True,True,True,True
