claimset,panel,arm,cost,reads_top_censor,g_break,ceiling_bound,forbidden_range
REPRO,U56,BAND03,0.0,True,1.2891859946250919,True,0.28918599462509187
REPRO,U56,BAND03,10.0,True,1.286517010211945,True,0.286517010211945
REPRO,U56,BAND03,25.0,True,1.2825356917381283,True,0.2825356917381283
REPRO,U56,BAND08,0.0,True,1.0661842699050903,True,0.0661842699050903
REPRO,U56,BAND08,10.0,True,1.0654201712608335,True,0.06542017126083355
REPRO,U56,BAND08,25.0,True,1.0642758102416994,True,0.06427581024169937
REPRO,U56,BAND03_M,0.0,True,1.084045165061951,True,0.08404516506195092
REPRO,U56,BAND03_M,10.0,True,1.082705669403076,True,0.08270566940307611
REPRO,U56,BAND03_M,25.0,True,1.0807021441459654,True,0.08070214414596544
REPRO,U56,CAND20_VS,0.0,False,0.8851493587493896,False,0.0
REPRO,U56,CAND20_VS,10.0,False,0.8804839968681335,False,0.0
REPRO,U56,CAND20,0.0,False,0.8379074769020082,False,0.0
REPRO,U56,CAND20,10.0,False,0.8336909961700439,False,0.0
REPRO,U56,CAND10,0.0,False,0.875553452014923,False,0.0
REPRO,U56,CAND05,0.0,False,0.7377762451171874,False,0.0
REPRO,U56,CAND20_NOCAP,0.0,False,0.7114509382247924,False,0.0
REPRO,U56,CAND20_NOCAP,10.0,False,0.7068513360023498,False,0.0
REPRO,U56,EWELIG,0.0,False,0.9736504230499268,False,0.0
REPRO,U56,EWELIG,10.0,False,0.9671309247016906,False,0.0
REPRO,B136,BAND03,0.0,True,1.26863610124588,True,0.26863610124588
REPRO,B136,BAND03,10.0,True,1.265581851005554,True,0.2655818510055541
REPRO,B136,BAND08,0.0,True,1.0406852474212651,True,0.040685247421265114
REPRO,B136,BAND08,10.0,True,1.0395959243774415,True,0.03959592437744153
REPRO,B136,BAND08,25.0,True,1.0379647989273073,True,0.03796479892730731
REPRO,B136,BAND03_M,0.0,False,0.987051097869873,False,0.0
REPRO,B136,CAND20,0.0,False,0.7598336071968079,False,0.0
REPRO,B136,CAND05,0.0,False,0.63834263753891,False,0.0
REPRO,B136,CAND20_NOCAP,0.0,False,0.6249841346740723,False,0.0
REPRO,B136,CAND20_NOCAP,10.0,False,0.6221000018119813,False,0.0
REPRO,B136,EWELIG,0.0,False,0.8811480264663696,False,0.0
REPRO,B136,EWELIG,10.0,False,0.8661948518753049,False,0.0
