book,family,n_names,episode_days,episode_days_median,episode_days_IS,hstar_IR_s21,hstarIS_IR_s21,hstar_IC_s21,hstarIS_IC_s21,hstar_HALF_s21,hstarIS_HALF_s21,IC5_s21,IC21_s21,IC126_s21,hstar_IR_s63,hstarIS_IR_s63,hstar_IC_s63,hstarIS_IC_s63,hstar_HALF_s63,hstarIS_HALF_s63,IC5_s63,IC21_s63,IC126_s63
SMALL439,SMALL,439,9.031073120018482,3.0,10.2400272758268,5.0,5.0,5.0,5.0,21.0,10.0,0.015012581228355783,0.006393339915616792,-0.012207903048327052,5.0,5.0,5.0,5.0,10.0,10.0,0.024863990440855976,0.018045985528788545,-0.010496253032978969
U56,U56,55,17.17467071935157,3.0,16.540842648323302,5.0,5.0,126.0,126.0,126.0,126.0,0.0636114055763602,0.06616310080304427,0.1504569932875897,5.0,42.0,126.0,126.0,126.0,126.0,0.039561632171023396,0.03918363404592601,0.17117017858967162
ETF36,ETF,35,22.92022955523673,3.0,23.56777996070727,5.0,5.0,126.0,10.0,126.0,21.0,0.07194265282074118,0.0428776901509928,0.11153405151263948,5.0,5.0,126.0,5.0,126.0,10.0,0.06749782981335574,0.028959656168244138,0.13664476243257234
SMALLk20d00,SMALL,20,19.935546875,4.0,26.31768953068592,30.0,5.0,5.0,5.0,5.0,10.0,-0.01704321461568752,-0.04256019961698128,-0.1176497504296194,126.0,5.0,126.0,5.0,126.0,10.0,-0.09690087577359287,-0.1339680033901939,-0.08691592098271876
SMALLk20d01,SMALL,20,22.60054102795311,5.0,23.933503836317136,10.0,126.0,126.0,126.0,126.0,126.0,-0.013262614423834026,0.004438059770706967,0.034299808750071846,126.0,90.0,5.0,90.0,5.0,126.0,-0.02316652637024539,-0.06334430795948241,-0.023752553705020222
SMALLk20d02,SMALL,20,21.829887218045112,5.0,27.935593220338983,5.0,5.0,30.0,5.0,42.0,42.0,0.05322693760271523,0.06923542099438655,-0.018602159469249743,21.0,5.0,21.0,5.0,63.0,10.0,0.005018613213280675,0.0600124713560318,0.004409119791652036
SMALLk20d03,SMALL,20,20.079107505070994,4.0,24.99619771863118,5.0,21.0,5.0,63.0,10.0,90.0,0.08653903426091386,0.025130177406712594,-0.04943783684802378,5.0,42.0,5.0,63.0,10.0,90.0,0.05006495972047187,-0.011755816854033088,-0.10545022257242166
SMALLk20d04,SMALL,20,22.703305785123966,5.0,25.7109375,10.0,5.0,10.0,5.0,30.0,5.0,0.02524535406326392,0.023760499111386776,-0.06982632277364084,5.0,5.0,30.0,5.0,42.0,10.0,0.03129879407474365,-0.010344068905148019,-0.05501975949333734
SMALLk20d05,SMALL,20,21.835728952772072,5.0,27.2593984962406,126.0,90.0,126.0,90.0,126.0,126.0,0.010317243107080752,-0.08040483957911805,0.0608057845548953,5.0,21.0,126.0,90.0,126.0,126.0,0.08709289530998172,-0.0502160380093075,0.1057516196900059
SMALLk20d06,SMALL,20,20.514459665144596,4.0,18.38314176245211,5.0,5.0,5.0,5.0,10.0,10.0,0.06838702854143659,-0.007118220011951213,0.0111464216525673,5.0,5.0,5.0,5.0,10.0,10.0,0.12518025655674564,-0.012974647351276805,-0.007917306463534118
SMALLk20d07,SMALL,20,18.710329341317365,4.0,21.87191011235955,5.0,5.0,5.0,30.0,10.0,42.0,0.054282725340489724,-0.00037467686164873105,0.010773771309206185,5.0,21.0,5.0,90.0,10.0,126.0,0.032209145685842,0.0202217602171153,0.011211029653704933
SMALLk20d08,SMALL,20,20.2711234911792,6.0,22.455197132616487,5.0,90.0,30.0,90.0,42.0,126.0,0.03248401833860368,0.028769258844014527,-0.048755523713921486,10.0,42.0,30.0,42.0,63.0,90.0,0.024328602104113826,0.02473293206293908,-0.08305304181263053
SMALLk20d09,SMALL,20,22.311016949152542,5.0,23.627314814814813,5.0,10.0,10.0,21.0,42.0,42.0,0.027156269544769927,0.01540221861707518,0.013953416637228967,21.0,5.0,30.0,30.0,42.0,42.0,0.016109537745148204,0.0652127548288719,0.00402284804127066
SMALLk20d10,SMALL,20,21.3125,4.0,25.82154882154882,5.0,21.0,21.0,21.0,30.0,30.0,0.03311415344544687,0.04782328105091275,0.04009922376587414,5.0,5.0,21.0,5.0,30.0,10.0,0.08939592309423204,0.10024912719992365,0.003892512142584098
SMALLk20d11,SMALL,20,22.205013428827215,4.0,29.779141104294478,5.0,5.0,30.0,126.0,42.0,126.0,0.04823085443540224,0.03130675857513172,0.06499641581903222,5.0,10.0,10.0,10.0,30.0,63.0,0.09054059681607196,0.06267684076368453,0.059053177945030365
SMALLk20d12,SMALL,20,22.250199840127898,4.0,25.741463414634147,5.0,90.0,5.0,90.0,5.0,126.0,-0.0025643529503493905,-0.016006842383245522,-0.022560380164065367,5.0,5.0,5.0,5.0,10.0,10.0,0.06366987878271989,-0.059566228200562975,0.004149153705607858
SMALLk20d13,SMALL,20,22.470484581497796,4.0,23.434666666666665,5.0,5.0,5.0,10.0,21.0,21.0,0.07071198102263437,0.00010395786077711398,-0.0796104540675276,10.0,5.0,10.0,5.0,21.0,10.0,0.04052143400868098,-0.023269881475753415,-0.08632012950840902
