cadence,kbar,draws,tranche_4b_rate,tranche_4a_rate,med_OOS_Sharpe,med_OOS_CAGR,med_OOS_MaxDD
Q,40,25,0.16,0.0,1.1445,0.1362,-0.215
M,40,25,0.12,0.0,1.1372,0.1361,-0.2131
