panel,L,w,stat,S,twin_mean,twin_sd,z,p,sig
U56,63,0.2,MaxDD,20,-0.20274511912484963,0.010455654043551721,1.9317936395521969,0.047619047619047616,False
U56,63,0.2,MaxDD,50,-0.20206709547535356,0.009910349068346005,1.969672530662251,0.0196078431372549,False
U56,63,0.2,MaxDD,100,-0.2033449732186591,0.009479810852108438,2.1939277478173667,0.019801980198019802,True
U56,63,0.2,MaxDD,200,-0.2030937698141585,0.009435424622876868,2.1776250131004224,0.009950248756218905,True
U56,63,0.2,MaxDD,300,-0.20254986748589504,0.009573892487168414,2.089318881170444,0.009966777408637873,True
U56,63,0.2,Calmar,20,0.7712657417851861,0.04581455614773056,1.4745237505312048,0.09523809523809523,False
U56,63,0.2,Calmar,50,0.7698122879980882,0.04187194645613863,1.6480749233680574,0.058823529411764705,False
U56,63,0.2,Calmar,100,0.7649189381602985,0.04264846754713695,1.7328044601621997,0.04950495049504951,False
U56,63,0.2,Calmar,200,0.7650413393958039,0.04051073761271366,1.8212221721211512,0.03482587064676617,False
U56,63,0.2,Calmar,300,0.7680922829683666,0.04191004382074051,1.6876171802447892,0.04318936877076412,False
U56,63,0.2,Sharpe,20,1.1436282002293594,0.03831976159249025,0.31586332863495825,0.2857142857142857,False
U56,63,0.2,Sharpe,50,1.137799737895703,0.03178291411699775,0.564211000814683,0.2549019607843137,False
U56,63,0.2,Sharpe,100,1.1387843188420401,0.030711036298677562,0.551843600183269,0.25742574257425743,False
U56,63,0.2,Sharpe,200,1.1381179890642534,0.02908085802783772,0.6056911593649303,0.2736318407960199,False
U56,63,0.2,Sharpe,300,1.1397165632566295,0.02913771630297237,0.5496465218929371,0.3023255813953488,False
U56,63,0.2,CAGR,20,0.15599934776017305,0.005444025488537627,-0.5281460928577434,0.7142857142857143,False
U56,63,0.2,CAGR,50,0.1552115703768509,0.004584111160710385,-0.45536928200133053,0.7254901960784313,False
U56,63,0.2,CAGR,100,0.15520107538079267,0.004550525285942495,-0.4564238810461991,0.7623762376237624,False
U56,63,0.2,CAGR,200,0.15504951589329163,0.004222130495071736,-0.45602781026193495,0.7313432835820896,False
U56,63,0.2,CAGR,300,0.15523359484288554,0.004320714639599867,-0.48822661292368214,0.7242524916943521,False
U56,63,0.2,oMaxDD,20,-0.20274511912484966,0.010455654043551877,1.931793639552139,0.047619047619047616,False
U56,63,0.2,oMaxDD,50,-0.20206709547535356,0.009910349068346074,1.9696725306622036,0.0196078431372549,False
U56,63,0.2,oMaxDD,100,-0.2033449732186591,0.009479810852108457,2.193927747817327,0.019801980198019802,True
U56,63,0.2,oMaxDD,200,-0.20309376981415853,0.009435424622876875,2.1776250131003887,0.009950248756218905,True
U56,63,0.2,oMaxDD,300,-0.20254986748589504,0.009573892487168424,2.0893188811704073,0.009966777408637873,True
U56,63,0.2,oCalmar,20,0.8609826328874146,0.05210196119855484,1.1206445628223887,0.14285714285714285,False
U56,63,0.2,oCalmar,50,0.8521248045056844,0.048108937757194215,1.397777856802042,0.0784313725490196,False
U56,63,0.2,oCalmar,100,0.8468606620471526,0.04775852551490283,1.5182577265116617,0.06930693069306931,False
U56,63,0.2,oCalmar,200,0.8450802127596289,0.046749400070702184,1.589115572498799,0.05970149253731343,False
U56,63,0.2,oCalmar,300,0.8484498889403074,0.049340700740492245,1.4373635236689841,0.07973421926910298,False
U56,63,0.2,oSharpe,20,1.1886707872020732,0.05228188984306795,0.030413268963486416,0.38095238095238093,False
U56,63,0.2,oSharpe,50,1.1750117027446032,0.046741061490463275,0.326247354016509,0.29411764705882354,False
U56,63,0.2,oSharpe,100,1.1758926819863138,0.04284051624223362,0.3353873775057679,0.32673267326732675,False
U56,63,0.2,oSharpe,200,1.1729370414886204,0.03979321661600557,0.4353457791145589,0.30845771144278605,False
U56,63,0.2,oSharpe,300,1.1746890340184462,0.040110094713833755,0.38822686589101973,0.3388704318936877,False
