gamma,phi,lad_gross,lad_floor,lad_gross_max_m,lad_gross_min_m,lad_floor_min_m
0.0,0.0,107,107,0.9,0.1,0.1
0.0,0.5,107,43,0.9,0.1,0.5
0.0,0.6,107,27,0.9,0.1,0.6
0.0,0.7,107,10,0.9,0.1,0.7
0.0,0.8,107,3,0.9,0.1,0.8
0.0,0.9,107,1,0.9,0.1,0.9
0.0,1.0,107,0,0.9,0.1,
0.3,0.0,62,107,0.9,0.4,0.1
0.3,0.5,62,43,0.9,0.4,0.5
0.3,0.6,62,27,0.9,0.4,0.6
0.3,0.7,62,10,0.9,0.4,0.7
0.3,0.8,62,3,0.9,0.4,0.8
0.3,0.9,62,1,0.9,0.4,0.9
0.3,1.0,62,0,0.9,0.4,
0.4,0.0,44,107,0.9,0.55,0.1
0.4,0.5,44,43,0.9,0.55,0.5
0.4,0.6,44,27,0.9,0.55,0.6
0.4,0.7,44,10,0.9,0.55,0.7
0.4,0.8,44,3,0.9,0.55,0.8
0.4,0.9,44,1,0.9,0.55,0.9
0.4,1.0,44,0,0.9,0.55,
0.45,0.0,34,107,0.9,0.6,0.1
0.45,0.5,34,43,0.9,0.6,0.5
0.45,0.6,34,27,0.9,0.6,0.6
0.45,0.7,34,10,0.9,0.6,0.7
0.45,0.8,34,3,0.9,0.6,0.8
0.45,0.9,34,1,0.9,0.6,0.9
0.45,1.0,34,0,0.9,0.6,
0.5,0.0,23,107,0.9,0.7,0.1
0.5,0.5,23,43,0.9,0.7,0.5
0.5,0.6,23,27,0.9,0.7,0.6
0.5,0.7,23,10,0.9,0.7,0.7
0.5,0.8,23,3,0.9,0.7,0.8
0.5,0.9,23,1,0.9,0.7,0.9
0.5,1.0,23,0,0.9,0.7,
0.55,0.0,16,107,0.9,0.75,0.1
0.55,0.5,16,43,0.9,0.75,0.5
0.55,0.6,16,27,0.9,0.75,0.6
0.55,0.7,16,10,0.9,0.75,0.7
0.55,0.8,16,3,0.9,0.75,0.8
0.55,0.9,16,1,0.9,0.75,0.9
0.55,1.0,16,0,0.9,0.75,
0.6,0.0,7,107,0.9,0.8,0.1
0.6,0.5,7,43,0.9,0.8,0.5
0.6,0.6,7,27,0.9,0.8,0.6
0.6,0.7,7,10,0.9,0.8,0.7
0.6,0.8,7,3,0.9,0.8,0.8
0.6,0.9,7,1,0.9,0.8,0.9
0.6,1.0,7,0,0.9,0.8,
0.65,0.0,1,107,0.9,0.9,0.1
0.65,0.5,1,43,0.9,0.9,0.5
0.65,0.6,1,27,0.9,0.9,0.6
0.65,0.7,1,10,0.9,0.9,0.7
0.65,0.8,1,3,0.9,0.9,0.8
0.65,0.9,1,1,0.9,0.9,0.9
0.65,1.0,1,0,0.9,0.9,
0.7,0.0,0,107,,,0.1
0.7,0.5,0,43,,,0.5
0.7,0.6,0,27,,,0.6
0.7,0.7,0,10,,,0.7
0.7,0.8,0,3,,,0.8
0.7,0.9,0,1,,,0.9
0.7,1.0,0,0,,,
0.75,0.0,0,107,,,0.1
0.75,0.5,0,43,,,0.5
0.75,0.6,0,27,,,0.6
0.75,0.7,0,10,,,0.7
0.75,0.8,0,3,,,0.8
0.75,0.9,0,1,,,0.9
0.75,1.0,0,0,,,
