draws,N,p,G,p_over_N,naive,correct,loo,cluster_pub,cluster_CR1,correct_tcrit
200,558,18,6,0.03225806451612903,0.065,0.05,0.06,0.135,0.045,0.065
200,192,32,0,0.16666666666666666,0.08,0.05,0.075,,,0.05
200,224,56,0,0.25,0.055,0.035,0.06,,,0.04
200,224,56,8,0.25,0.055,0.035,0.06,0.1,0.02,0.04
200,548,120,10,0.21897810218978103,0.09,0.06,0.09,0.09,0.025,0.06
200,360,120,6,0.3333333333333333,0.095,0.03,0.09,0.135,0.02,0.035
200,360,6,3,0.016666666666666666,0.03,0.025,0.03,0.285,0.045,0.035
200,6822,833,34,0.12210495455878041,0.025,0.02,0.025,0.045,0.01,0.025
200,4123,436,24,0.10574824157167112,0.1,0.075,0.1,0.11,0.08,0.09
1000,558,18,6,0.03225806451612903,0.043,0.04,0.045,0.125,0.043,0.046
1000,192,32,0,0.16666666666666666,0.065,0.043,0.065,,,0.045
1000,224,56,0,0.25,0.095,0.053,0.098,,,0.058
1000,224,56,8,0.25,0.095,0.053,0.098,0.103,0.029,0.058
1000,548,120,10,0.21897810218978103,0.066,0.036,0.066,0.083,0.018,0.04
1000,360,120,6,0.3333333333333333,0.092,0.041,0.093,0.13,0.025,0.044
1000,360,6,3,0.016666666666666666,0.047,0.044,0.052,0.251,0.051,0.048
1000,6822,833,34,0.12210495455878041,0.053,0.046,0.054,0.066,0.037,0.05
1000,4123,436,24,0.10574824157167112,0.074,0.059,0.072,0.084,0.057,0.066
