panel,T_trade,cost,family,chooser,pick_full,pick_short,pick_moved,verdict_moved,d_oos_Sharpe
B136,M,0,ASYMG,C_ISCALMAR,t=0.16 f=0.5,t=0.2 f=0.15,True,False,-0.006374003038454923
B136,M,0,ASYMG,C_ISDD,t=0.1 f=0.5,t=0.08 f=0.15,True,False,-0.07918642056835368
B136,M,0,ASYMG,C_ISLEGS,t=0.16 f=0.3,t=0.12 f=0.15,True,False,-0.09498225092619195
B136,M,0,ASYMG,C_ISSHARPE,t=0.16 f=0.3,t=0.16 f=0.15,True,False,-0.03817354476262236
B136,M,0,ASYMH,C_ISCALMAR,t=0.16 hup=0.2,t=0.1 hup=0.03,True,False,-0.07147672469279609
B136,M,0,ASYMH,C_ISDD,t=0.08 hup=0.25,t=0.08 hup=0.02,True,False,0.0088766720619744
B136,M,0,ASYMH,C_ISLEGS,t=0.16 hup=0.2,t=0.1 hup=0.03,True,False,-0.07147672469279609
B136,M,0,ASYMH,C_ISSHARPE,t=0.16 hup=0.2,t=0.2 hup=0.05,True,False,0.03601417081592673
B136,M,0,CAL,C_ISCALMAR,t=0.08 R=M,t=0.08 R=M,False,False,0.0
B136,M,0,CAL,C_ISDD,t=0.08 R=W,t=0.08 R=W,False,False,0.0
B136,M,0,CAL,C_ISLEGS,t=0.1 R=M,t=0.1 R=M,False,False,0.0
B136,M,0,CAL,C_ISSHARPE,t=0.2 R=M,t=0.2 R=M,False,False,0.0
B136,M,0,FIXH,C_ISCALMAR,t=0.16 h=0.25,t=0.1 h=0.03,True,False,-0.11654090134350414
B136,M,0,FIXH,C_ISDD,t=0.08 h=0.12,t=0.08 h=0.02,True,False,-0.01198348656881576
B136,M,0,FIXH,C_ISLEGS,t=0.16 h=0.25,t=0.1 h=0.03,True,False,-0.11654090134350414
B136,M,0,FIXH,C_ISSHARPE,t=0.2 h=0.16,t=0.16 h=0.05,True,False,-0.05788617131638962
B136,M,0,FRACG,C_ISCALMAR,t=0.16 f=0.5,t=0.16 f=0.15,True,True,-0.10500540878918363
B136,M,0,FRACG,C_ISDD,t=0.08 f=0.5,t=0.08 f=0.02,True,False,-0.08634182104340815
B136,M,0,FRACG,C_ISLEGS,t=0.12 f=0.2,t=0.12 f=0.15,True,False,-0.010503991088860465
B136,M,0,FRACG,C_ISSHARPE,t=0.16 f=0.15,t=0.16 f=0.15,False,False,0.0
B136,M,0,SDMULT,C_ISCALMAR,t=0.12 k=2,t=0.12 k=2,False,False,0.0
B136,M,0,SDMULT,C_ISDD,t=0.08 k=2,t=0.08 k=2,False,False,0.0
B136,M,0,SDMULT,C_ISLEGS,t=0.12 k=2,t=0.12 k=2,False,False,0.0
B136,M,0,SDMULT,C_ISSHARPE,t=0.16 k=3,t=0.12 k=2,True,False,-0.01696554550797269
B136,M,10,ASYMG,C_ISCALMAR,t=0.16 f=0.5,t=0.2 f=0.15,True,False,-0.0041144778284396555
B136,M,10,ASYMG,C_ISDD,t=0.1 f=0.5,t=0.08 f=0.15,True,False,-0.05251163683510929
