sel,panel,cost,gross_mode,ctl_OOS_Sharpe,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,v1_OOS_Sharpe,v1_OOS_CAGR,v1_OOS_MaxDD,pick,pick_book,pick_constr,n_admitted,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,beat_ctl,beat_spy,beat_v1,oos_rank
S0,u56,10.0,native,1.1357379992068701,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,0.07730300522922962,-0.13827796154480798,TOP5/band3-rw,TOP5,TOP5/gate,136,0.22881281689273947,1.0344837638075288,-0.2845418645837049,False,True,True,90.0
S1,u56,10.0,native,1.1357379992068701,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,0.07730300522922962,-0.13827796154480798,TOP20/control,TOP20,TOP20/ctl,25,0.16638958865609776,1.1676752607259366,-0.22210408719864583,True,True,True,53.0
S2,u56,10.0,native,1.1357379992068701,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,0.07730300522922962,-0.13827796154480798,SLV50/ebud-0.10,SLV50,SLV50/bud,53,0.08855326054011936,1.315711736412835,-0.12930014455898664,True,True,True,10.0
S3,u56,10.0,native,1.1357379992068701,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,0.07730300522922962,-0.13827796154480798,SLV50/ebud-0.10,SLV50,SLV50/bud,28,0.08855326054011936,1.315711736412835,-0.12930014455898664,True,True,True,10.0
S0,u56,25.0,native,1.1250416500196643,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,0.037834702288707334,-0.14177187688535975,TOP5/abs12-dg,TOP5,TOP5/gate,136,0.20666024293974616,0.95355080882053,-0.2847131759570154,False,True,True,84.0
S1,u56,25.0,native,1.1250416500196643,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,0.037834702288707334,-0.14177187688535975,TOP40/ebud-0.10,TOP40,TOP40/bud,14,0.13419211790799923,1.0939615215637053,-0.21670119019973277,False,True,True,47.0
S2,u56,25.0,native,1.1250416500196643,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,0.037834702288707334,-0.14177187688535975,TOP40/ebud-0.10,TOP40,TOP40/bud,26,0.13419211790799923,1.0939615215637053,-0.21670119019973277,False,True,True,47.0
S3,u56,25.0,native,1.1250416500196643,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,0.037834702288707334,-0.14177187688535975,SLV25/ebud-0.10,SLV25,SLV25/bud,12,0.10959835783996286,1.1812920077102307,-0.1739426176476616,True,True,True,23.0
S0,u56,10.0,m53,1.1358638696883425,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,0.07730300522922962,-0.13827796154480798,TOP5/band3-rw,TOP5,TOP5/gate,136,0.16398305822204295,1.0316285245224999,-0.20996233024748068,False,True,True,91.0
S1,u56,10.0,m53,1.1358638696883425,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,0.07730300522922962,-0.13827796154480798,TOP5/stop15,TOP5,TOP5/stop,1,0.1533799461526153,0.9959961805911813,-0.23719941689023216,False,True,True,107.0
