chooser,mean_OOS_Sharpe,delta_vs_ANCHOR,SE,t
CH_RAW/ALL4/L63,0.9697616354163191,-0.06904477840475634,0.05132537377792196,-1.3452367381386034
CH_POINT/ALL4/L63,0.9984494748816618,-0.04035693893941375,0.052871094116475406,-0.7633081859533135
CH_RES/ALL4/L63,1.0518846617908808,0.013078247969805126,0.02755079733280818,0.4746958068698513
CH_RAW/ALL4/L126,0.9697616354163191,-0.06904477840475634,0.05132537377792196,-1.3452367381386034
CH_POINT/ALL4/L126,0.9984494748816618,-0.04035693893941375,0.052871094116475406,-0.7633081859533135
CH_RES/ALL4/L126,1.0553484758706317,0.016542062049556227,0.02015835140689811,0.820605897558448
CH_RAW/ALL4/L252,0.9697616354163191,-0.06904477840475634,0.05132537377792196,-1.3452367381386034
CH_POINT/ALL4/L252,0.9984494748816618,-0.04035693893941375,0.052871094116475406,-0.7633081859533135
CH_RES/ALL4/L252,1.0588969468131726,0.020090532992097124,0.04978109470814569,0.4035775651355796
CH_RAW/ALL4/L504,0.9697616354163191,-0.06904477840475634,0.05132537377792196,-1.3452367381386034
CH_POINT/ALL4/L504,0.9984494748816618,-0.04035693893941375,0.052871094116475406,-0.7633081859533135
CH_RES/ALL4/L504,1.0915010547036883,0.05269464088261265,0.06245639780531192,0.8437028508571939
CH_RAW/NG/L63,0.9697616354163191,-0.06904477840475634,0.05132537377792196,-1.3452367381386034
CH_POINT/NG/L63,0.9984494748816618,-0.04035693893941375,0.052871094116475406,-0.7633081859533135
CH_RES/NG/L63,1.0518846617908808,0.013078247969805126,0.02755079733280818,0.4746958068698513
CH_RAW/NG/L126,0.9697616354163191,-0.06904477840475634,0.05132537377792196,-1.3452367381386034
CH_POINT/NG/L126,0.9984494748816618,-0.04035693893941375,0.052871094116475406,-0.7633081859533135
CH_RES/NG/L126,1.0553484758706317,0.016542062049556227,0.02015835140689811,0.820605897558448
CH_RAW/NG/L252,0.9697616354163191,-0.06904477840475634,0.05132537377792196,-1.3452367381386034
CH_POINT/NG/L252,0.9984494748816618,-0.04035693893941375,0.052871094116475406,-0.7633081859533135
CH_RES/NG/L252,1.0588969468131726,0.020090532992097124,0.04978109470814569,0.4035775651355796
CH_RAW/NG/L504,0.9697616354163191,-0.06904477840475634,0.05132537377792196,-1.3452367381386034
CH_POINT/NG/L504,0.9984494748816618,-0.04035693893941375,0.052871094116475406,-0.7633081859533135
CH_RES/NG/L504,1.0915010547036883,0.05269464088261265,0.06245639780531192,0.8437028508571939
