cadence,window,chooser,b_fit,pts
MONTH,L252,H_RUNNERUP,0.6332148357004759,147:0.0625;290:0.0389;573:0.0265
MONTH,L252,H_NARROWEST,0.4758457903570874,144:0.2938;288:0.2057;573:0.1523
MONTH,L252,H_ANY,0.5265598506901379,144:0.2917;288:0.2071;573:0.1409
MONTH,L252,CH_RAW,0.4683742785361157,144:0.3095;288:0.2226;573:0.1621
MONTH,L252,CH_ANCHOR,,
MONTH,L504,H_RUNNERUP,0.7651137453454273,144:0.0702;287:0.0397;573:0.0244
MONTH,L504,H_NARROWEST,0.5243872157084498,144:0.2758;288:0.1988;573:0.1337
MONTH,L504,H_ANY,0.4612182182416926,144:0.2763;288:0.2000;573:0.1461
MONTH,L504,CH_RAW,0.47626492087489736,144:0.3028;288:0.2150;573:0.1568
MONTH,L504,CH_ANCHOR,,
MONTH,L756,H_RUNNERUP,0.7204906593271917,141:0.0853;286:0.0538;573:0.0311
MONTH,L756,H_NARROWEST,0.5041452320585327,144:0.2773;288:0.1996;573:0.1382
MONTH,L756,H_ANY,0.46018093854452885,144:0.2747;288:0.1970;573:0.1455
MONTH,L756,CH_RAW,0.4715883025328317,144:0.2931;288:0.2092;573:0.1528
MONTH,L756,CH_ANCHOR,,
MONTH,L1260,H_RUNNERUP,0.6492566881494026,145:0.0620;291:0.0364;573:0.0254
MONTH,L1260,H_NARROWEST,0.4945556189285231,144:0.2663;288:0.1894;573:0.1345
MONTH,L1260,H_ANY,0.46539344710991076,144:0.2655;288:0.1918;573:0.1396
MONTH,L1260,CH_RAW,0.4878763518440198,144:0.2742;288:0.1971;573:0.1398
MONTH,L1260,CH_ANCHOR,,
MONTH,L2520,H_RUNNERUP,0.6800159428478546,143:0.0619;287:0.0347;573:0.0240
MONTH,L2520,H_NARROWEST,0.4906946453844122,144:0.2562;288:0.1836;573:0.1301
MONTH,L2520,H_ANY,0.46805378336518844,144:0.2563;288:0.1831;573:0.1343
MONTH,L2520,CH_RAW,0.4848414715959659,144:0.2626;288:0.1865;573:0.1344
MONTH,L2520,CH_ANCHOR,,
MONTH,EXPAND,H_RUNNERUP,0.6693501212018265,140:0.0686;287:0.0391;573:0.0268
MONTH,EXPAND,H_NARROWEST,0.5013841495739678,144:0.2562;288:0.1840;573:0.1282
MONTH,EXPAND,H_ANY,0.5295454986152561,144:0.2619;288:0.1821;573:0.1261
MONTH,EXPAND,CH_RAW,0.44386621535536247,144:0.2371;288:0.1697;573:0.1284
MONTH,EXPAND,CH_ANCHOR,,
QUARTER,L252,H_RUNNERUP,0.6557314566809634,51:0.0625;102:0.0395;201:0.0254
QUARTER,L252,H_NARROWEST,0.4932098327714673,49:0.2520;98:0.1817;193:0.1281
