uni,book,m,CAGR,Sharpe,MaxDD,H1,H2,OOS_Sharpe,gross,TO,p4b
universe.json(56),V1,0.1,0.006784560345727275,0.6681875929683974,-0.0142098992310844,0.6379733789102048,0.6977821538373205,0.7557970727854422,0.07501020853736218,2.369674995750843,False
universe.json(56),V1,0.15,0.010153827013820615,0.668127498835141,-0.02128343804905697,0.6381679429368543,0.697503215771215,0.7555731240410494,0.11251010113288994,3.5531691949030577,False
universe.json(56),V1,0.2,0.013507388295375122,0.6680644805210335,-0.028335948249479825,0.6383600004232407,0.6972209633180992,0.7553458106790036,0.1500065768752972,4.73581447283961,False
universe.json(56),V1,0.25,0.016844962371043826,0.6679982070552343,-0.03536736450604783,0.6385490023776743,0.6969352469328782,0.7551149908500465,0.18749967894020214,5.917654310483387,False
universe.json(56),V1,0.3,0.020166260784878487,0.6679284002313355,-0.04237762208105178,0.6387351414798506,0.6966453867779606,0.754880123402101,0.22498945048841487,7.098737961519994,False
universe.json(56),V1,0.35,0.023470977512002333,0.6678544855758767,-0.049366656823830346,0.638918605877178,0.696350154115643,0.7546400427830701,0.2624759346676736,8.279131064700449,False
universe.json(56),V1,0.4,0.026758790791759468,0.6677757888001961,-0.05633440516922017,0.6390975095931439,0.69604990326157,0.7543948603988666,0.2999591746143792,9.458913527874163,False
universe.json(56),V1,0.45,0.030029461229209575,0.6676937589857579,-0.06328080413601667,0.6392740109281613,0.6957454886596981,0.7541455973741976,0.337439213455328,10.638084311411957,False
universe.json(56),V1,0.5,0.03328268983352345,0.6676080950577765,-0.07020586994465161,0.639447745394561,0.6954366630548772,0.753892006926633,0.3749160943094445,11.816699867337817,False
universe.json(56),V1,0.55,0.03651817533258761,0.6675185284197118,-0.07710979514464744,0.6396185807749454,0.6951230405583708,0.7536335503784526,0.41238986028951313,12.994817792893393,False
universe.json(56),V1,0.6,0.039735615207073804,0.6674248997231913,-0.08399225438399427,0.639785238792734,0.6948054116234857,0.7533709102149462,0.44986055450391016,14.172496166656117,False
universe.json(56),V1,0.65,0.04293460705050722,0.6673257306463842,-0.09085343745512331,0.6399474292732505,0.6944812801169785,0.7531018421437604,0.4873282200583367,15.34988853786974,False
universe.json(56),V1,0.7,0.046114887536173876,0.6672217929883667,-0.09769318776852198,0.6401048795713129,0.6941523142358113,0.7528278802951652,0.5247929000575514,16.52701320442855,False
universe.json(56),V1,0.75,0.049276068963648445,0.6671121052031421,-0.10451152633332172,0.6402557837857974,0.6938182274972818,0.7525485422204178,0.5622546376071065,17.704006764373933,False
universe.json(56),V1,0.8,0.05241771571909948,0.6669955193116478,-0.11130822342403324,0.6403989728261452,0.6934778807843783,0.7522626982025195,0.5997134758150835,18.881051149052933,False
universe.json(56),V1,0.85,0.055539589576299564,0.666873166180805,-0.11808321747387507,0.6405355638162414,0.6931324269594832,0.7519712289747208,0.6371694577938333,20.05813733772534,False
universe.json(56),V1,0.9,0.058641423672842974,0.6667456665088253,-0.12483644751088308,0.6406659637374502,0.6927826743466149,0.7516755096034693,0.6746226266617172,21.235283902474485,False
universe.json(56),V1,0.95,0.061722692987586925,0.6666110665971525,-0.1315681295762322,0.6407893007450909,0.6924257335651913,0.7513724315294362,0.7120730255448524,22.412753501685053,False
universe.json(56),V1,1.0,0.06478305297139286,0.6664694744160106,-0.13827804821227863,0.6409045653228889,0.6920626625762498,0.7510632499063633,0.7495206975788611,23.59063621957033,False
universe.json(56),CAND20,0.1,0.012574435762298553,1.0915142349030746,-0.01919179381821612,1.0871001540574865,1.101325237368476,1.167645123952795,0.07176495141190478,0.9787346187353808,False
universe.json(56),CAND20,0.15,0.018873531762338303,1.0916367598367425,-0.02871364268598442,1.087200940770121,1.1014709865752805,1.1677936835143685,0.10763993018395886,1.4662630145543263,False
universe.json(56),CAND20,0.2,0.02518001812483428,1.0917557467193828,-0.038186185824679475,1.0872985817764653,1.1016129505667724,1.1679383367222522,0.14350998174448928,1.9526365888704094,False
universe.json(56),CAND20,0.25,0.03149349789796352,1.0918714002850065,-0.047609470897227335,1.0873931960620267,1.1017514039736804,1.1680793621385177,0.17937515914427263,2.437903550518062,False
universe.json(56),CAND20,0.3,0.03781354948321791,1.0919832281659008,-0.05698354845361109,1.0874838564079496,1.1018862296252365,1.1682165181167594,0.2152355154312286,2.9221313911202733,False
universe.json(56),CAND20,0.35,0.04413978080388503,1.0920918218472393,-0.06630845828971788,1.0875713644935454,1.1020178410589034,1.1683503442588707,0.2510911036530876,3.405354387338115,False
universe.json(56),CAND20,0.4,0.05047173370413294,1.0921962162886794,-0.07558435728071522,1.0876550198616668,1.1021450369384544,1.1684795835310993,0.28694197686008316,3.8876656701166894,False
universe.json(56),CAND20,0.45,0.056808977863413546,1.0922964818338552,-0.08481121575525741,1.087734664854901,1.1022680949818269,1.1686045719855318,0.3227881881076707,4.36912655254797,False
universe.json(56),CAND20,0.5,0.06315108148532511,1.0923927648598397,-0.09398908760743829,1.087809841038059,1.1023876823402166,1.1687259049180505,0.35862979045927573,4.849795212016374,False
universe.json(56),CAND20,0.55,0.06949755479013264,1.092484329725883,-0.10311800237815916,1.087880059415447,1.1025028487637716,1.1688426198641175,0.3944668369890705,5.32977938328538,False
universe.json(56),CAND20,0.6,0.07584794624665481,1.092571231137904,-0.11219800451549922,1.0879454324355986,1.10261360104633,1.16895455620045,0.43029938078478125,5.809145294588276,False
