panel,n,gross,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_keep4a,OOS_keep4b,OOS_bind4b,endpoint,picked
U56,1,0.75,0.04719157175470956,0.4158210735217482,-0.20167082430210548,0.053862451295456415,0.4493995645547703,-0.23032208364523088,False,False,H1+H2+DD+CAGR,True,False
U56,2,0.75,0.0504221838776131,0.5039404674431478,-0.17482627065245582,0.046057489131553275,0.4360691317777263,-0.18679679917597858,False,False,H1+H2+CAGR,True,False
U56,3,0.75,0.05422196864177242,0.5851706357854436,-0.13371241380453003,0.06723712618740096,0.632451489704185,-0.1267534815168968,False,False,H2+CAGR,True,False
U56,5,0.75,0.04819718790631522,0.5396401623795373,-0.13163675501528838,0.07723480507622438,0.7433964761175549,-0.1382781849962449,False,False,H2+CAGR,True,False
U56,8,0.75,0.07517323473220694,0.811517627524194,-0.09139532634074621,0.07969744169335202,0.7750852568404121,-0.157695593081839,False,False,H2+CAGR,True,False
U56,10,0.75,0.08876634597995126,0.9474940413947066,-0.08220996136968395,0.08730672323055666,0.849021131461728,-0.1302303114400858,False,False,H2+CAGR,True,False
U56,15,0.75,0.09158403470057475,0.9652533621303347,-0.10107821602881162,0.09179202506530859,0.8854537265950743,-0.1593599485031697,False,False,H1+CAGR,True,False
U56,20,0.75,0.09213163119587997,0.9781299533098656,-0.10989524562989283,0.1081009316411985,1.0424236515139356,-0.17115411272586312,False,True,-,True,False
U56,30,0.75,0.08349225691142959,0.9450748382992966,-0.11596871670855524,0.11175732964215923,1.157166298897347,-0.15699535569348588,False,True,-,True,False
U56,40,0.75,0.07700027608910398,0.9630180716999186,-0.10440580042849323,0.1079821525245126,1.255723386135721,-0.1357142643299567,False,True,-,True,False
U56,1,1.0,0.05971018596612754,0.41736918480214547,-0.2608877984964868,0.06723226397423576,0.44612700200132266,-0.29808076423562824,False,False,H1+H2+DD+CAGR,True,False
U56,2,1.0,0.06513376183913078,0.5049616297708354,-0.22738281102528235,0.05808900688616747,0.43373658779199,-0.24291500282501066,False,False,H1+H2+DD+CAGR,True,False
U56,3,1.0,0.07077435051676795,0.5860327884687164,-0.17599357936709936,0.08720011865084909,0.6304822738271806,-0.16781001221715708,False,False,H2+CAGR,True,False
U56,5,1.0,0.06272748163580943,0.5403027234581914,-0.1734999629674866,0.10105336174559243,0.7411532499089153,-0.18244818499556148,False,False,H2+CAGR,True,False
U56,8,1.0,0.09939297659527102,0.8120781207867387,-0.12058043846912614,0.10462767903462589,0.7734037636988239,-0.20695812580996542,False,False,H2+DD+CAGR,True,False
U56,10,1.0,0.11796115586915157,0.9478316009824765,-0.1089137744855041,0.11523748855520388,0.8481769857035772,-0.17215224595455625,False,False,H2,True,False
U56,15,1.0,0.12181294502334472,0.9658988063689142,-0.1334948942712586,0.1215286928932473,0.8854181822467576,-0.2095217766414571,False,False,H1+DD,True,False
U56,20,1.0,0.12251224630421054,0.9782565596317446,-0.14497456483852478,0.14389171449040306,1.0413514019343457,-0.22463860228766375,False,False,DD,True,True
U56,30,1.0,0.11090603903625595,0.9449723413990302,-0.15291966872946527,0.1493958008493752,1.1564548727988213,-0.20619436423577897,False,False,DD,True,False
U56,40,1.0,0.10243751775903953,0.9632987653097886,-0.1376725973906786,0.14467404859709165,1.2550900973674037,-0.17864105395961183,False,True,-,True,False
B136,1,0.75,0.08953811121953259,0.6997553811216807,-0.13657752481843788,0.06758535773327812,0.4949461862482428,-0.25840707854524136,False,False,H1+H2+DD+CAGR,True,False
