family,side,q,w,depth,cadence,base,gross,fail4b,fail4a,cagr_ratio,dd_ratio,sharpe_legs_ok
CORR,LO,0.07,252,0.25,D,EWALL,0.75,CAGR,"H1,H2,DD",0.6731758343040528,0.4699154416944193,True
CORR,LO,0.07,252,0.25,D,EWALL,1.0,DD,"H1,H2,DD",0.8974978756669506,0.618115858549609,True
CORR,LO,0.07,252,0.25,D,TOP20,0.75,-,DD,0.9676968519375204,0.582712890366872,True
CORR,LO,0.07,252,0.25,D,TOP20,1.0,DD,DD,1.3015879173201463,0.7542254486168932,True
CORR,LO,0.07,252,0.25,D,RULESv2,0.75,CAGR,"H2,DD",0.5577488126665473,0.3528332003113182,True
CORR,LO,0.07,252,0.25,D,RULESv2,1.0,-,"H2,DD",0.7463110377419903,0.46578387692369133,True
CORR,LO,0.07,252,0.25,W,EWALL,0.75,CAGR,"H1,H2,DD",0.6748211592717677,0.4699154416944186,True
CORR,LO,0.07,252,0.25,W,EWALL,1.0,DD,"H1,H2,DD",0.8996788233942736,0.6181158585496084,True
CORR,LO,0.07,252,0.25,W,TOP20,0.75,-,DD,0.9612856494306343,0.5827128903668707,True
CORR,LO,0.07,252,0.25,W,TOP20,1.0,DD,DD,1.2925873240646795,0.7542254486168926,True
CORR,LO,0.07,252,0.25,W,RULESv2,0.75,CAGR,H2,0.558263588675157,0.3528332003113162,True
CORR,LO,0.07,252,0.25,W,RULESv2,1.0,-,"H2,DD",0.7469559689579074,0.46578387692369133,True
CORR,LO,0.07,252,0.5,D,EWALL,0.75,CAGR,"H1,H2,DD",0.658130006304475,0.46991544169441996,True
CORR,LO,0.07,252,0.5,D,EWALL,1.0,DD,"H1,H2,DD",0.8771833333281315,0.6181158585496084,True
CORR,LO,0.07,252,0.5,D,TOP20,0.75,-,DD,0.9567111780005151,0.5827128903668717,True
CORR,LO,0.07,252,0.5,D,TOP20,1.0,DD,DD,1.2865913820291461,0.7542254486168932,True
CORR,LO,0.07,252,0.5,D,RULESv2,0.75,CAGR,H2,0.5439719492471999,0.35283320031131754,True
CORR,LO,0.07,252,0.5,D,RULESv2,1.0,-,"H2,DD",0.7277324004934478,0.465783876923692,True
CORR,LO,0.07,252,0.5,W,EWALL,0.75,CAGR,"H1,H2,DD",0.6614418845381694,0.46991544169441896,True
CORR,LO,0.07,252,0.5,W,EWALL,1.0,DD,"H1,H2,DD",0.881584151887933,0.6181158585496087,True
CORR,LO,0.07,252,0.5,W,TOP20,0.75,-,"H2,DD",0.9439491406328273,0.5827128903668713,True
CORR,LO,0.07,252,0.5,W,TOP20,1.0,DD,DD,1.2687030729360587,0.7542254486168919,True
CORR,LO,0.07,252,0.5,W,RULESv2,0.75,CAGR,H2,0.5450181653248227,0.3528332003113169,True
CORR,LO,0.07,252,0.5,W,RULESv2,1.0,-,"H2,DD",0.7290526472122407,0.465783876923692,True
CORR,LO,0.07,252,1.0,D,EWALL,0.75,CAGR,"H1,H2,DD",0.6271412510200046,0.4699154416944193,True
CORR,LO,0.07,252,1.0,D,EWALL,1.0,DD,"H1,H2,DD",0.8349072699872729,0.6181158585496087,True
CORR,LO,0.07,252,1.0,D,TOP20,0.75,-,"H1,DD",0.9330524921613175,0.5827128903668717,True
CORR,LO,0.07,252,1.0,D,TOP20,1.0,DD,"H1,DD",1.2534947358761883,0.7542254486168932,True
CORR,LO,0.07,252,1.0,D,RULESv2,0.75,CAGR,"H1,H2",0.5157833672733972,0.35283320031131754,True
CORR,LO,0.07,252,1.0,D,RULESv2,1.0,CAGR,"H1,H2,DD",0.6894146399096687,0.46578387692369133,True
CORR,LO,0.07,252,1.0,W,EWALL,0.75,CAGR,"H1,H2,DD",0.6338477382553284,0.4699154416944186,True
CORR,LO,0.07,252,1.0,W,EWALL,1.0,DD,"H1,H2,DD",0.8438593345861037,0.618115858549609,True
CORR,LO,0.07,252,1.0,W,TOP20,0.75,-,"H1,H2,DD",0.9077707240434615,0.5827128903668717,True
