family,cells,cheaper_in_crash,med_crash,med_trend,med_gap,min_gap,max_gap,med_turn,verdict
200d,16,2,-5.081632185257098,-0.5090725597648544,-4.865762513994271,-9.426109179475162,1.0346971552867077,10.784055255321555,mixed
abs,16,0,-4.845382718339877,-0.5358951807905644,-4.227521568534683,-8.866459599936366,-0.01420604952451468,10.591803846208414,DEARER IN CRASHES (all cells)
band,16,0,-4.197384394699219,-0.011305147085359676,-4.443947182602429,-7.554579408497236,-0.28759122330634623,7.343629123709587,DEARER IN CRASHES (all cells)
ddctl,16,2,-4.055748305370721,-0.3112675317700587,-3.755930379510588,-8.602318817698158,5.629246556285656,5.643182287984386,mixed
dg,16,16,4.9174107467260075,-6.480553209620487,11.544450218079188,4.709949485143493,23.163877313373263,2.3735846648678547,CHEAPER IN CRASHES (all cells)
stop,16,1,-2.7875715133004535,-0.5058640508585736,-2.206421521654991,-3.9236843395124534,0.16752493376609742,7.685647655322756,mixed
