pair,A,B,G,w,slice,n,S_blend,S_A,S_B,navavg,C,MIX,DIV,resid,rho,sd_A,sd_B,sd_blend,CAGR,MaxDD
U56xSMALL,U56,SMALL,0.5,0.25,FULL,3943,0.831838186389976,1.163585598865389,0.659363973503955,0.7854193798443134,0.04641880654566255,0.0037332331980054886,0.04268557334765708,-2.0816681711721685e-17,0.7384310905165126,0.0462155105809175,0.04444305675160315,0.042582847348672306,0.03511528051864121,-0.0792725044750543
U56xSMALL,U56,SMALL,0.5,0.25,IS,1502,0.9206389018581198,0.9585450551665904,0.8741408967862647,0.8952419363813462,0.025396965476773614,0.0005606926562396074,0.024836272820534036,-2.7755575615628914e-17,0.8605005803618967,0.042162649820827305,0.040707531467541816,0.039963321501629,0.036646092761178695,-0.05562208748994002
U56xSMALL,U56,SMALL,0.5,0.25,OOS,2441,0.7836571774514841,1.2771652514806893,0.5459277433609857,0.7287371203909117,0.05492005706057246,0.005658212358946433,0.04926184470162637,-3.400058012914542e-16,0.6817417193758116,0.04854262562426553,0.04659948349828295,0.04412541964994841,0.03417446233520827,-0.0792725044750553
U56xSMALL,U56,SMALL,0.5,0.5,FULL,3943,0.9829029473996922,1.163585598865389,0.659363973503955,0.9114747861846719,0.07142816121502027,0.004928985627011962,0.06649917558800836,-5.551115123125783e-17,0.7384310905165126,0.0462155105809175,0.04444305675160315,0.042262490549222785,0.041480262129523826,-0.06880856065068885
U56xSMALL,U56,SMALL,0.5,0.5,IS,1502,0.9508328790718511,0.9585450551665904,0.8741408967862647,0.9163429759764276,0.034489903095423546,0.000741026736296429,0.033748876359126705,4.0939474033052647e-16,0.8605005803618967,0.042162649820827305,0.040707531467541816,0.03996439292026401,0.03789850271895778,-0.05469161248076704
U56xSMALL,U56,SMALL,0.5,0.5,OOS,2441,1.002167265348894,1.2771652514806893,0.5459277433609857,0.9115464974208375,0.09062076792805651,0.007467242524000213,0.08315352540405624,5.551115123125783e-17,0.6817417193758116,0.04854262562426553,0.04659948349828295,0.04362390818089279,0.043690336146698705,-0.06880856065068908
U56xSMALL,U56,SMALL,0.5,0.75,FULL,3943,1.0951789180631952,1.163585598865389,0.659363973503955,1.0375301925250304,0.0576487255381648,0.003660951824368207,0.05398777371379663,-3.469446951953614e-17,0.7384310905165126,0.0462155105809175,0.04444305675160315,0.043516007982519124,0.04781369329269114,-0.07499490468832215
U56xSMALL,U56,SMALL,0.5,0.75,IS,1502,0.9630672470443175,0.9585450551665904,0.8741408967862647,0.9374440155715089,0.02562323147280854,0.0005509331319975843,0.02507229834081098,-2.42861286636753e-17,0.8605005803618967,0.042162649820827305,0.040707531467541816,0.04071068688082976,0.03912120791292972,-0.05377621694436163
U56xSMALL,U56,SMALL,0.5,0.75,OOS,2441,1.1704355501244743,1.2771652514806893,0.5459277433609857,1.0943558744507633,0.07607967567371099,0.00554381958185997,0.07053585609185074,2.7755575615628914e-16,0.6817417193758116,0.04854262562426553,0.04659948349828295,0.04516071278644173,0.053198465628715,-0.07499490468832182
U56xSMALL,U56,SMALL,0.75,0.25,FULL,3943,0.8320732771472793,1.163614911755474,0.6596066000247431,0.7856086779574258,0.04646459918985346,0.0037750465640553,0.04268955262579811,4.85722573273506e-17,0.7385364412684204,0.06936249290174401,0.06667227414895582,0.06388969971129568,0.05244258204193719,-0.11756273037440035
U56xSMALL,U56,SMALL,0.75,0.25,IS,1502,0.9217119699718052,0.9596027208511244,0.8751921874491732,0.8962948207996609,0.025417149172144216,0.0005642954079460017,0.024852853764198192,2.0816681711721685e-17,0.8605840174057299,0.06326117351666559,0.06106440072283901,0.05995225752825793,0.05490950072937384,-0.08269933694570342
