panel,book,sleeve,lam,cost,base_to,drag,n_pass,w_pts,w_units,f_lo,f_hi,is_empty,best_margin,binding
broad,EWALL,BOND2,0.06,0.0,0.863648153314312,0.0,4,4,0.15000000000000002,0.15,0.3,False,0.01455830645020191,CAGR
broad,EWALL,BOND2,0.06,5.0,0.863648153314312,0.000431824076657156,4,4,0.15000000000000002,0.15,0.3,False,0.013427817553764723,CAGR
broad,EWALL,BOND2,0.06,10.0,0.863648153314312,0.000863648153314312,4,4,0.15000000000000002,0.15,0.3,False,0.012298423930565863,CAGR
broad,EWALL,BOND2,0.06,15.0,0.863648153314312,0.001295472229971468,3,3,0.1,0.15,0.25,False,0.011170124560952746,CAGR
broad,EWALL,BOND2,0.06,25.0,0.863648153314312,0.00215912038328578,3,3,0.1,0.15,0.25,False,0.008916804508431311,CAGR
broad,EWALL,BOND2,0.06,50.0,0.863648153314312,0.00431824076657156,2,2,0.05,0.15,0.2,False,0.00330258261453871,CAGR
broad,EWALL,BOND2,0.1,0.0,0.8641905156748191,0.0,4,4,0.15000000000000002,0.15,0.3,False,0.014609207845640751,CAGR
broad,EWALL,BOND2,0.1,5.0,0.8641905156748191,0.00043209525783740953,4,4,0.15000000000000002,0.15,0.3,False,0.013478459958863945,CAGR
broad,EWALL,BOND2,0.1,10.0,0.8641905156748191,0.0008641905156748191,4,4,0.15000000000000002,0.15,0.3,False,0.01234880781154142,CAGR
broad,EWALL,BOND2,0.1,15.0,0.8641905156748191,0.0012962857735122285,3,3,0.1,0.15,0.25,False,0.011220250383371558,CAGR
broad,EWALL,BOND2,0.1,25.0,0.8641905156748191,0.0021604762891870477,3,3,0.1,0.15,0.25,False,0.008966415607850345,CAGR
broad,EWALL,BOND2,0.1,50.0,0.8641905156748191,0.0043209525783740954,2,2,0.05,0.15,0.2,False,0.003350915008687852,CAGR
broad,EWALL,BOND2,0.15,0.0,0.8645234701218765,0.0,4,4,0.15000000000000002,0.15,0.3,False,0.0146360780193215,CAGR
broad,EWALL,BOND2,0.15,5.0,0.8645234701218765,0.00043226173506093825,4,4,0.15000000000000002,0.15,0.3,False,0.013505214842044436,CAGR
broad,EWALL,BOND2,0.15,10.0,0.8645234701218765,0.0008645234701218765,4,4,0.15000000000000002,0.15,0.3,False,0.01237544761010985,CAGR
broad,EWALL,BOND2,0.15,15.0,0.8645234701218765,0.0012967852051828147,3,3,0.1,0.15,0.25,False,0.01124677530293168,CAGR
broad,EWALL,BOND2,0.15,25.0,0.8645234701218765,0.0021613086753046913,3,3,0.1,0.15,0.25,False,0.008992711385048494,CAGR
broad,EWALL,BOND2,0.15,50.0,0.8645234701218765,0.004322617350609383,2,2,0.05,0.15,0.2,False,0.003376641507938996,CAGR
broad,EWALL,BOND2,0.25,0.0,0.8648922294704143,0.0,4,4,0.15000000000000002,0.15,0.3,False,0.014652946197831265,CAGR
broad,EWALL,BOND2,0.25,5.0,0.8648922294704143,0.00043244611473520713,4,4,0.15000000000000002,0.15,0.3,False,0.013521978844789964,CAGR
broad,EWALL,BOND2,0.25,10.0,0.8648922294704143,0.0008648922294704143,4,4,0.15000000000000002,0.15,0.3,False,0.012392107631713459,CAGR
broad,EWALL,BOND2,0.25,15.0,0.8648922294704143,0.0012973383442056216,3,3,0.1,0.15,0.25,False,0.011263331537735025,CAGR
broad,EWALL,BOND2,0.25,25.0,0.8648922294704143,0.0021622305736760357,3,3,0.1,0.15,0.25,False,0.00900906062817515,CAGR
broad,EWALL,BOND2,0.25,50.0,0.8648922294704143,0.0043244611473520714,2,2,0.05,0.15,0.2,False,0.003392476653533108,CAGR
broad,EWALL,BOND2,0.35,0.0,0.8650688116928015,0.0,4,4,0.15000000000000002,0.15,0.3,False,0.01465902819331362,CAGR
broad,EWALL,BOND2,0.35,5.0,0.8650688116928015,0.00043253440584640075,4,4,0.15000000000000002,0.15,0.3,False,0.013527990388546088,CAGR
broad,EWALL,BOND2,0.35,10.0,0.8650688116928015,0.0008650688116928015,4,4,0.15000000000000002,0.15,0.3,False,0.012398048858075453,CAGR
broad,EWALL,BOND2,0.35,15.0,0.8650688116928015,0.0012976032175392022,3,3,0.1,0.15,0.25,False,0.011269202580844254,CAGR
broad,EWALL,BOND2,0.35,25.0,0.8650688116928015,0.0021626720292320036,3,3,0.1,0.15,0.25,False,0.009014791706446881,CAGR
broad,EWALL,BOND2,0.35,50.0,0.8650688116928015,0.004325344058464007,2,2,0.05,0.15,0.2,False,0.0033978601539383507,CAGR
broad,EWALL,BOND2,0.5,0.0,0.8651758359635753,0.0,4,4,0.15000000000000002,0.15,0.3,False,0.014668088047280883,CAGR
broad,EWALL,BOND2,0.5,5.0,0.8651758359635753,0.00043258791798178765,4,4,0.15000000000000002,0.15,0.3,False,0.013537010021745302,CAGR
