claim_set,n_claims,ladder_stated,ladder_share,anchor_stated,anchor_share,both,both_share,uncheckable,uncheckable_share
NARROW,2554,24,0.009397024275646046,575,0.22513703993735318,2,0.0007830853563038371,2530,0.990602975724354
WIDE,6678,754,0.11290805630428272,855,0.1280323450134771,68,0.010182689427972447,5924,0.8870919436957173
