statistic,D,bar,floor,threshold,n_claims,inside,share_inside
PREM_SHARPE,3,1.0,0.09073820006998662,0.09073820006998662,101,63,0.6237623762376238
PREM_SHARPE,3,2.0,0.09073820006998662,0.18147640013997324,101,76,0.7524752475247525
PREM_SHARPE,6,1.0,0.08127055841608405,0.08127055841608405,101,63,0.6237623762376238
PREM_SHARPE,6,2.0,0.08127055841608405,0.1625411168321681,101,70,0.693069306930693
PREM_SHARPE,12,1.0,0.08110130686830282,0.08110130686830282,101,63,0.6237623762376238
PREM_SHARPE,12,2.0,0.08110130686830282,0.16220261373660563,101,70,0.693069306930693
PREM_SHARPE,24,1.0,0.08094068193265912,0.08094068193265912,101,63,0.6237623762376238
PREM_SHARPE,24,2.0,0.08094068193265912,0.16188136386531823,101,70,0.693069306930693
PREM_CAGR,3,1.0,0.01338554221923261,0.01338554221923261,42,15,0.35714285714285715
PREM_CAGR,3,2.0,0.01338554221923261,0.02677108443846522,42,16,0.38095238095238093
PREM_CAGR,6,1.0,0.013267647366894722,0.013267647366894722,42,15,0.35714285714285715
PREM_CAGR,6,2.0,0.013267647366894722,0.026535294733789443,42,16,0.38095238095238093
PREM_CAGR,12,1.0,0.013045613263610973,0.013045613263610973,42,15,0.35714285714285715
PREM_CAGR,12,2.0,0.013045613263610973,0.026091226527221945,42,16,0.38095238095238093
PREM_CAGR,24,1.0,0.01281224962618962,0.01281224962618962,42,15,0.35714285714285715
PREM_CAGR,24,2.0,0.01281224962618962,0.02562449925237924,42,16,0.38095238095238093
SHARPE,3,1.0,0.10195205622710475,0.10195205622710475,260,101,0.38846153846153847
SHARPE,3,2.0,0.10195205622710475,0.2039041124542095,260,139,0.5346153846153846
SHARPE,6,1.0,0.10742074372298464,0.10742074372298464,260,103,0.39615384615384613
SHARPE,6,2.0,0.10742074372298464,0.2148414874459693,260,139,0.5346153846153846
SHARPE,12,1.0,0.11098155520039725,0.11098155520039725,260,103,0.39615384615384613
SHARPE,12,2.0,0.11098155520039725,0.2219631104007945,260,142,0.5461538461538461
SHARPE,24,1.0,0.1061610883034535,0.1061610883034535,260,103,0.39615384615384613
SHARPE,24,2.0,0.1061610883034535,0.212322176606907,260,139,0.5346153846153846
CAGR,3,1.0,0.013239328526548522,0.013239328526548522,86,25,0.29069767441860467
CAGR,3,2.0,0.013239328526548522,0.026478657053097043,86,25,0.29069767441860467
CAGR,6,1.0,0.018784490939618172,0.018784490939618172,86,25,0.29069767441860467
CAGR,6,2.0,0.018784490939618172,0.037568981879236345,86,26,0.3023255813953488
CAGR,12,1.0,0.019217926083375466,0.019217926083375466,86,25,0.29069767441860467
CAGR,12,2.0,0.019217926083375466,0.03843585216675093,86,26,0.3023255813953488
CAGR,24,1.0,0.018216958702626945,0.018216958702626945,86,25,0.29069767441860467
CAGR,24,2.0,0.018216958702626945,0.03643391740525389,86,26,0.3023255813953488
MAXDD,3,1.0,0.02952941002016694,0.02952941002016694,118,53,0.4491525423728814
MAXDD,3,2.0,0.02952941002016694,0.05905882004033388,118,56,0.4745762711864407
MAXDD,6,1.0,0.03082685085327114,0.03082685085327114,118,53,0.4491525423728814
MAXDD,6,2.0,0.03082685085327114,0.06165370170654228,118,57,0.4830508474576271
MAXDD,12,1.0,0.03918428924609051,0.03918428924609051,118,54,0.4576271186440678
MAXDD,12,2.0,0.03918428924609051,0.07836857849218103,118,61,0.5169491525423728
MAXDD,24,1.0,0.04148635264755254,0.04148635264755254,118,54,0.4576271186440678
MAXDD,24,2.0,0.04148635264755254,0.08297270529510507,118,61,0.5169491525423728
