panel,anchor,ann_turnover_unit_gross
U56,A_REC,3.9018939002284863
U56,A_TIGHT,5.868616866454531
U56,A_SLOW,1.7686580346595286
U56,A_FAST,10.062831035112708
U56,A_REC@CADENCE=M,2.8621290606469176
B136,A_REC,4.266615498590659
B136,A_TIGHT,6.689635951666283
B136,A_SLOW,2.204617799009705
B136,A_FAST,12.19493293116713
B136,A_REC@CADENCE=M,3.1778981961145942
SMALL,A_REC,5.508298708119254
SMALL,A_TIGHT,8.825761050852059
SMALL,A_SLOW,2.8958467484076116
SMALL,A_FAST,18.617225566591973
SMALL,A_REC@CADENCE=M,4.297820117819683
